channel_id,channel_title,subscribers,total_videos_on_channel,cross_platform,avg_duration_min,emotional_rate,commercial_rate,avg_commercial_score,avg_views,median_views,risk_score
UCRXRC8hRRMYEnumSWPpT17A,TwinsFromRussia,8170000,9149,3,2.8661616161616164,0.5151515151515151,0.0,0.0,15540.515151515152,3314.0,0.62813795507788
UCpE_yAyidJKIsv8mnX1VYzA,JesssFam,2460000,2566,3,15.232,0.34,0.0,0.0,71345.18,63649.0,0.37939170622455237
UC-_KiH_Z2yerhAD_cAjAMOA,Not Enough Nelsons,5410000,2242,3,48.833666666666666,0.26,0.0,0.0,1728605.04,1643679.0,0.3567695035513654
UCOeJBQGvDaEXQZSwTr_V2ow,Fina's Vlog,8690,189,2,20.43433333333333,0.0,0.1,0.3,4394.2,3233.0,0.32739447227752555
UCKaCalz5N5ienIbfPzEbYuA,Jordan Matter,35500000,572,1,33.46,0.3,0.0,0.0,24348509.88,20444513.0,0.27964625475869226
UCKdOI5MTLkGHtqtyKovs2lQ,Baby Playful,387000,297,0,13.065333333333333,0.04,0.08,0.24,348015.28,15660.5,0.24842058887090812
UCC-RHF_77zQdKcA75hr5oTQ,FGTeeV,25300000,1875,4,33.803000000000004,0.1,0.0,0.0,4101353.7555555557,2283829.0,0.24766908225252365
UC44eGZ76AJLHAxPaJ_MW2RA,TheEngineeringFamily,6250000,4121,4,25.529,0.04,0.0,0.0,284682.28,28751.0,0.24648673651637648
UCuAHfJyWROB4XRReS43EWUw,The Bucket List Family,1500000,506,2,31.046666666666667,0.22,0.0,0.0,235085.54,186980.5,0.2460611697506688
UCt_KDu-DtBqvIw7X-V7mlmQ,Pari's Lifestyle,13800000,928,2,10.405666666666667,0.24,0.0,0.0,725525.72,640817.5,0.24503618412886766
UCK2ACorzpH-igxuHZ2ObCEA,itsJudysLife,1830000,4565,3,24.445,0.06,0.0,0.0,45256.94,41831.0,0.24353711041379292
UCPu78bdv1WY6b9Kk7xixhQw,The Ingham Family,1380000,3459,0,26.284333333333333,0.2,0.0,0.0,25213.4,23595.0,0.24158105601589558
UChGJGhZ9SOOHvBB0Y4DOO_w,Ryan's World,40300000,3684,1,36.27766666666666,0.1,0.0,0.0,217291.42,131061.0,0.2151079552359672
