id,title,channel_short_name,viewCount,performative,emotional_bait,narrative_conflict,challenge_format,commercial_content
TXeje0ZDrAs,Our first video back on youtube...,acefamily,923640,0,0,0,0,0
dVJjAQKOCzI,We're back,acefamily,1020268,0,0,0,0,0
4TY8OQG8JBI,ANSWERING ALL OF THE QUESTIONS,acefamily,4005388,0,1,0,0,0
W9JKlxYVelA,MY UNTOLD STORY...,acefamily,1395759,0,0,0,0,0
ekAiInxKFn4,IT'S FINALLY TIME....,acefamily,1529847,0,0,0,0,0
8Qeq35EMcUk,SURPRISING MY GIRLS FOR VALENTINE'S DAY!!!,acefamily,995048,1,1,0,0,0
n4DwNPfjd1Y,OUR DREAM HOUSE TOUR!!! **INSANE MANSION**,acefamily,1633556,1,1,0,0,0
uhZOUY3Magw,WHAT REALLY HAPPENED IN DUBAI...,acefamily,787279,0,0,0,0,0
NS60p6i6eOw,WE ARRIVED IN DUBAI!!!,acefamily,1075168,0,0,0,0,0
Ol-IcdEM69s,MOVING TO DUBAI!!! **GOODBYE LA**,acefamily,853906,0,0,0,0,0
ey_yThwa9zs,THE ACE FAMILY CHRISTMAS SPECIAL 2022!!! **GOING TO DUBAI**,acefamily,995334,1,1,0,0,0
GEAFJibTnGc,SURPRISING OUR KIDS WITH REALLY BAD CHRISTMAS GIFTS!!! **UNEXPECTED REACTIONS**,acefamily,698301,1,1,0,0,0
A4NaqspB0z8,A DAY IN A LIFE WITH ELLE!!!,acefamily,721266,0,0,0,0,0
FcuHn_yRAYk,"""I TOLD YOU I WASN'T FEELING WELL""...",acefamily,648151,0,0,0,0,0
9FuBBiz934o,OUR KIDS GO GROCERY SHOPPING FOR US!!! **WHO HAS THE BEST CART???**,acefamily,1244452,1,0,1,0,0
gVWw3LPs2tQ,THE SCARIEST DAY OF OUR LIFE...,acefamily,479690,0,0,0,0,0
buDUHXHTvrM,ELLE TRANSFORMS INTO WEDNESDAY **VIRAL NETFLIX SHOW**,acefamily,489756,0,1,0,0,0
0EaoARcw3yw,HAPPY ANNIVERSARY!!! **5 YEARS**,acefamily,607482,0,1,0,0,0
Lz9rYL_AKww,WE'VE HAD ENOUGH...CONFRONTING OUR NEIGHBORS!!!,acefamily,573157,1,0,1,0,0
UL59zv8Ftzg,HOUSE FOR SALE!!!,acefamily,592547,0,0,1,0,0
8W_Nn_qP5uQ,FAINTING IN FRONT OF MY KIDS TO SEE WHAT THEY DO...,acefamily,730165,0,0,1,0,0
oKCih0Bclb4,YOU WON'T BELIEVE WHAT HAPPENED TO THIS PUPPY!!! **SHOULD WE KEEP HIM???**,acefamily,389482,0,0,1,0,0
hRdysac16-I,SNEAKING INTO MY OLD HIGH SCHOOL!!! **SURPRISING STUDENTS**,acefamily,422663,0,0,0,1,0
0Sv_KDCXnnU,SHOWING OUR KIDS OUR FIRST HOME BEFORE YOUTUBE!!! **BEFORE THEY WERE BORN**,acefamily,811725,0,1,0,0,0
Mg6qEbCh5wA,"SOMEONE HIT OUR $500,000 CAR...AND LEFT US THIS NOTE!!!",acefamily,685814,0,1,0,0,0
4KLqQ2IEb2Y,EXTREME FAMILY YOGA CHALLENGE!!! **HILARIOUS**,acefamily,783790,0,0,0,0,1
yxl7CyaBqRg,I'M SORRY ACE...,acefamily,413749,1,0,0,1,0
GueV9cuX2G8,AUSTIN GOT ARRESTED...**CALLING HIS FAMILY FROM JAIL**,acefamily,1189069,0,0,1,0,0
pJUnz_97d6E,THE NEW ACE FAMILY INTRO!!! **CHRISTMAS EDITION**,acefamily,646834,0,0,0,0,0
eo9lnHCrm2A,SHE COULDN'T STOP CRYING!!! **EMOTIONAL**,acefamily,1020194,0,1,0,0,0
M0UYH2GXJng,OUR 2 YEAR OLD GOES ON HIS FIRST DATE!!! **GUESS WITH WHO**,acefamily,1090460,1,1,0,0,0
wRYyFXLFkGc,MY WIFE CAN’T BELIEVE I DID THIS…**HILARIOUS**,acefamily,837710,1,1,0,0,0
F_A_YpSrj54,MY HUSBAND CAN'T BELIEVE I WAS DOING THIS... **HILARIOUS**,acefamily,1207742,1,1,0,0,0
pOdmsbrTsVs,RATING MY WIFE'S HALLOWEEN COSTUMES!!! **HILARIOUS**,acefamily,1254196,1,1,0,0,0
zAcqcC6EQhg,SURPRISING OUR DAUGHTERS WITH A NEW ROOM MAKEOVER REVEAL!!! **ADORABLE**,acefamily,1667700,1,1,0,0,0
V0eyIW4Yd7Q,OUR NEW HOUSE TOUR!!!,acefamily,1830117,0,0,0,0,0
t9_jSnxAyBE,DISNEYLAND ALMOST RUINED ALAIA'S 4TH BIRTHDAY... **VERY SAD**,acefamily,1445418,0,1,0,0,0
YgvCP-XMqTU,WE'RE MOVING...,acefamily,1190442,0,0,0,0,0
