id,title,channel_short_name,viewCount,performative,emotional_bait,narrative_conflict,challenge_format,commercial_content,privacy_violation
GBnDOueMKJ0,TELLING MY DAD I'M PREGNANT WITH BABY #4!!!,acefamily,4404146.0,1,1,0,0,0,0
OFVPbFQ0QWE,"MEET THE ACE FAMILY'S NANNY""S!!! **FINALLY REVEALED**",acefamily,10450139.0,1,1,0,0,0,0
kO5pNNTh9IU,OUR DOG ACE IS MISSING!!!,acefamily,866440.0,1,1,1,0,0,0
0KngJfBoN7Q,ELLE'S REACTION TO HER FIRST MCDONALD'S HAPPY MEAL!!!,acefamily,7570789.0,1,0,0,0,0,0
zhiAa-QB5G8,BABY'S FIRST TIME AT THE ZOO!!!,acefamily,2725189.0,0,0,0,0,0,0
5L_1dEukGeU,TRYING GENDER PREDICTION TESTS!!! (WILL IT BE A GIRL OR BOY?),acefamily,6885977.0,1,0,0,0,0,0
hT9YmV6ccwE,THE ACE FAMILY'S NEW INTRO VIDEO!!! **AND SONG**,acefamily,1941289.0,1,1,0,0,0,0
5Tbri1Nh42Y,HICKEY PRANK ON GIRLFRIEND!!! (UNEXPECTED REACTION),acefamily,12959571.0,1,1,0,0,0,0
cIwO_6jHPq0,I PUT PERIOD BLOOD ON MY HUSBANDS FACE!!! **HE FREAKED OUT**,acefamily,2284953.0,1,1,0,0,0,0
_aKnXtK8F40,DADDY AND DAUGHTER SCARE MOMMY PRANK!!!,acefamily,8426023.0,1,1,0,0,0,0
jovpzWECNIk,WAXING BOYFRIENDS ARMPIT WHILE SLEEPING!!! **PRANK**,acefamily,7566938.0,1,1,0,0,0,0
gJMyBTkZZdg,OUR NEW DOG BIT OUR BABY! **SCARY MOMENT**,acefamily,3056641.0,0,1,1,0,0,0
fo95Y2hadaw,WE DIDN'T EXPECT THIS...,acefamily,5071576.0,1,1,1,0,0,0
Ksk_K5PgMZM,OUR DOG FINALLY CAME HOME...AND LOOK WHAT HAPPENED!!!,acefamily,1613827.0,1,1,0,0,0,0
SVdFMZnHgEU,WE CAUGHT ELLE DOING THIS!!! **ONLY 3 YEARS OLD**,acefamily,5216335.0,1,1,1,0,0,1
3orYB7_7OTI,"""YOU CAN BUY ANYTHING YOU WANT""!!! (MOTHER'S DAY SPECIAL)",acefamily,8913789.0,1,0,0,0,0,0
HajrYXDEDFc,CATHERINE LEFT US...,acefamily,7736847.0,1,1,1,0,0,0
KA3d8pSiQJE,FUN ADVENTURE TO VEGAS!!!,acefamily,6147694.0,0,0,0,0,0,0
jzWag9MsAx4,GIRLFRIEND DOES BOYFRIENDS MAKEUP CHALLENGE!!!,acefamily,3848332.0,1,0,0,1,0,0
A3gKtM0bsIw,ELLE'S FIRST DAY OF SCHOOL!!! (THE CUTEST BABY STUDENT),acefamily,23594256.0,0,0,0,0,0,0
_U2DvVpfDSA,OUR 2 YEAR OLDS BIRTHDAY PARTY WAS RUINED... **REALLY SAD**,acefamily,1498642.0,0,1,0,0,0,0
l3_sEhYBErw,SURPRISING MY PREGNANT WIFE FOR VALENTINES DAY!!!,acefamily,5325176.0,0,1,0,0,0,0
PXi9sVgImLI,FAKE LOTTERY TICKET PRANK ON BOYFRIEND!!! (BEST REACTION EVER),acefamily,10233048.0,1,1,0,0,0,0
9h51ML21wQs,SHOULD WE GET HIM???,acefamily,2692886.0,-1,0,0,0,0,0
yJ-6k8VZIAQ,SURPRISING AUSTIN FOR HIS 28TH BIRTHDAY! **EMOTIONAL**,acefamily,7231665.0,0,1,0,0,0,0
5JoMNyynQqQ,THE ACE FAMILY'S NEW INTRO VIDEO!!!,acefamily,3216834.0,1,0,0,0,0,0
QXY8H9iZrfo,SURPRISING ELLE WITH REALLY BAD CHRISTMAS GIFTS!!! **UNEXPECTED REACTION**,acefamily,5845052.0,1,1,0,0,0,1
MbmD5ZJGzGs,SHE ENDED UP TAKING A PREGNANCY TEST...,acefamily,1609763.0,0,1,0,0,0,0
RsdGGeDWl_Q,OUR NEW HOUSE TOUR! *EXCLUSIVE*,acefamily,4615843.0,0,0,0,0,0,0
ZTpZZE--XXU,IT'S TIME I GO...LEAVING THE GIRLS BEHIND!!!,acefamily,6046354.0,1,1,0,0,0,0
TBYKtkBUHJU,ADOPTING TWIN BABIES?!?!,acefamily,7597461.0,0,1,0,0,0,1
ARlIjH0ij7c,LETTING THE PERSON IN FRONT OF US DECIDE WHAT WE EAT!!! **FAMILY EDITON ON A GOLF CART**,acefamily,5068890.0,1,0,0,0,0,0
-Ze43SjmR9w,WE CAN'T BELIEVE ELLE DID THIS!!! (SHE'S EMBARRASSED),acefamily,14651059.0,1,1,1,0,0,0
IqQLkftZTT4,IT'S ABOUT TIME WE DO THIS...,acefamily,4377031.0,0,0,0,0,0,0
IC87dy1Nj5Q,WE FOUND A SECRET DOOR IN OUR NEW HOUSE!,acefamily,2228633.0,1,0,0,0,0,0
Ij0fI5kCWv8,BABY NAMES FOR A BOY AND GIRL!!!,acefamily,5587471.0,0,0,0,0,0,0
9zMxb17DMUM,CONFRONTING MY DAUGHTER ABOUT A BOY!!! **SHE WAS SHOOK**,acefamily,1619498.0,1,1,1,0,0,1
Zbot8he4ZCc,GIANT FLUFFY SLIME COMES ALIVE!!!,acefamily,8039027.0,1,0,0,0,0,0
puxjOc92kG8,TATTOOING MY SON'S NAME ON MY FACE!!!,acefamily,2676359.0,1,1,0,0,0,0
myBCVyhq-6Y,SURPRISING CATHERINE WITH EARLY CHRISTMAS GIFT!!! **SHE'S BEEN WAITING FOR THIS**,acefamily,4964738.0,-1,0,0,0,0,0
2wmJOZNzeDE,MY HUSBANDS REACTION TO GETTING MY LIPS DONE!!!,acefamily,3178140.0,0,1,0,0,0,0
nRbuVaOlUhE,ELLE IS NOW MODELING!!!,acefamily,3813596.0,1,0,0,0,0,0
1gIowbZK3Fg,SURPRISING BOYFRIEND WITH OUR DREAM HOUSE PRANK!!! (HE CRIES),acefamily,7855672.0,1,1,0,0,0,0
eFJtAfo05DA,HIDE 'N' SEEK IN THE NEW ACE FAMILY HOUSE!!!,acefamily,17122837.0,1,0,0,0,0,0
QFjDUpMQPRM,CAN'T BELIEVE WE WALKED IN ON THIS...,acefamily,7490850.0,0,1,1,0,0,1
N1PXjVdmMs4,WHY I NEED TO WIN...,acefamily,645265.0,0,0,0,0,0,0
H9RcqVHvjxM,MOVING BACK INTO THE OLD ACE FAMILY HOUSE!?!?,acefamily,5397529.0,0,1,0,0,0,0
f7InPXfPsV8,CATHERINE'S DAD REVEALS HER DEEPEST SECRETS!!! **I CAN'T BELIEVE IT**,acefamily,8061957.0,0,1,1,0,0,1
Hvd8RNd2rwU,SAYING GOODBYE...,acefamily,3947934.0,0,0,0,0,0,0
Z4ljzJuLhxQ,YOU BETTER KNOW ME OR ELSE... (PAINFUL CHALLENGE),acefamily,7540888.0,1,1,1,1,0,0
lQFg2t2e8t0,COPS vs ROBBERS -  ESCAPE THE BANK!!  Adley & Niko play a new Roblox game!  Adley’s App Review pt 2,aforadley,12883122.0,1,0,1,1,0,0
7sSjdJGiApQ,LAST to LEAVE - FiNAL DAY!!  Adley or Niko will WiN 100 Robux after our Ultimate Morning Challenge!,aforadley,1321478.0,1,1,0,1,0,0
U_9Cw_L5-iU,DiSNEY GAME SHOW!! Adley vs Pirate Dad! playing Disney Movie Trivia for a Chocolate Trophy with Mom!,aforadley,6943464.0,1,0,0,1,0,0
4cBocz4j3Ak,TiME MACHiNE to little Adley and Niko!!  2 Years ago we buried diy capsule crafts at pirate island!,aforadley,1791610.0,0,0,0,0,0,0
DQohzxWg0pU,NiKO & ADLEY MUTANT NiNJA TURTLES!!  Saving Dad from Shredder! Niko's crazy 6th Birthday pizza party,aforadley,8153372.0,1,0,1,0,0,0
bz8Su-pnz38,TRiCK or TREAT inside our HOUSE!!  Halloween Routine safe DIY neighborhood with Mom & Dad costumes!,aforadley,94120625.0,0,0,0,0,0,0
Pj-3zshnyMs,ANiMAL ZOO Transfer!!  Adley & Dad build a play doh pet neighborhood and pretend vet doctor check up,aforadley,37456379.0,1,0,0,0,0,0
l_mPnIU28uw,ADLEY starts a SPACESTATiON SALON!!  Free Hair Style and Fashion Makeover for crew! Adley's the Boss,aforadley,13060012.0,1,0,0,0,0,0
zjJaQN2YeCk,Adley Niko & Navey make LEPRECHAUN TRAPS!!  Family Crafts with Slime! caught Green Handed rap song,aforadley,2158819.0,1,0,0,0,0,0
l98sSLPIYlY,"PRiNCESS MAKEOVER the MOVIE!!  Adley & Fairy Mom do a surprise disney spa, mystery guest CRAB DAD 🦀",aforadley,28505485.0,1,1,1,0,0,0
_0nPTofiVDM,Ninja Course with BiGGEST SLiDES EVER!!  New Park with Adley Niko & Navey and playing lava monster,aforadley,713443.0,1,1,0,0,0,0
VZTZYD3Dbjc,CRAFTS with ADLEY & ALLi ✂️ Making Baby Clothes DIY and fun Fashion Show! how to make doll costumes!,aforadley,10144495.0,1,0,0,0,0,0
-hS-SgbHvGY,"ADLEY iPAD TOUR!! playing Barbie Dream House, Princess Makeover, Toca Town pretend play, app reviews",aforadley,23496050.0,1,0,0,0,0,0
N3b24Gj3FMQ,"NiKO, you shrunk the ADLEY and NAVEY!! a Tiny Surprise on Turkey Day! Family Shrinks on Thanksgiving",aforadley,1873799.0,1,0,0,0,0,0
uYncrPomeLw,Adley’s BRAiN GAME!!  Finding Memories for B I N G O a family 2020 recap MOViE review with Niko 🍿,aforadley,14905781.0,1,0,0,0,0,0
OZQHb8T2LQs,HOT LAVA Obstacle Course!! DONT FALL! Real floor is lava for Polly Pocket toys! pretend adventure 🌋,aforadley,6334030.0,1,1,0,0,0,0
rOs-s7nwYYY,ALL MY BABIES!! Adley App Reviews THE MOVIE | baby animal doctor | 1 HOUR playing games with family!,aforadley,35278242.0,1,0,0,0,0,0
DBkcuepQY9I,ADLEY iNTERViEWS ENZO's MOM!!  reading YOUR letters! Surprise package and toys from Delivery Dad,aforadley,631280.0,1,0,0,0,0,0
H-VGtqrvZ-Q,Adley PET SPA and HAiR SALON!!  Doggy Day Care with Dad! Fashion Makeover for baby Cutie Cuts dogs,aforadley,14810653.0,1,0,0,0,0,0
k4fZV6Q6Iz0,Unicorn & Fairy Makeover for Pirate island!!!  Surprise pirate play ship for Adley and our family ☠,aforadley,21513720.0,1,0,0,0,0,0
GgPcIEwcCvI,❤️ VALENTINE'S DAY CHALLENGE ❤️ Adley and Dad play a surprise GAME SHOW with Hearts Flowers & Magic,aforadley,10286293.0,1,0,0,1,0,0
y9jocq0f_HQ,A for ADLEY SCHOOL!!  First day of class with our new teacher! we learn alphabet letters & spelling!,aforadley,4847846.0,0,0,0,0,0,0
TWceX5zCb8k,PiRATE iSLAND Adley Cartoon!!  Pirate vs Fairy in a Beach Battle for gold and treasure! 3D animation,aforadley,18505553.0,1,0,1,0,0,0
8ni8kdhGTc0,A LOST MERMAiD!!  5 year old Mermaid learns how to be a REAL Kid! Adley magic backyard pool makeover,aforadley,81794715.0,1,0,0,0,0,0
6J1PbYwqjJA,the BEST ELF MORNiNGS with Snowy and Elfy!! Adley Niko & Navey's magical morning routine hide n seek,aforadley,4477832.0,0,0,0,0,0,0
