id,channel_short_name,viewCount,is_challenge,is_unboxing,is_prank,is_storytime,is_vlog,is_tutorial,is_reaction,is_qa,is_review,is_mukbang,is_game,is_roleplay,is_music,is_toy,is_shorts,has_clickbait_emotion,has_urgency,has_mystery,has_conflict,has_medical,has_brand,has_money,has_giveaway,has_milestone,has_travel,title_length,word_count,caps_ratio,exclamation_count,question_mark,has_emoji,has_ellipsis,has_number,has_all_caps_word
TXeje0ZDrAs,acefamily,923640.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,6,0.029411764705882353,0,0,0,1,0,0
dVJjAQKOCzI,acefamily,1020268.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0.1,0,0,0,0,0,0
4TY8OQG8JBI,acefamily,4005388.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,0.8666666666666667,0,0,0,0,0,1
W9JKlxYVelA,acefamily,1395759.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0.7222222222222222,0,0,0,1,0,1
ekAiInxKFn4,acefamily,1529847.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,3,0.6666666666666666,0,0,0,1,0,1
8Qeq35EMcUk,acefamily,995048.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42,6,0.7857142857142857,3,0,0,0,0,1
n4DwNPfjd1Y,acefamily,1633556.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,42,6,0.7142857142857143,3,0,0,0,0,1
uhZOUY3Magw,acefamily,787279.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,5,0.78125,0,0,0,1,0,1
NS60p6i6eOw,acefamily,1075168.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,0.7272727272727273,3,0,0,0,0,1
Ol-IcdEM69s,acefamily,853906.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33,5,0.6666666666666666,3,0,0,0,0,1
ey_yThwa9zs,acefamily,995334.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,59,9,0.6779661016949152,3,0,0,0,1,1
GEAFJibTnGc,acefamily,698301.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,79,10,0.7974683544303798,3,0,0,0,0,1
A4NaqspB0z8,acefamily,721266.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,7,0.6785714285714286,3,0,0,0,0,1
FcuHn_yRAYk,acefamily,648151.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,7,0.6756756756756757,0,0,0,1,0,1
9FuBBiz934o,acefamily,1244452.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,67,12,0.6865671641791045,3,1,0,0,0,1
gVWw3LPs2tQ,acefamily,479690.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,6,0.7419354838709677,0,0,0,1,0,1
buDUHXHTvrM,acefamily,489756.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,7,0.8113207547169812,0,0,0,0,0,1
0EaoARcw3yw,acefamily,607482.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32,4,0.65625,3,0,0,0,1,1
Lz9rYL_AKww,acefamily,573157.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,5,0.7659574468085106,3,0,0,1,0,1
UL59zv8Ftzg,acefamily,592547.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0.7058823529411765,3,0,0,0,0,1
8W_Nn_qP5uQ,acefamily,730165.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,11,0.7450980392156863,0,0,0,1,0,1
oKCih0Bclb4,acefamily,389482.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,74,12,0.7027027027027027,3,1,0,0,0,1
hRdysac16-I,acefamily,422663.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,59,8,0.7627118644067796,3,0,0,0,0,1
0Sv_KDCXnnU,acefamily,811725.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,75,12,0.76,3,0,0,0,0,1
Mg6qEbCh5wA,acefamily,685814.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,55,9,0.6,3,0,0,1,1,1
4KLqQ2IEb2Y,acefamily,783790.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,5,0.7608695652173914,3,0,0,0,0,1
yxl7CyaBqRg,acefamily,413749.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0.625,0,0,0,1,0,1
GueV9cuX2G8,acefamily,1189069.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,7,0.7592592592592593,0,0,0,1,0,1
pJUnz_97d6E,acefamily,646834.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,49,7,0.7346938775510204,3,0,0,0,0,1
eo9lnHCrm2A,acefamily,1020194.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,41,5,0.7073170731707317,3,0,0,0,0,1
M0UYH2GXJng,acefamily,1090460.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,12,0.6779661016949152,3,0,0,0,1,1
wRYyFXLFkGc,acefamily,837710.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,7,0.7391304347826086,0,0,1,0,0,1
F_A_YpSrj54,acefamily,1207742.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,9,0.7241379310344828,0,0,0,1,0,1
pOdmsbrTsVs,acefamily,1254196.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,52,6,0.75,3,0,0,0,0,1
zAcqcC6EQhg,acefamily,1667700.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,72,10,0.7777777777777778,3,0,0,0,0,1
