k,silhouette,min_channels,max_concentration
5,0.10824997395675046,18,0.4860413176996092
6,0.11194235605193216,21,0.7215489210759681
7,0.09286682122507611,18,0.4477228992944195
8,0.08980967360989155,17,0.7266804856381404
9,0.12991471310503966,17,0.7463154593916588
10,0.14170984683947596,17,0.7288710672424429
11,0.1079508769812072,17,0.7436856875584659
12,0.14513972410386403,17,0.743020304568528
13,0.15341362961995977,17,0.7375594294770206
14,0.15004741480888578,17,0.7524062396282775
15,0.16904563828776775,17,0.7463223275580255
16,0.1727444889153838,17,0.755787414411477
17,0.17671660769858394,17,0.7390572390572391
18,0.18285233457449407,17,0.7642907551164432
19,0.17404207117553255,17,0.7471550497866287
20,0.19235268826936452,17,0.7500898957209636
21,0.20302210061465562,17,0.783376241265171
22,0.20792860148879608,17,0.7801708132194578
23,0.19968582862448903,17,0.7805891238670695
24,0.22114663210414337,17,0.7659821774506005
