k,silhouette,max_concentration,min_channels
5,0.03095208667218685,0.15817261071005279,23
6,0.032082449644804,0.14743737071937485,23
7,0.03311575949192047,0.38239339752407153,20
8,0.03418070822954178,0.390625,20
9,0.03120499849319458,0.4068810770381451,20
10,0.03112836368381977,0.4112587959343237,19
11,0.030452851206064224,0.4159220146222583,19
12,0.029917003586888313,0.5635714285714286,19
13,0.033299513161182404,0.5457102672292545,19
14,0.03338702395558357,0.523224043715847,19
15,0.02996044233441353,0.8951048951048951,16
16,0.012931488454341888,0.6452854393842207,19
17,0.02174369990825653,0.9925093632958801,5
18,0.019109586253762245,0.9887850467289719,7
19,0.03299064561724663,0.9230769230769231,12
