labor_type,emotional_exploitation,content_format
organic,0,vlog
organic,0,vlog
performative,0,reaction
organic,0,storytime
organic,0,vlog
performative,0,prank
organic,0,house_tour
organic,0,storytime
organic,0,travel
organic,0,travel
organic,0,challenge
performative,1,reaction
organic,0,storytime
performative,1,reaction
organic,0,grocery
performative,1,reaction
organic,1,storytime
organic,0,reaction
organic,0,anniversary
performative,1,drama
organic,1,drama
performative,1,storytime
performative,1,reaction
performative,1,reaction
performative,1,reaction
performative,0,reaction
performative,1,reaction
performative,0,reaction
performative,1,reaction
performative,1,reaction
performative,0,announcement
performative,1,drama
performative,0,challenge
performative,0,apology
performative,1,drama
performative,1,reaction
performative,1,drama
performative,0,milestone
performative,1,drama
performative,0,reaction
performative,1,drama
performative,1,drama
performative,1,drama
performative,1,drama
performative,0,storytime
performative,1,drama
organic,0,storytime
ambiguous,0,other
ambiguous,0,other
ambiguous,0,other
organic,0,drama
organic,0,drama
performative,1,medical
performative,1,drama
organic,1,milestone
performative,1,milestone
performative,0,drama
organic,0,milestone
organic,1,milestone
organic,0,milestone
organic,0,else
organic,1,drama
organic,1,vlog
organic,0,travel
organic,0,milestone
performative,0,announcement
performative,1,drama
performative,1,reaction
organic,0,milestone
organic,1,vlog
performative,1,drama
performative,0,game
performative,1,challenge
performative,1,drama
performative,1,drama
performative,1,drama
organice,0,drama
performative,1,drama
performative,1,drama
performative,1,drama
performative,0,milestone
performative,1,milestone
performative,0,milestone
performative,0,milestone
performative,0,milestone
performative,1,drama
performative,1,drama
organice,0,milestone
performative,1,milestone
performative,1,reaction
performative,1,drama
performative,1,drama
performative,1,drama
performative,0,milestone
performative,1,milestone
performative,0,milestone
performative,1,milestone
performative,1,drama
performative,1,milestone
performative,1,milestone
organic,0,vlog
organic,0,milestone
performative,1,medical
performative,1,drama
ambiguous,0,reaction
performative,0,challenge
performative,0,challenge
organic,0,reaction
performative,0,challenge
performative,0,prank
performative,0,reaction
performative,0,game
performative,0,game
organic,0,vlog
organic,1,milestone
