content_type,target_audience,emotional_tone,commercialization,exploitation_risk,video_id
storytime,family,dramatic,low,medium,GBnDOueMKJ0
vlog,family,mysterious,medium,medium,OFVPbFQ0QWE
storytime,family,urgent,low,medium,kO5pNNTh9IU
reaction,young_child,happy,high,low,0KngJfBoN7Q
vlog,toddler,happy,low,low,zhiAa-QB5G8
challenge,family,excited,low,medium,5L_1dEukGeU
music,family,happy,medium,low,hT9YmV6ccwE
prank,teen,excited,low,low,5Tbri1Nh42Y
prank,teen,dramatic,low,high,cIwO_6jHPq0
prank,family,excited,low,medium,_aKnXtK8F40
prank,teen,excited,low,high,jovpzWECNIk
storytime,family,dramatic,low,high,gJMyBTkZZdg
other,general,mysterious,low,medium,fo95Y2hadaw
storytime,family,happy,low,medium,Ksk_K5PgMZM
storytime,family,dramatic,medium,high,SVdFMZnHgEU
other,general,happy,medium,low,3orYB7_7OTI
vlog,family,happy,low,low,HajrYXDEDFc
challenge,teen,excited,low,low,KA3d8pSiQJE
vlog,tween,happy,low,low,jzWag9MsAx4
storytime,family,sad,low,high,A3gKtM0bsIw
storytime,family,happy,low,low,_U2DvVpfDSA
storytime,family,happy,low,low,l3_sEhYBErw
prank,teen,excited,low,low,PXi9sVgImLI
other,general,neutral,low,low,9h51ML21wQs
storytime,family,emotional,low,medium,yJ-6k8VZIAQ
storytime,family,happy,low,medium,5JoMNyynQqQ
other,family,neutral,low,low,QXY8H9iZrfo
lifestyle,family,neutral,medium,low,MbmD5ZJGzGs
storytime,family,dramatic,low,medium,RsdGGeDWl_Q
storytime,family,dramatic,low,high,ZTpZZE--XXU
storytime,family,sad,low,medium,TBYKtkBUHJU
storytime,family,happy,low,medium,ARlIjH0ij7c
vlog,family,happy,low,low,-Ze43SjmR9w
storytime,family,dramatic,low,medium,IqQLkftZTT4
storytime,family,sad,low,medium,IC87dy1Nj5Q
challenge,tween,excited,low,low,Ij0fI5kCWv8
other,general,neutral,none,low,9zMxb17DMUM
other,general,neutral,none,low,Zbot8he4ZCc
other,general,neutral,none,low,puxjOc92kG8
other,general,neutral,none,low,myBCVyhq-6Y
other,general,neutral,none,low,2wmJOZNzeDE
other,general,neutral,none,low,nRbuVaOlUhE
other,general,neutral,none,low,1gIowbZK3Fg
other,general,neutral,none,low,eFJtAfo05DA
other,general,neutral,none,low,QFjDUpMQPRM
other,general,neutral,none,low,N1PXjVdmMs4
other,general,neutral,none,low,H9RcqVHvjxM
other,general,neutral,none,low,f7InPXfPsV8
other,general,neutral,none,low,Hvd8RNd2rwU
other,general,neutral,none,low,Z4ljzJuLhxQ
prank,family,excited,low,medium,CUdONzxaTu8
reaction,family,dramatic,low,high,AmtrhZPo7No
challenge,family,excited,low,medium,piCb5fGIZHM
storytime,family,dramatic,low,high,G2lLBiyZxKs
prank,family,excited,low,medium,3Qw5o5uTfYo
other,general,mysterious,none,low,TgmcVK5Z2JI
vlog,general,excited,medium,low,C9GanXviuds
vlog,general,happy,medium,low,7xuGI7xO_cQ
music,family,happy,low,low,ESlMhwK_yK8
other,general,happy,none,low,-jmfIrbo-rc
vlog,family,happy,high,medium,ey_yThwa9zs
challenge,family,excited,low,low,BG_V4bN7LdM
lifestyle,general,excited,medium,low,p79w-7iSs8g
storytime,family,dramatic,medium,medium,fdP2qcKGiUw
lifestyle,family,dramatic,medium,medium,y33_PFRM86w
storytime,family,dramatic,medium,medium,OCET05T4PBM
other,general,happy,low,low,rpHXOgCWibo
prank,family,excited,low,medium,Vgp7_hMrOd4
other,general,neutral,none,medium,f16wIBp_uFc
lifestyle,family,excited,low,low,pwkC8NiLHbw
toy_play,family,happy,medium,medium,2QbIK-3dcUs
vlog,family,happy,low,low,nxBbHkSlXHk
lifestyle,family,happy,low,low,sFx3bc6TyVY
other,general,neutral,none,low,qGvFATT_SYA
other,general,neutral,none,high,iSPVv0YaKZY
prank,family,happy,low,medium,1gNUnNbwcOQ
challenge,family,excited,low,low,P7Pba2-j5AQ
toy_play,family,happy,medium,high,LbCAJZpWwFE
vlog,family,happy,low,low,Ziqow5hBwW8
game,toddler,happy,low,low,H3TvSP30lrM
other,general,neutral,none,low,g7mzGOfdVLQ
lifestyle,family,neutral,low,low,O6VON2LNNik
storytime,family,neutral,low,high,OPZrTetean8
educational,family,neutral,low,high,1sZE5qyiADI
storytime,general,dramatic,low,medium,r6pMuptW2NM
drama,general,dramatic,none,low,YBbgO2jR9EM
lifestyle,family,happy,low,low,9Bt2vgj-x2w
vlog,general,neutral,low,low,p7uCni_gplQ
vlog,family,neutral,low,low,2n3m9CnzYIE
other,family,neutral,low,low,wP0Qdb0RdQk
toy_play,family,happy,low,low,G1OIePCg1XQ
lifestyle,family,neutral,low,low,FGAseF35rr8
storytime,family,happy,low,low,_30qOKlwZbA
mukbang,general,dramatic,medium,low,MbfZ3DFbqDU
vlog,general,neutral,medium,low,e8uDjt6TDwA
religious,general,neutral,low,low,cbb7ewKomig
