video_id,youtube_link,title,channel,views,sample_group,MODEL_performative_labor_prob,MODEL_performative_labor_pred,MODEL_emotional_bait_prob,MODEL_emotional_bait_pred,MODEL_narrative_conflict_prob,MODEL_narrative_conflict_pred,MODEL_challenge_format_prob,MODEL_challenge_format_pred,MODEL_commercial_content_prob,MODEL_commercial_content_pred,MODEL_privacy_violation_prob,MODEL_privacy_violation_pred,MODEL_exploitation_score,MODEL_overall_prediction,MODEL_confidence,MODEL_n_dims_flagged,,HUMAN_performative_labor,HUMAN_emotional_bait,HUMAN_narrative_conflict,HUMAN_challenge_format,HUMAN_commercial_content,HUMAN_privacy_violation,HUMAN_overall_exploitative,HUMAN_notes
3AMJZP-fm4A,https://www.youtube.com/watch?v=3AMJZP-fm4A,AMAZING SEATS at NFL FOOTBALL GAME!! TAILGATING at 9AM!!,ourfamilynest,14372,high_conf_clean,0.0,NO,0.783,YES,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.455,CLEAN,0.612,2,,,,,,,,,
JhnVNLvyDVI,https://www.youtube.com/watch?v=JhnVNLvyDVI,PLAYING NO FILL IN APEX,ronaldomg,727059,low_confidence,0.0,NO,0.765,YES,0.305,NO,0.5,ABSTAIN,0.501,YES,0.374,NO,0.408,CLEAN,0.363,2,,,,,,,,,
MfTOw_p0Go4,https://www.youtube.com/watch?v=MfTOw_p0Go4,She was CRYING!  Dance Grand Champions!,ourfamilynest,28846,high_conf_exploit,0.953,YES,1.0,YES,0.868,YES,1.0,YES,0.999,YES,0.5,ABSTAIN,0.887,EXPLOITATIVE,0.773,5,,,,,,,,,
ewUtB8tf3V4,https://www.youtube.com/watch?v=ewUtB8tf3V4,😱The Slide was Faster Than we Expected💦,samandnia,14390,low_confidence,0.0,NO,0.5,ABSTAIN,0.305,NO,0.268,NO,0.501,YES,0.374,NO,0.325,CLEAN,0.352,1,,,,,,,,,
RYmns96t4_E,https://www.youtube.com/watch?v=RYmns96t4_E,Jason Plays vs Pacman in Real Life Game Challenge,jasonvlogs,146977152,high_conf_exploit,1.0,YES,0.707,YES,0.999,YES,1.0,YES,0.331,NO,0.374,NO,0.735,EXPLOITATIVE,0.667,4,,,,,,,,,
Qd_ZAUhrK5M,https://www.youtube.com/watch?v=Qd_ZAUhrK5M,Can Blippi Hit the Archery Target? 🏕️ - Blippi the Hero | Outdoor Playground Treetop Fun,blippi,495194,low_confidence,0.849,YES,0.5,ABSTAIN,0.5,ABSTAIN,0.5,ABSTAIN,0.67,YES,0.5,ABSTAIN,0.587,EXPLOITATIVE,0.173,2,,,,,,,,,
tEisBQIR_bM,https://www.youtube.com/watch?v=tEisBQIR_bM,What's On Your Phone Game! Thanksgiving Edition,thatyoutub3family,59752,random,1.0,YES,0.5,ABSTAIN,0.305,NO,1.0,YES,0.331,NO,0.374,NO,0.585,EXPLOITATIVE,0.497,2,,,,,,,,,
9FPSlgO2i8w,https://www.youtube.com/watch?v=9FPSlgO2i8w,SURPRISE!!! - @itsJudysLife,itsjudyslife,109315,high_conf_clean,0.0,NO,1.0,YES,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.491,CLEAN,0.684,2,,,,,,,,,
72zbst7LWBc,https://www.youtube.com/watch?v=72zbst7LWBc,"Spend The Day With Bramty! (GRWM, Workout, Errands, Girl Talk)",thebramfam,74846,random,0.0,NO,0.238,NO,0.305,NO,0.268,NO,0.331,NO,0.374,NO,0.253,CLEAN,0.495,0,,,,,,,,,
WUinF-lsHtg,https://www.youtube.com/watch?v=WUinF-lsHtg,I found him in bed like this 😳,thedashleys,33060,random,0.0,NO,0.707,YES,0.5,ABSTAIN,0.268,NO,1.0,YES,1.0,YES,0.579,EXPLOITATIVE,0.646,3,,,,,,,,,
Bj97GX-GtvI,https://www.youtube.com/watch?v=Bj97GX-GtvI,Mall Try On Clothing Haul for Summer,jacyandkacy,61907,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.364,CLEAN,0.605,1,,,,,,,,,
Kjc8tK2OSn0,https://www.youtube.com/watch?v=Kjc8tK2OSn0,GUESS THE LOGO! MARY VS IZZY,lifewithbrothers,79070,random,1.0,YES,0.765,YES,1.0,YES,1.0,YES,0.894,YES,0.374,NO,0.839,EXPLOITATIVE,0.762,5,,,,,,,,,
7FnT7aBd_Js,https://www.youtube.com/watch?v=7FnT7aBd_Js,SPANISH | Mexican Survival Guide,crazygorilla,241337,random,0.953,YES,0.707,YES,0.868,YES,0.268,NO,0.331,NO,0.374,NO,0.583,EXPLOITATIVE,0.518,3,,,,,,,,,
