video_id,youtube_link,title,channel,views,sample_group,MODEL_performative_labor_prob,MODEL_performative_labor_pred,MODEL_emotional_bait_prob,MODEL_emotional_bait_pred,MODEL_narrative_conflict_prob,MODEL_narrative_conflict_pred,MODEL_challenge_format_prob,MODEL_challenge_format_pred,MODEL_commercial_content_prob,MODEL_commercial_content_pred,MODEL_privacy_violation_prob,MODEL_privacy_violation_pred,MODEL_exploitation_score,MODEL_overall_prediction,MODEL_confidence,MODEL_n_dims_flagged,Human Labeled,Note
7YIH4sMoNAw,https://www.youtube.com/watch?v=7YIH4sMoNAw,It's Annie's Fault (WK 276.2) | Bratayley,bratayley,677967,high_conf_clean,0.0,NO,0.238,NO,1.0,YES,0.268,NO,0.945,YES,0.5,ABSTAIN,0.492,CLEAN,0.646,2,,
UcGrnLDfs4E,https://www.youtube.com/watch?v=UcGrnLDfs4E,Annie Annie Over Game,thatyoutub3family,119245,low_confidence,0.985,YES,0.5,ABSTAIN,0.5,ABSTAIN,1.0,YES,0.331,NO,0.374,NO,0.615,EXPLOITATIVE,0.427,2,,
VntI-HfKRsw,https://www.youtube.com/watch?v=VntI-HfKRsw,Last To Leave The Mystery Box Challenge Wins!,theadventurers,38726,high_conf_exploit,1.0,YES,0.707,YES,0.868,YES,1.0,YES,0.776,YES,0.374,NO,0.787,EXPLOITATIVE,0.659,5,,
7XSnxfb0b40,https://www.youtube.com/watch?v=7XSnxfb0b40,Monster Kindergarten: A Magical Friendship Story,kidsdianashow,33532050,low_confidence,0.953,YES,0.707,YES,0.305,NO,0.268,NO,0.501,YES,0.5,ABSTAIN,0.539,EXPLOITATIVE,0.363,3,,
-StVPOQ5Lgk,https://www.youtube.com/watch?v=-StVPOQ5Lgk,Ninja Kidz Unleash their NEW Powers - You wont believe what they can do now!,ninjakidztv,13584209,high_conf_exploit,0.981,YES,1.0,YES,0.868,YES,0.268,NO,0.894,YES,0.374,NO,0.731,EXPLOITATIVE,0.7,4,,
0yrufIuJkGs,https://www.youtube.com/watch?v=0yrufIuJkGs,COOLEST AUNT EVER!,kkandbabyj,107871,low_confidence,0.0,NO,0.504,YES,0.305,NO,0.268,NO,0.331,NO,0.5,ABSTAIN,0.318,CLEAN,0.367,1,,
wiCkUI15tGY,https://www.youtube.com/watch?v=wiCkUI15tGY,Stalked By Pumpkins 2! A Halloween Tale,jillianandaddie,14681525,random,0.981,YES,0.707,YES,0.868,YES,0.268,NO,0.501,YES,0.374,NO,0.616,EXPLOITATIVE,0.472,4,,
MwF5LTQwg0w,https://www.youtube.com/watch?v=MwF5LTQwg0w,SISTERS MEET BABY BROTHER FOR FIRST TIME! (EMOTIONAL),johnsonsfam,2486357,high_conf_clean,0.0,NO,1.0,YES,0.305,NO,0.268,NO,0.331,NO,0.999,YES,0.484,CLEAN,0.698,2,,
dfgbMhAohpM,https://www.youtube.com/watch?v=dfgbMhAohpM,WHAT IF MOMMY HAD A BABY?!,thesacconejolys,327326,random,0.953,YES,0.765,YES,0.5,ABSTAIN,0.268,NO,0.876,YES,0.5,ABSTAIN,0.644,EXPLOITATIVE,0.442,3,,
eWooaWlF05o,https://www.youtube.com/watch?v=eWooaWlF05o,Dress To Impress (Official Music Video),theskorys,37277,random,0.953,YES,0.238,NO,0.305,NO,0.268,NO,0.894,YES,0.374,NO,0.505,EXPLOITATIVE,0.554,2,,
KdEeGathT48,https://www.youtube.com/watch?v=KdEeGathT48,"Try On Clothing Shopping Haul - Favorite Basics from Amazon, Old Navy & TjMaxx",jacyandkacy,20616,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.364,CLEAN,0.605,1,,
u1edxb9zR3Y,https://www.youtube.com/watch?v=u1edxb9zR3Y,EARLY BIRTHDAY PRESENT SURPRISE!,dailybumps,580722,random,0.0,NO,1.0,YES,0.305,NO,0.268,NO,0.5,ABSTAIN,0.997,YES,0.512,EXPLOITATIVE,0.641,2,,
uwRKg73npAk,https://www.youtube.com/watch?v=uwRKg73npAk,We're Leaving the Country..,inghamfamily,25501,random,0.0,NO,0.5,ABSTAIN,0.305,NO,0.268,NO,0.501,YES,0.374,NO,0.325,CLEAN,0.352,1,,
bLSWrKDZ774,https://www.youtube.com/watch?v=bLSWrKDZ774,Who Knows Shae BETTER?! (Dad vs. Wyatt),ohanaboys,114851,random,0.998,YES,0.707,YES,1.0,YES,1.0,YES,1.0,YES,0.374,NO,0.846,EXPLOITATIVE,0.777,5,,
OmJDuru7bFA,https://www.youtube.com/watch?v=OmJDuru7bFA,my brother rates my cooking,karinakurzawa,249984,low_confidence,0.751,YES,0.238,NO,0.305,NO,0.268,NO,0.331,NO,0.374,NO,0.378,CLEAN,0.412,1,,
EI6rU9ayylw,https://www.youtube.com/watch?v=EI6rU9ayylw,Most Tickets From The Arcade Wins! Family Activity Wars!,thatyoutub3family,35749,high_conf_exploit,0.985,YES,0.5,ABSTAIN,1.0,YES,1.0,YES,0.876,YES,0.374,NO,0.789,EXPLOITATIVE,0.662,4,,
yMH3vAByQ-M,https://www.youtube.com/watch?v=yMH3vAByQ-M,Game Master Caught Leaving New Big Bow Rainbocorns at Our House!,trinityandbeyond,3594515,high_conf_exploit,0.998,YES,0.707,YES,1.0,YES,0.268,NO,1.0,YES,0.374,NO,0.724,EXPLOITATIVE,0.687,4,,
vwvoYcCEuig,https://www.youtube.com/watch?v=vwvoYcCEuig,"🍟 DOES COKE TASTE DIFFERENT at FAMOUS FAST FOOD PLACES? 🥤** McDonalds, Chic-Fil-A, In & Out**",johnsonsfam,251201,random,0.953,YES,0.707,YES,0.305,NO,1.0,YES,0.894,YES,0.374,NO,0.705,EXPLOITATIVE,0.625,4,,
ncEYHiiYvk4,https://www.youtube.com/watch?v=ncEYHiiYvk4,WHY 2019 WAS THE BEST YEAR OF OUR LIVES,everleighrose,519934,low_confidence,0.0,NO,0.504,YES,0.305,NO,0.268,NO,0.331,NO,0.374,NO,0.297,CLEAN,0.409,1,,
sS89FnQWwvA,https://www.youtube.com/watch?v=sS89FnQWwvA,Candle Blowing Challenge! Family Game Night!,thatyoutub3family,61677,high_conf_exploit,1.0,YES,0.707,YES,0.868,YES,1.0,YES,0.331,NO,0.374,NO,0.713,EXPLOITATIVE,0.623,4,,
7lHDJ69KN58,https://www.youtube.com/watch?v=7lHDJ69KN58,Trying Christmas Traditions from the UK!,ballingerfamily,165357,random,0.398,NO,0.5,ABSTAIN,0.5,ABSTAIN,0.5,ABSTAIN,1.0,YES,0.5,ABSTAIN,0.566,EXPLOITATIVE,0.201,1,,
CViERO7eoMk,https://www.youtube.com/watch?v=CViERO7eoMk,WE FINALLY DID IT! HUGE SURPRISE ANNOUNCEMENT!,theweisslife,25049,high_conf_clean,0.0,NO,0.765,YES,0.305,NO,0.268,NO,0.999,YES,0.374,NO,0.452,CLEAN,0.606,2,,
mfTigUQ6HvI,https://www.youtube.com/watch?v=mfTigUQ6HvI,Nastya explains the safety rules in the city with the Littlest Pet Shop toys,likenastya,3448814,random,0.953,YES,0.5,ABSTAIN,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.567,EXPLOITATIVE,0.502,2,,
qQQ7WGkU6EM,https://www.youtube.com/watch?v=qQQ7WGkU6EM,GENDER REVEAL! Adopting 9 Pups!,funsquadfamily,606005,random,0.953,YES,0.707,YES,0.5,ABSTAIN,1.0,YES,0.876,YES,0.374,NO,0.735,EXPLOITATIVE,0.554,4,,
OMIugzlZr7c,https://www.youtube.com/watch?v=OMIugzlZr7c,Mystery Hike! Giant Surprise On This Mountain!,funsquadfamily,132616,low_confidence,0.0,NO,0.5,ABSTAIN,0.305,NO,0.268,NO,0.501,YES,0.374,NO,0.325,CLEAN,0.352,1,,
CLz6r3fN9Lc,https://www.youtube.com/watch?v=CLz6r3fN9Lc,Baby Wren is home!! NewBorn Birthday Party!!!,smellybellytv,302255,high_conf_clean,0.0,NO,0.78,YES,0.305,NO,0.268,NO,0.331,NO,0.999,YES,0.447,CLEAN,0.625,2,,
aVB9wk36SvU,https://www.youtube.com/watch?v=aVB9wk36SvU,PLAYING IN THE POOL!,dailybumps,3624215,random,0.0,NO,0.765,YES,0.305,NO,0.268,NO,0.331,NO,0.997,YES,0.444,CLEAN,0.619,2,,
xgv38gyz6Rs,https://www.youtube.com/watch?v=xgv38gyz6Rs,Can Owen Beat Michael in a Race???,familyfunpack,25734,high_conf_exploit,0.999,YES,0.895,YES,0.868,YES,1.0,YES,1.0,YES,0.374,NO,0.856,EXPLOITATIVE,0.796,5,,
ZH_Q9gEcyYs,https://www.youtube.com/watch?v=ZH_Q9gEcyYs,Decorating Ty's School Locker! Making It Cool!,theadventurers,44320,low_confidence,0.981,YES,0.707,YES,0.5,ABSTAIN,0.268,NO,0.331,NO,0.374,NO,0.527,EXPLOITATIVE,0.405,2,,
3iBSD78ioVQ,https://www.youtube.com/watch?v=3iBSD78ioVQ,BABY CHECK UP!! SHOWING MY KIDS OUR FIRST ULTRASOUND!!,smellybellytv,151657,high_conf_clean,0.0,NO,0.92,YES,0.305,NO,0.268,NO,0.331,NO,1.0,YES,0.471,CLEAN,0.672,2,,
Q591uZw_YU0,https://www.youtube.com/watch?v=Q591uZw_YU0,TODDLER FOAM PIT TRICKS!,dailybumps,4031442,high_conf_clean,0.001,NO,0.765,YES,0.305,NO,0.268,NO,0.331,NO,0.997,YES,0.444,CLEAN,0.619,2,,
8DtwNTalizg,https://www.youtube.com/watch?v=8DtwNTalizg,room tour!!,hayleyleblanc,104215,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.268,NO,1.0,YES,0.999,YES,0.468,CLEAN,0.729,2,,
KxlKdMtZA4Q,https://www.youtube.com/watch?v=KxlKdMtZA4Q,EVERYTHING FISH FOOD SWITCH UP CHALLENGE| We Are The Davises,wearethedavises,199729,random,1.0,YES,0.887,YES,0.868,YES,1.0,YES,0.894,YES,0.374,NO,0.837,EXPLOITATIVE,0.758,5,,
owKCQDahr30,https://www.youtube.com/watch?v=owKCQDahr30,Sounds Fishy! Family Game Night!,theadventurers,30369,low_confidence,0.002,NO,0.5,ABSTAIN,0.305,NO,0.268,NO,0.331,NO,0.374,NO,0.297,CLEAN,0.407,0,,
1OxFh6NM5KI,https://www.youtube.com/watch?v=1OxFh6NM5KI,WE NEED TO SAY THIS!,ehbee,287504,high_conf_clean,0.0,NO,0.765,YES,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.452,CLEAN,0.606,2,,
orbr_JZhhpI,https://www.youtube.com/watch?v=orbr_JZhhpI,Everleigh and Ava go to JoJo's (Dance Moms) epic 15th birthday party!,everleighrose,353740,low_confidence,0.0,NO,0.5,ABSTAIN,0.305,NO,0.268,NO,0.67,YES,0.374,NO,0.353,CLEAN,0.408,1,,
OrNVImqW86Y,https://www.youtube.com/watch?v=OrNVImqW86Y,Jonas Brothers loved Everleigh & dance partner Diesel's dance battle video with Ava to Sucker!,everleighrose,40758499,random,0.995,YES,0.5,ABSTAIN,0.305,NO,0.997,YES,0.67,YES,0.374,NO,0.64,EXPLOITATIVE,0.494,3,,
MJMBRNSf-mQ,https://www.youtube.com/watch?v=MJMBRNSf-mQ,Classified Information! New Pieces Of The Puzzle! The Visitors (File 5),theadventurers,147753,low_confidence,0.981,YES,0.707,YES,0.5,ABSTAIN,0.268,NO,0.331,NO,0.374,NO,0.527,EXPLOITATIVE,0.405,2,,
7dnFIScYLDQ,https://www.youtube.com/watch?v=7dnFIScYLDQ,HIGH SCHOOL GRADUATION 2016!!! BRANSON DID IT!!,tannerites,113972,high_conf_clean,0.0,NO,0.92,YES,0.305,NO,0.268,NO,0.876,YES,0.374,NO,0.457,CLEAN,0.616,2,,
967R5qt5cRg,https://www.youtube.com/watch?v=967R5qt5cRg,MEETING SANTA!! VLOGMAS DAY 8,kkandbabyj,15266,low_confidence,0.0,NO,0.504,YES,0.305,NO,0.268,NO,0.501,YES,0.5,ABSTAIN,0.346,CLEAN,0.311,2,,
6vcRcttKomw,https://www.youtube.com/watch?v=6vcRcttKomw,We Made Cora Cry On Her Birthday!!,ohanaadventure,2650216,high_conf_exploit,0.981,YES,1.0,YES,0.868,YES,0.268,NO,1.0,YES,0.999,YES,0.853,EXPLOITATIVE,0.86,5,,
3Yk4to3uRAU,https://www.youtube.com/watch?v=3Yk4to3uRAU,The Scariest Night of My Life. | Txunamy,txunamy,22889,random,0.953,YES,1.0,YES,0.868,YES,0.268,NO,0.501,YES,0.374,NO,0.661,EXPLOITATIVE,0.56,4,,
