,j,Polarity,Coverage,Overlaps,Conflicts
lf_llm_performative,0,"[np.int64(0), np.int64(1)]",0.8998265394622723,0.8304423243712056,0.48742411101474414
lf_llm_emotional_bait,1,[np.int64(1)],0.3313096270598439,0.3274067649609714,0.20555073720728534
lf_llm_narrative_conflict,2,[np.int64(1)],0.18560277536860365,0.18473547267996532,0.1209887250650477
lf_llm_challenge,3,[np.int64(1)],0.13573287077189938,0.13573287077189938,0.07762359063313096
lf_llm_commercial,4,[np.int64(1)],0.0611448395490026,0.060277536860364266,0.033824804856895055
lf_all_caps_ratio,5,"[np.int64(0), np.int64(1)]",0.5945359930615784,0.5823937554206418,0.36253252385082396
lf_exclamation_marks,6,"[np.int64(0), np.int64(1)]",0.5216825672159584,0.5117085862966175,0.3434518647007806
lf_conflict_keywords,7,[np.int64(1)],0.038594969644405897,0.038594969644405897,0.026019080659150044
lf_challenge_keywords,8,[np.int64(1)],0.12922810060711187,0.12922810060711187,0.07718993928881179
lf_prank_keywords,9,[np.int64(1)],0.022116218560277536,0.022116218560277536,0.012142237640936688
lf_emotional_keywords,10,[np.int64(1)],0.004336513443191674,0.004336513443191674,0.0026019080659150044
lf_organic_keywords,11,[np.int64(0)],0.038594969644405897,0.038594969644405897,0.02515177797051171
lf_roleplay_keywords,12,[np.int64(1)],0.0199479618386817,0.0199479618386817,0.012575888985255855
lf_question_clickbait,13,[np.int64(1)],0.013443191673894189,0.013443191673894189,0.010407632263660017
lf_urgency_words,14,[np.int64(1)],0.034258456201214225,0.034258456201214225,0.02298352124891587
lf_cv_high_saturation,15,"[np.int64(0), np.int64(1)]",0.011274934952298352,0.011274934952298352,0.009106678230702514
lf_cv_child_distress,16,"[np.int64(0), np.int64(1)]",0.0017346053772766695,0.0017346053772766695,0.0017346053772766695
lf_cv_exploitation_concern,17,[np.int64(1)],0.002168256721595837,0.002168256721595837,0.002168256721595837
