,j,Polarity,Coverage,Overlaps,Conflicts
lf_llm_performative,0,"[np.int64(0), np.int64(1)]",1.0,0.5449306296691568,0.37459978655282816
lf_llm_emotional_bait,1,[np.int64(1)],0.11419423692636073,0.11419423692636073,0.10501600853788687
lf_llm_narrative_conflict,2,[np.int64(1)],0.09007470651013874,0.09007470651013874,0.05848452508004269
lf_llm_challenge,3,[np.int64(1)],0.12764140875133403,0.12764140875133403,0.018569903948772677
lf_llm_commercial,4,[np.int64(1)],0.03735325506937033,0.03735325506937033,0.033297758804695834
lf_llm_privacy,5,[np.int64(1)],0.032017075773746,0.032017075773746,0.030949839914621132
lf_all_caps_ratio,6,[np.int64(1)],0.18014941302027748,0.18014941302027748,0.15154749199573106
lf_exclamation_marks,7,[np.int64(1)],0.06766275346851654,0.06766275346851654,0.05208110992529349
lf_conflict_keywords,8,[np.int64(1)],0.03030949839914621,0.03030949839914621,0.027961579509071504
lf_challenge_keywords,9,[np.int64(1)],0.12977588046958377,0.12977588046958377,0.03457844183564568
lf_prank_keywords,10,[np.int64(1)],0.02113127001067236,0.02113127001067236,0.005122732123799359
lf_emotional_keywords,11,[np.int64(1)],0.004055496264674493,0.004055496264674493,0.0036286019210245465
lf_organic_keywords,12,[np.int64(0)],0.03927427961579509,0.03927427961579509,0.020277481323372464
lf_roleplay_keywords,13,[np.int64(1)],0.018783351120597654,0.018783351120597654,0.013874066168623266
lf_urgency_words,14,[np.int64(1)],0.03351120597652081,0.03351120597652081,0.026040554962646744
lf_cv_high_saturation,15,"[np.int64(0), np.int64(1)]",0.0192102454642476,0.0192102454642476,0.013660618996798293
lf_cv_child_distress,16,"[np.int64(0), np.int64(1)]",0.0036286019210245465,0.0036286019210245465,0.0029882604055496264
lf_cv_vision_exploit,17,[np.int64(0)],0.00448239060832444,0.00448239060832444,0.003415154749199573
