channel,n_exploit,n_clean,mean_views_exploit,mean_views_clean,log_premium,view_ratio
acefamily,3,57,11732082.333333334,6191288.245614035,0.8988660300139166,1.8949339568617964
bratayley,3,57,3182134.3333333335,1179934.894736842,0.9476853516137425,2.696872808429856
brentrivera,12,48,10397523.833333334,10519295.604166666,0.4367936646346564,0.988423961506976
brockandboston,5,55,155745.6,130474.72727272728,0.03742964421230788,1.1936840433047988
crazygorilla,3,57,889678.3333333334,1974121.4561403508,0.13435823219361076,0.4506705150111501
ehbee,11,49,3270535.8181818184,3804659.3673469387,1.24680646923734,0.8596133063187796
ethangamer,4,56,12750676.25,2395058.4464285714,1.9897966588637086,5.323743255206724
everleighrose,13,47,2538656.846153846,4963897.276595744,0.11723450182111783,0.5114241300123891
familyfizz,13,47,762847.3076923077,548154.6170212766,0.47466282603170207,1.3916644756869718
familyfunpack,3,57,1234798.0,3156844.49122807,-0.4674156868313233,0.3911494542829511
famoustubefamily,42,18,2047562.9523809524,1732080.888888889,0.15014164508403383,1.182140490964277
fgteev,13,47,24140183.153846152,9364006.042553192,1.1097909236478731,2.5779760333499406
funsquadfamily,25,35,2839859.16,1574314.5714285714,0.7007174371175129,1.803870212179414
gavinmagnus,33,27,1149603.0303030303,1989068.9259259258,-0.04216456418088832,0.5779603790089284
inghamfamily,4,56,33866.5,32267.76785714286,0.1353013359475579,1.0495457928771246
itsyeboi,16,44,704224.625,553466.5227272727,0.4291988781847582,1.2723888366903362
jasonvlogs,7,53,24062877.0,7361009.981132075,0.2242187653756833,3.268964049998379
jesssfam,6,54,172630.83333333334,148159.5,0.12770029959769857,1.1651688439373333
johnsonsfam,19,41,2603677.052631579,536951.6341463415,0.7133326712551042,4.848997352938439
jordanmatter,27,33,31054273.740740743,17369775.848484848,1.2282882702399238,1.787833879471138
kidsdianashow,4,56,36020115.75,37240964.26785714,0.38359370832647954,0.9672175911161661
lifewithbrothers,30,30,228588.6,231687.03333333333,0.01999739435397707,0.9866266433267522
likenastya,9,51,20848451.333333332,78489712.52941176,-1.0881153809490094,0.2656201769820596
mccluretwins,10,50,1407226.2,1054282.38,-0.08394655647003191,1.3347716197248787
meetthemillers,3,57,56061.0,14615.456140350878,1.169048279322741,3.8357338602128723
ninjakidztv,33,27,53627329.06060606,59901549.81481481,0.40479785906704535,0.8952577892624572
norrisnuts,30,30,7327716.666666667,4197128.5,0.6404042716427121,1.745888091505101
ohanaadventure,9,51,815516.6666666666,361258.2549019608,0.5587232525960708,2.2574339979801534
ohanaboys,25,35,524563.28,127659.31428571428,0.7392906533258259,4.109087401378133
onyxfamily,9,51,385669.1111111111,945471.0,-0.16285848036603667,0.40791215289639887
piersonwodzynski,10,50,3642499.8,2343030.96,0.9555342224531191,1.5546101874812615
piperrockelle,37,26,5179916.540540541,2191461.3076923075,0.6839629587160712,2.3636814952462886
piperrockellesquad,39,24,5021699.615384615,1837695.0833333333,1.1642815004275437,2.7326076349270756
rebeccazamolo,37,23,8108230.135135135,7922487.391304348,0.6840929277802594,1.0234450034006564
ronaldomg,5,55,2255345.0,999566.5818181818,0.8705635479367899,2.2563229313825146
royaltyfamily,27,33,15974149.518518519,20048347.0,-0.20276758652996563,0.7967813764655269
ryansworld,20,40,8625415.9,14008634.725,-0.8974153525060835,0.6157213796578596
samandnia,6,54,41329.833333333336,23089.85185185185,0.17238870865603317,1.789956626768855
sawyersharbino,30,30,689824.8666666667,145587.4,2.030680428459153,4.738218188295599
shotofyeagers,17,43,1730107.7647058824,1262895.1627906978,0.9948824012612363,1.369953592096082
smellybellytv,19,41,332346.6842105263,205239.0,0.08950902157631546,1.6193154527673896
tannerites,6,54,7394089.333333333,3610463.5185185187,1.7467979520792483,2.047961236945928
thatyoutub3family,68,172,138563.08823529413,94450.75581395348,0.2840272638339574,1.4670405444741164
theadventurers,72,168,132236.27777777778,96117.47619047618,0.18764465362547966,1.375777673518236
thebramfam,11,49,135831.9090909091,192757.38775510204,-0.28914288129688615,0.7046780965069069
thesacconejolys,3,57,106860.0,249927.24561403508,-0.32627385685398025,0.42756442874989653
theskorys,23,37,389092.60869565216,336832.1081081081,0.092329625742682,1.1551529659125335
tictactoy,14,46,12606501.42857143,13784517.152173912,-0.18013722671788734,0.9145406610476231
trinityandbeyond,29,31,4263625.793103448,6358179.419354838,0.2211187257752396,0.6705733688679199
txunamy,23,37,107582.08695652174,180075.2162162162,-0.02825122117567247,0.597428614648159
tydustalbott,27,33,5214492.296296297,6811177.090909091,-0.03098316862627648,0.7655787284192189
vladandniki,4,56,43524049.5,118311120.08928572,-0.878135193464896,0.3678779261590437
wearethedavises,22,38,1656664.3181818181,1018397.5263157894,0.5301345664655646,1.626736392590286
yawivlogs,5,55,35949.6,42265.56363636364,-0.09391615132787479,0.8505647838816556
