video_id,title,channel_short_name,viewCount,cluster,n_faces,face_coverage,max_face_ratio,has_large_face,has_smile,n_smiles,mean_saturation,mean_brightness,text_density,color_std
TXeje0ZDrAs,Our first video back on youtube...,acefamily,923640.0,12,1,0.14694444444444443,0.14694444444444443,True,True,1,120.98020833333334,139.27774088541668,0.06642469618055555,79.56053263486565
dVJjAQKOCzI,We're back,acefamily,1020268.0,12,4,0.3415700954861111,0.1641937934027778,True,True,2,89.71343967013888,156.87362955729168,0.03926432291666667,76.34660639269707
4TY8OQG8JBI,ANSWERING ALL OF THE QUESTIONS,acefamily,4005388.0,12,5,0.12837239583333335,0.057900390625,False,True,1,68.07532552083333,162.3418728298611,0.04317057291666667,79.32773211442071
W9JKlxYVelA,MY UNTOLD STORY...,acefamily,1395759.0,12,1,0.02640625,0.02640625,False,False,0,85.70301866319444,89.66995876736111,0.029971788194444446,56.70732864549395
ekAiInxKFn4,IT'S FINALLY TIME....,acefamily,1529847.0,12,1,0.020365668402777776,0.020365668402777776,False,False,0,38.76043836805555,179.18900173611112,0.04230251736111111,79.93936719881708
8Qeq35EMcUk,SURPRISING MY GIRLS FOR VALENTINE'S DAY!!!,acefamily,995048.0,4,3,0.011685112847222222,0.0044444444444444444,False,False,0,62.79161024305556,181.15756727430556,0.09596137152777778,72.02773081661168
n4DwNPfjd1Y,OUR DREAM HOUSE TOUR!!! **INSANE MANSION**,acefamily,1633556.0,4,2,0.008153211805555555,0.004870876736111111,False,False,0,115.05276041666667,123.29604383680555,0.13411024305555555,70.11904634173679
uhZOUY3Magw,WHAT REALLY HAPPENED IN DUBAI...,acefamily,787279.0,12,2,0.04520941840277778,0.027431640625,False,False,0,78.49483072916667,146.60498046875,0.023984375000000002,67.48334294185581
NS60p6i6eOw,WE ARRIVED IN DUBAI!!!,acefamily,1075168.0,12,3,0.044462890625,0.021879340277777777,False,False,0,80.02367513020833,214.74577256944445,0.026898871527777778,48.324846835582996
Ol-IcdEM69s,MOVING TO DUBAI!!! **GOODBYE LA**,acefamily,853906.0,12,2,0.10757052951388889,0.06460069444444444,False,True,2,58.99736762152778,185.8740798611111,0.05196397569444445,65.15758511232558
ey_yThwa9zs,THE ACE FAMILY CHRISTMAS SPECIAL 2022!!! **GOING TO DUBAI**,acefamily,995334.0,4,2,0.02795681423611111,0.0141015625,False,False,0,77.96715928819444,170.4814236111111,0.055960286458333335,79.28830586454725
GEAFJibTnGc,SURPRISING OUR KIDS WITH REALLY BAD CHRISTMAS GIFTS!!! **UNEXPECTED REACTIONS**,acefamily,698301.0,4,4,0.06851128472222222,0.019483506944444444,False,False,0,59.26640950520834,194.771796875,0.06655056423611111,75.55003644766738
A4NaqspB0z8,A DAY IN A LIFE WITH ELLE!!!,acefamily,721266.0,5,1,0.049228515625,0.049228515625,False,True,1,103.27857313368055,179.28228624131944,0.07138563368055556,63.89903109871926
FcuHn_yRAYk,"""I TOLD YOU I WASN'T FEELING WELL""...",acefamily,648151.0,12,1,0.019775390625,0.019775390625,False,False,0,80.94497504340278,160.08231119791665,0.08240125868055555,75.83784000609253
9FuBBiz934o,OUR KIDS GO GROCERY SHOPPING FOR US!!! **WHO HAS THE BEST CART???**,acefamily,1244452.0,3,3,0.05659505208333333,0.03958441840277778,False,True,1,106.502431640625,174.95454535590278,0.08001193576388889,80.6732900609434
gVWw3LPs2tQ,THE SCARIEST DAY OF OUR LIFE...,acefamily,479690.0,4,2,0.2725835503472222,0.17622504340277778,True,False,0,71.52870225694444,136.96708550347222,0.02903754340277778,80.15393551275262
buDUHXHTvrM,ELLE TRANSFORMS INTO WEDNESDAY **VIRAL NETFLIX SHOW**,acefamily,489756.0,5,2,0.24888237847222222,0.13984483506944445,True,False,0,150.2093869357639,75.734775390625,0.016595052083333332,49.77268497273993
0EaoARcw3yw,HAPPY ANNIVERSARY!!! **5 YEARS**,acefamily,607482.0,4,4,0.023970269097222222,0.006771918402777778,False,False,0,91.52204318576389,154.00174479166665,0.04412434895833333,73.3227006098516
Lz9rYL_AKww,WE'VE HAD ENOUGH...CONFRONTING OUR NEIGHBORS!!!,acefamily,573157.0,12,2,0.03578559027777778,0.0328515625,False,False,0,146.76650499131944,86.37235677083333,0.035537109375,66.02564577135581
UL59zv8Ftzg,HOUSE FOR SALE!!!,acefamily,592547.0,4,3,0.06197157118055555,0.036337890625,False,False,0,103.83552625868056,130.32062391493056,0.13252495659722222,47.32170267999982
8W_Nn_qP5uQ,FAINTING IN FRONT OF MY KIDS TO SEE WHAT THEY DO...,acefamily,730165.0,12,1,0.002712673611111111,0.002712673611111111,False,False,0,78.32983940972223,153.07299045138888,0.07310221354166667,65.77869736020087
oKCih0Bclb4,YOU WON'T BELIEVE WHAT HAPPENED TO THIS PUPPY!!! **SHOULD WE KEEP HIM???**,acefamily,389482.0,12,1,0.03476671006944444,0.03476671006944444,False,False,0,54.43711697048611,159.79932508680557,0.07071723090277778,71.45462180330428
hRdysac16-I,SNEAKING INTO MY OLD HIGH SCHOOL!!! **SURPRISING STUDENTS**,acefamily,422663.0,4,0,0.0,0.0,False,False,0,146.11868055555556,129.9267578125,0.13590494791666666,62.65284504940303
0Sv_KDCXnnU,SHOWING OUR KIDS OUR FIRST HOME BEFORE YOUTUBE!!! **BEFORE THEY WERE BORN**,acefamily,811725.0,1,4,0.011421440972222223,0.0034027777777777776,False,False,0,55.678975694444446,149.5944292534722,0.08282986111111111,87.86671951748946
Mg6qEbCh5wA,"SOMEONE HIT OUR $500,000 CAR...AND LEFT US THIS NOTE!!!",acefamily,685814.0,12,2,0.010230034722222222,0.007296006944444444,False,False,0,77.17377387152777,137.23516276041667,0.053629557291666664,87.2664705304178
4KLqQ2IEb2Y,EXTREME FAMILY YOGA CHALLENGE!!! **HILARIOUS**,acefamily,783790.0,9,5,0.047216796875,0.02096462673611111,False,False,0,85.29341471354167,161.85247938368056,0.09699327256944446,68.8442057264661
yxl7CyaBqRg,I'M SORRY ACE...,acefamily,413749.0,12,1,0.11531684027777778,0.11531684027777778,True,False,0,84.68861870659723,169.17716145833333,0.046181640625000006,73.55447125384036
GueV9cuX2G8,AUSTIN GOT ARRESTED...**CALLING HIS FAMILY FROM JAIL**,acefamily,1189069.0,5,2,0.08642035590277777,0.08325629340277778,True,False,0,56.46962673611111,189.5724240451389,0.07707790798611111,63.570881486818855
pJUnz_97d6E,THE NEW ACE FAMILY INTRO!!! **CHRISTMAS EDITION**,acefamily,646834.0,4,5,0.07171766493055555,0.021267361111111112,False,False,0,134.64297960069445,131.18975694444444,0.18290581597222222,75.76624488294277
eo9lnHCrm2A,SHE COULDN'T STOP CRYING!!! **EMOTIONAL**,acefamily,1020194.0,5,1,0.036337890625,0.036337890625,False,False,0,56.90532986111111,186.7368674045139,0.026901041666666667,82.93657615650763
