video_id,num_faces,num_smiles,smile_ratio,saturation,brightness,color_std,red_ratio,yellow_ratio,edge_density,face_area_ratio
kO5pNNTh9IU,2,0,0.0,96.3,164.7,75.0,0.2587,0.0139,0.0692,0.1127
N1PXjVdmMs4,3,0,0.0,116.7,170.7,72.2,0.115,0.0207,0.0503,0.0665
JpImU1yoRYE,6,1,0.167,81.7,191.4,69.9,0.0426,0.0345,0.052,0.2325
K15nbVwNRBU,3,1,0.333,78.1,214.4,70.3,0.017,0.0512,0.0673,0.0599
CstJBEVmloY,6,0,0.0,73.4,221.9,68.0,0.0411,0.0282,0.0638,0.095
dXjVIEATKJI,1,0,0.0,54.7,154.9,71.4,0.0447,0.0123,0.0493,0.1174
83y6_Hmqw9Q,3,0,0.0,38.9,152.9,74.2,0.0098,0.0972,0.0474,0.0166
eP1OgYumpIo,3,0,0.0,52.6,168.8,64.6,0.0603,0.0416,0.0643,0.0284
liUHF6Xzlts,5,0,0.0,76.3,155.5,81.6,0.2376,0.0038,0.0518,0.2151
yLc79OiiFBA,0,0,0,72.5,143.2,76.4,0.1104,0.0039,0.037,0
V27h4Xlsx7k,2,0,0.0,55.9,121.5,69.3,0.0537,0.0243,0.1022,0.0179
s3-3mqD1rvc,2,0,0.0,79.9,140.2,64.8,0.0713,0.0091,0.0412,0.0223
m8MzthLCT7M,3,2,0.667,77.1,176.9,64.6,0.2441,0.0003,0.0305,0.4453
LDqJC-c4jHg,2,2,1.0,82.1,143.1,75.4,0.26,0.0602,0.0265,0.1574
bsmpNhttYqU,1,0,0.0,43.8,151.8,71.1,0.0367,0.0035,0.0187,0.008
JkSvARVUSjc,1,0,0.0,37.3,141.7,72.9,0.0271,0.0077,0.0195,0.1736
KU6fT8BibqY,3,0,0.0,42.4,108.8,79.1,0.0318,0.0013,0.0214,0.1321
AxOs2wubcLA,4,1,0.25,64.5,153.4,73.0,0.0263,0.0197,0.0299,0.1162
P2FtCX1Jyp8,2,0,0.0,133.8,132.3,81.8,0.041,0.1266,0.0815,0.0076
tM-1l0uYNtA,1,0,0.0,41.8,179.4,53.5,0.0253,0.034,0.1934,0.0154
t-nQKe3a2wM,1,0,0.0,78.1,87.6,83.4,0.0691,0.103,0.0375,0.0951
WLyYKildEes,1,1,1.0,81.1,195.4,82.8,0.2738,0.0598,0.0745,0.2063
ejoCdVAJgJk,4,1,0.25,77.4,166.8,71.3,0.1684,0.0309,0.0687,0.1486
iBn5M3mJPLg,1,0,0.0,87.2,127.5,84.0,0.0643,0.1393,0.0786,0.0723
NpbAvA3_t1I,2,0,0.0,101.0,129.8,73.6,0.0725,0.0183,0.0742,0.0549
K5-lDyY3Yfc,2,0,0.0,108.8,143.1,86.9,0.0188,0.0233,0.0951,0.0182
GnXhRjVFn1I,3,0,0.0,80.2,158.7,85.2,0.031,0.0008,0.0384,0.0334
1OFev2REyfM,3,0,0.0,56.4,120.9,85.9,0.0566,0.029,0.0962,0.0431
SaWRKSpMurY,2,0,0.0,140.6,125.5,67.8,0.2417,0.0304,0.076,0.1989
F8rhHf-Q23c,5,0,0.0,169.7,162.2,76.8,0.0374,0.0505,0.0785,0.0174
Dr1-Jhr22jc,6,1,0.167,78.3,158.2,74.4,0.1185,0.009,0.0956,0.078
Ld4VQrUYd08,4,1,0.25,82.6,192.8,75.4,0.1858,0.0378,0.0673,0.1225
HoUwwfPACF4,2,0,0.0,152.0,182.6,87.6,0.276,0.047,0.0757,0.0174
nnSJVMSicaQ,3,3,1.0,177.8,226.3,82.4,0.0329,0.3573,0.0712,0.1673
m1WrpXybEWM,1,0,0.0,157.9,210.4,79.5,0.2422,0.2187,0.1508,0.1247
PtX-N1_Eaj0,3,0,0.0,229.7,205.1,96.0,0.1269,0.2236,0.0513,0.0586
0Fm8pxLA9eI,4,1,0.25,67.4,226.3,71.7,0.1264,0.0424,0.0563,0.1408
sIonITRkiYs,4,0,0.0,188.2,207.1,91.8,0.1712,0.0478,0.0788,0.057
axHot1FvcYc,1,0,0.0,5.5,201.8,99.8,0.0048,0.0185,0.0201,0.0452
75VHfV3Y8Bk,0,0,0,93.3,170.2,84.5,0.0081,0.0965,0.0393,0
8LWobFWuGbc,0,0,0,77.0,147.9,88.8,0.0151,0.002,0.0437,0
OUOmMSw-Fag,1,0,0.0,90.9,221.5,72.6,0.0901,0.0001,0.0479,0.0231
Yppgtexgnrc,1,1,1.0,129.2,199.0,86.9,0.1342,0.0211,0.0587,0.0516
evx4oumzoFo,4,1,0.25,197.3,187.4,85.6,0.2537,0.0325,0.0801,0.0898
N22gmDhQ7LE,5,1,0.2,117.5,197.3,67.6,0.1002,0.0858,0.0943,0.1301
xEqDOXymjZ4,3,1,0.333,110.3,192.9,55.7,0.1049,0.0,0.0425,0.1191
XYZP0DtUSXA,2,0,0.0,134.9,180.1,72.9,0.0549,0.091,0.079,0.057
G-NGMWly-E4,2,0,0.0,24.3,139.1,73.7,0.0935,0.0009,0.038,0.0365
ytwgADBqOdc,2,0,0.0,78.5,155.4,72.8,0.1213,0.03,0.0892,0.0888
z0539CmZXpU,1,0,0.0,88.7,180.7,71.7,0.0694,0.1997,0.0839,0.0094
-6T4DlnPuV4,4,0,0.0,73.6,150.8,79.1,0.1321,0.0186,0.128,0.0978
lf5AzUTD44A,3,0,0.0,125.7,184.4,86.6,0.0074,0.1877,0.0899,0.0204
fSKbLGc0J_Y,5,0,0.0,62.4,118.0,70.8,0.1593,0.0018,0.0349,0.0776
ifF5lUCbFd4,1,1,1.0,64.0,170.8,70.0,0.0203,0.0209,0.173,0.0178
r9IBQ-Th6s4,3,1,0.333,60.5,133.3,61.3,0.1167,0.0159,0.0547,0.1298
E6-_H7jqBYs,5,0,0.0,89.6,131.8,71.1,0.0707,0.0016,0.0667,0.0426
iTooRBH_Mtw,3,2,0.667,76.1,144.7,90.3,0.0702,0.0034,0.032,0.1003
wf-RNPt6w-I,1,0,0.0,48.4,154.2,55.0,0.0729,0.0037,0.0467,0.0139
l9pRxmkIwyY,4,2,0.5,88.0,149.8,74.1,0.1601,0.0263,0.0445,0.0809
upA6CaMVhQ8,1,1,1.0,107.9,185.9,85.6,0.1011,0.03,0.0407,0.0535
jzWag9MsAx4,3,0,0.0,49.9,133.3,59.7,0.0054,0.0058,0.0194,0.2493
A3gKtM0bsIw,1,0,0.0,91.6,153.9,72.8,0.231,0.0621,0.0719,0.0131
0KngJfBoN7Q,3,1,0.333,130.1,190.6,95.1,0.2767,0.1225,0.0624,0.1026
_U2DvVpfDSA,1,0,0.0,76.7,198.8,75.5,0.1744,0.0199,0.0656,0.053
GBnDOueMKJ0,3,2,0.667,106.6,175.8,81.3,0.3389,0.0141,0.0576,0.1441
5L_1dEukGeU,1,0,0.0,59.6,178.9,75.7,0.1061,0.0023,0.0534,0.0018
3orYB7_7OTI,2,0,0.0,102.5,169.4,91.6,0.1515,0.1173,0.0723,0.0182
cIwO_6jHPq0,3,2,0.667,74.7,172.4,72.5,0.0508,0.0118,0.0437,0.0992
OFVPbFQ0QWE,8,2,0.25,107.0,135.8,85.8,0.12,0.0029,0.0505,0.2021
HajrYXDEDFc,4,0,0.0,48.3,151.1,87.8,0.0488,0.0178,0.0993,0.0482
hT9YmV6ccwE,7,0,0.0,50.2,215.2,47.5,0.0117,0.0119,0.0355,0.167
SVdFMZnHgEU,2,0,0.0,49.2,139.3,89.1,0.1273,0.0033,0.053,0.0633
fo95Y2hadaw,2,0,0.0,30.2,139.6,63.4,0.0561,0.0011,0.016,0.0929
jovpzWECNIk,0,0,0,42.6,113.3,68.6,0.111,0.0011,0.0352,0
Ksk_K5PgMZM,3,0,0.0,72.7,162.3,67.6,0.1001,0.0547,0.1084,0.0691
l3_sEhYBErw,2,0,0.0,121.7,172.6,82.2,0.1214,0.1103,0.0915,0.0174
gJMyBTkZZdg,3,0,0.0,105.3,167.0,74.9,0.0655,0.0018,0.0886,0.1157
