title,viewCount,channel_short_name,cluster
Our first video back on youtube...,923640.0,acefamily,12
We're back,1020268.0,acefamily,12
ANSWERING ALL OF THE QUESTIONS,4005388.0,acefamily,12
MY UNTOLD STORY...,1395759.0,acefamily,12
IT'S FINALLY TIME....,1529847.0,acefamily,12
SURPRISING MY GIRLS FOR VALENTINE'S DAY!!!,995048.0,acefamily,4
OUR DREAM HOUSE TOUR!!! **INSANE MANSION**,1633556.0,acefamily,4
WHAT REALLY HAPPENED IN DUBAI...,787279.0,acefamily,12
WE ARRIVED IN DUBAI!!!,1075168.0,acefamily,12
MOVING TO DUBAI!!! **GOODBYE LA**,853906.0,acefamily,12
THE ACE FAMILY CHRISTMAS SPECIAL 2022!!! **GOING TO DUBAI**,995334.0,acefamily,4
SURPRISING OUR KIDS WITH REALLY BAD CHRISTMAS GIFTS!!! **UNEXPECTED REACTIONS**,698301.0,acefamily,4
A DAY IN A LIFE WITH ELLE!!!,721266.0,acefamily,5
"""I TOLD YOU I WASN'T FEELING WELL""...",648151.0,acefamily,12
OUR KIDS GO GROCERY SHOPPING FOR US!!! **WHO HAS THE BEST CART???**,1244452.0,acefamily,3
THE SCARIEST DAY OF OUR LIFE...,479690.0,acefamily,4
ELLE TRANSFORMS INTO WEDNESDAY **VIRAL NETFLIX SHOW**,489756.0,acefamily,5
HAPPY ANNIVERSARY!!! **5 YEARS**,607482.0,acefamily,4
WE'VE HAD ENOUGH...CONFRONTING OUR NEIGHBORS!!!,573157.0,acefamily,12
HOUSE FOR SALE!!!,592547.0,acefamily,4
FAINTING IN FRONT OF MY KIDS TO SEE WHAT THEY DO...,730165.0,acefamily,12
YOU WON'T BELIEVE WHAT HAPPENED TO THIS PUPPY!!! **SHOULD WE KEEP HIM???**,389482.0,acefamily,12
SNEAKING INTO MY OLD HIGH SCHOOL!!! **SURPRISING STUDENTS**,422663.0,acefamily,4
SHOWING OUR KIDS OUR FIRST HOME BEFORE YOUTUBE!!! **BEFORE THEY WERE BORN**,811725.0,acefamily,1
"SOMEONE HIT OUR $500,000 CAR...AND LEFT US THIS NOTE!!!",685814.0,acefamily,12
EXTREME FAMILY YOGA CHALLENGE!!! **HILARIOUS**,783790.0,acefamily,9
I'M SORRY ACE...,413749.0,acefamily,12
AUSTIN GOT ARRESTED...**CALLING HIS FAMILY FROM JAIL**,1189069.0,acefamily,5
THE NEW ACE FAMILY INTRO!!! **CHRISTMAS EDITION**,646834.0,acefamily,4
SHE COULDN'T STOP CRYING!!! **EMOTIONAL**,1020194.0,acefamily,5
OUR 2 YEAR OLD GOES ON HIS FIRST DATE!!! **GUESS WITH WHO**,1090460.0,acefamily,1
MY WIFE CAN’T BELIEVE I DID THIS…**HILARIOUS**,837710.0,acefamily,12
MY HUSBAND CAN'T BELIEVE I WAS DOING THIS... **HILARIOUS**,1207742.0,acefamily,12
RATING MY WIFE'S HALLOWEEN COSTUMES!!! **HILARIOUS**,1254196.0,acefamily,4
SURPRISING OUR DAUGHTERS WITH A NEW ROOM MAKEOVER REVEAL!!! **ADORABLE**,1667700.0,acefamily,5
OUR NEW HOUSE TOUR!!!,1830117.0,acefamily,4
DISNEYLAND ALMOST RUINED ALAIA'S 4TH BIRTHDAY... **VERY SAD**,1445418.0,acefamily,5
WE'RE MOVING...,1190442.0,acefamily,12
THEY TURNED THE HOUSE INTO A GIANT BUBBLE BATH! **NO BUENO**,1094488.0,acefamily,12
OUR DOG ACE IS MISSING!!!,866440.0,acefamily,12
