video_id,content_type,emotional_manipulation,commercial_signals,child_role,privacy_concern,clickbait_level,emotional_score,commercial_binary,child_protagonist,privacy_score,clickbait_score
vXn4F-HGBrk,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
GehZsPEX4GY,challenge,none,none,protagonist,none,mild,0.0,0,1,0.0,1.0
d-WSRBWE8HI,challenge,moderate,none,co_star,none,severe,2.0,0,0,0.0,3.0
jlrvT0M_sA0,challenge,moderate,none,co_star,none,severe,2.0,0,0,0.0,3.0
_FYuDzGAbSA,storytime,severe,none,protagonist,moderate,severe,3.0,0,1,2.0,3.0
oiDtiCI6c7g,daily_vlog,severe,none,protagonist,high,severe,3.0,0,1,3.0,3.0
_UDMYK4NTeY,daily_vlog,moderate,none,co_star,high,severe,2.0,0,0,3.0,3.0
on7UNfpc4L8,daily_vlog,severe,none,unclear,high,severe,3.0,0,0,3.0,3.0
6DRLPMNC7LM,daily_vlog,severe,none,protagonist,high,severe,3.0,0,1,3.0,3.0
-n0pdaa6GM4,daily_vlog,none,none,unclear,low,mild,0.0,0,0,1.0,1.0
Iko7P3P4FsY,daily_vlog,moderate,none,unclear,low,severe,2.0,0,0,1.0,3.0
jhXhrPa6bBA,storytime,mild,none,unclear,moderate,moderate,1.0,0,0,2.0,2.0
KediKGAZhfk,storytime,moderate,none,unclear,moderate,severe,2.0,0,0,2.0,3.0
UodCkZU37qM,storytime,mild,none,unclear,moderate,severe,1.0,0,0,2.0,3.0
FoYybFOjWso,storytime,moderate,none,unclear,high,severe,2.0,0,0,3.0,3.0
ZUCpN33jaMM,storytime,moderate,none,unclear,high,severe,2.0,0,0,3.0,3.0
HmBLk0_DXAg,travel,moderate,none,unclear,low,severe,2.0,0,0,1.0,3.0
seMWpKudb3A,daily_vlog,mild,none,unclear,low,severe,1.0,0,0,1.0,3.0
mRnLDYBFXsk,routine,none,none,unclear,low,mild,0.0,0,0,1.0,1.0
HpMU02nB7T4,daily_vlog,moderate,none,unclear,low,severe,2.0,0,0,1.0,3.0
jhqUTpZedWs,storytime,moderate,none,unclear,low,moderate,2.0,0,0,1.0,2.0
yaIJyCzBhpo,storytime,mild,none,protagonist,low,moderate,1.0,0,1,1.0,2.0
ZIx2dHjZP_Q,daily_vlog,none,none,co_star,low,mild,0.0,0,0,1.0,1.0
JXhfqXFum2Q,daily_vlog,mild,none,protagonist,low,mild,1.0,0,1,1.0,1.0
1hPcUybOH1s,storytime,severe,none,co_star,moderate,severe,3.0,0,0,2.0,3.0
GzEpWldvMYY,daily_vlog,mild,none,protagonist,low,mild,1.0,0,1,1.0,1.0
ybNx2QTmoS8,travel,none,none,unclear,low,mild,0.0,0,0,1.0,1.0
UDFN27pyyHM,travel,none,none,co_star,low,mild,0.0,0,0,1.0,1.0
M0OAsMBx_0Y,travel,none,none,unclear,low,mild,0.0,0,0,1.0,1.0
d7mnMXEvcF8,travel,none,none,unclear,low,mild,0.0,0,0,1.0,1.0
d_lZ82C2X6k,daily_vlog,mild,none,protagonist,moderate,mild,1.0,0,1,2.0,1.0
tVdnQaHmTVo,daily_vlog,mild,none,protagonist,low,mild,1.0,0,1,1.0,1.0
ftGDrseUhvU,daily_vlog,moderate,none,co_star,high,moderate,2.0,0,0,3.0,2.0
LyoB-nsdxrg,daily_vlog,mild,none,unclear,moderate,moderate,1.0,0,0,2.0,2.0
OzrXHmGuHBw,daily_vlog,none,none,protagonist,moderate,moderate,0.0,0,1,2.0,2.0
4CDE8eQPMNg,daily_vlog,none,none,unclear,moderate,moderate,0.0,0,0,2.0,2.0
ibwWB6Wg4lk,daily_vlog,moderate,none,unclear,high,moderate,2.0,0,0,3.0,2.0
i1KacFJSdiQ,daily_vlog,none,none,unclear,low,mild,0.0,0,0,1.0,1.0
0bGo8bVUMTQ,daily_vlog,moderate,none,protagonist,high,moderate,2.0,0,1,3.0,2.0
HyIXKP6nmYY,storytime,mild,none,unclear,low,moderate,1.0,0,0,1.0,2.0
2aIRjm1OMzs,daily_vlog,moderate,none,protagonist,moderate,moderate,2.0,0,1,2.0,2.0
XiUHrf3V-aA,storytime,moderate,none,protagonist,moderate,moderate,2.0,0,1,2.0,2.0
A81oF2xVUUo,travel,mild,none,protagonist,low,mild,1.0,0,1,1.0,1.0
h9lA54IOXHA,storytime,moderate,none,unclear,moderate,moderate,2.0,0,0,2.0,2.0
xISWzpYK8Wc,storytime,moderate,none,protagonist,moderate,moderate,2.0,0,1,2.0,2.0
G6mtxtJTPFU,storytime,moderate,none,unclear,moderate,moderate,2.0,0,0,2.0,2.0
6G9LipCSWmE,storytime,mild,none,protagonist,moderate,mild,1.0,0,1,2.0,1.0
SaufHYjOXng,daily_vlog,none,none,unclear,low,none,0.0,0,0,1.0,0.0
IUMUP7I2Wv8,routine,none,none,unclear,low,mild,0.0,0,0,1.0,1.0
umc94eFhQj8,daily_vlog,mild,none,protagonist,low,mild,1.0,0,1,1.0,1.0
wRILjMtIGpk,daily_vlog,mild,none,protagonist,low,moderate,1.0,0,1,1.0,2.0
lqjpuiFnN0I,daily_vlog,mild,none,protagonist,low,moderate,1.0,0,1,1.0,2.0
36dx1RpJ6eQ,storytime,moderate,none,protagonist,moderate,severe,2.0,0,1,2.0,3.0
AG5MRX4yIzM,storytime,moderate,none,protagonist,high,severe,2.0,0,1,3.0,3.0
nGP5sRHbafc,daily_vlog,mild,none,protagonist,low,moderate,1.0,0,1,1.0,2.0
IeRsWo7MPkI,daily_vlog,none,none,unclear,low,mild,0.0,0,0,1.0,1.0
Iu_ZKsCeK94,daily_vlog,none,none,unclear,low,mild,0.0,0,0,1.0,1.0
mb314m-cMeY,travel,none,none,co_star,low,none,0.0,0,0,1.0,0.0
xXMqaKw9OFg,daily_vlog,none,none,co_star,low,none,0.0,0,0,1.0,0.0
CVsD5FW8UMY,daily_vlog,none,none,co_star,low,none,0.0,0,0,1.0,0.0
Ub1xr7dBGmc,daily_vlog,none,none,protagonist,low,none,0.0,0,1,1.0,0.0
eR7asAV-SV4,storytime,mild,none,co_star,low,mild,1.0,0,0,1.0,1.0
pWNmHgnImew,storytime,mild,none,co_star,low,mild,1.0,0,0,1.0,1.0
gtqkR5oYs0g,daily_vlog,none,none,unclear,low,none,0.0,0,0,1.0,0.0
a-I_-Y89tw0,storytime,mild,none,co_star,low,mild,1.0,0,0,1.0,1.0
dPL-dBey3jU,daily_vlog,none,none,protagonist,low,none,0.0,0,1,1.0,0.0
OJ5GQspndtE,daily_vlog,none,none,protagonist,low,none,0.0,0,1,1.0,0.0
LsgIsEhnS7A,daily_vlog,none,none,unclear,low,mild,0.0,0,0,1.0,1.0
jtt2QW4oe44,daily_vlog,mild,none,unclear,low,mild,1.0,0,0,1.0,1.0
H-QE2gQ1hcY,daily_vlog,none,none,unclear,low,none,0.0,0,0,1.0,0.0
PNZl-2Cby8U,daily_vlog,none,none,unclear,low,none,0.0,0,0,1.0,0.0
3UbZGvqVwCQ,storytime,none,none,protagonist,low,none,0.0,0,1,1.0,0.0
j0WixEBs-oA,storytime,mild,none,unclear,low,mild,1.0,0,0,1.0,1.0
f8Q9qSwHEg8,daily_vlog,none,none,protagonist,low,none,0.0,0,1,1.0,0.0
yyaCzCGn5J4,storytime,mild,none,unclear,low,moderate,1.0,0,0,1.0,2.0
dBP02d4Raks,daily_vlog,none,none,unclear,low,none,0.0,0,0,1.0,0.0
z3C17y_-_aM,storytime,mild,none,unclear,low,mild,1.0,0,0,1.0,1.0
mBJsBTYqHJM,educational,none,none,unclear,none,none,0.0,0,0,0.0,0.0
q2MVr1Yauuw,daily_vlog,none,none,unclear,low,none,0.0,0,0,1.0,0.0
NUiBRsRmaXc,daily_vlog,none,none,unclear,low,none,0.0,0,0,1.0,0.0
Na2YV47MK08,other,mild,none,unclear,low,mild,1.0,0,0,1.0,1.0
m7jsf1DdcKI,daily_vlog,none,none,unclear,low,none,0.0,0,0,1.0,0.0
49JXjCkAdkc,daily_vlog,mild,none,co_star,moderate,mild,1.0,0,0,2.0,1.0
62TZqdYo8os,daily_vlog,none,none,unclear,moderate,none,0.0,0,0,2.0,0.0
CfPHgzC6WzI,daily_vlog,none,none,unclear,moderate,none,0.0,0,0,2.0,0.0
W4lVHH03n0Y,other,none,none,unclear,low,none,0.0,0,0,1.0,0.0
JMFDNb5G5mc,daily_vlog,none,none,unclear,low,none,0.0,0,0,1.0,0.0
uq-nqUAg-HM,daily_vlog,none,none,unclear,moderate,none,0.0,0,0,2.0,0.0
V_IlMOYN4Qg,daily_vlog,none,none,co_star,moderate,none,0.0,0,0,2.0,0.0
ZP-T_ueZh-g,daily_vlog,mild,none,unclear,moderate,mild,1.0,0,0,2.0,1.0
bR7KWG_fw78,storytime,none,none,unclear,none,none,0.0,0,0,0.0,0.0
uiqwl_3venA,daily_vlog,none,none,unclear,none,none,0.0,0,0,0.0,0.0
7R_oU_eGLPk,storytime,none,none,unclear,none,none,0.0,0,0,0.0,0.0
LnD-gbCK9tA,storytime,none,none,unclear,none,none,0.0,0,0,0.0,0.0
k4essySEql8,daily_vlog,mild,none,protagonist,low,none,1.0,0,1,1.0,0.0
QHtWMUptCh8,storytime,mild,none,unclear,none,none,1.0,0,0,0.0,0.0
FhkkCdS5USU,daily_vlog,mild,none,unclear,low,none,1.0,0,0,1.0,0.0
sTSD0zdXDVU,daily_vlog,none,none,unclear,low,none,0.0,0,0,1.0,0.0
Cp69T119lFo,daily_vlog,none,none,unclear,none,none,0.0,0,0,0.0,0.0
eeq0sPQkxMU,unboxing,none,none,protagonist,low,none,0.0,0,1,1.0,0.0
eZnYyCb7pkQ,cooking,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
XZJ0-xJ6kSA,storytime,mild,none,protagonist,low,mild,1.0,0,1,1.0,1.0
mKqaXgGm1AU,daily_vlog,none,none,co_star,none,mild,0.0,0,0,0.0,1.0
XAzB4zbUkIU,cooking,none,none,cameo,none,mild,0.0,0,0,0.0,1.0
Hn2ZlU6Ch7Q,daily_vlog,mild,none,protagonist,low,moderate,1.0,0,1,1.0,2.0
g5XwZpq9PEY,travel,none,none,unclear,none,moderate,0.0,0,0,0.0,2.0
5jIudXyEObQ,daily_vlog,none,none,unclear,none,moderate,0.0,0,0,0.0,2.0
_wbwoX3Ygs8,travel,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
sXHzQlH7YuI,storytime,mild,none,unclear,none,mild,1.0,0,0,0.0,1.0
yqoKROrpcZc,travel,mild,none,unclear,none,moderate,1.0,0,0,0.0,2.0
odRnHsSq4xc,travel,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
IG2tTpjHbcc,travel,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
vIkZfVnafh4,storytime,mild,none,unclear,none,moderate,1.0,0,0,0.0,2.0
IyMVa5Gbs24,storytime,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
0vqm8cnHhHM,travel,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
cgN1bYuUy_U,travel,none,none,co_star,none,mild,0.0,0,0,0.0,1.0
2jPgXkQeAbg,daily_vlog,none,none,protagonist,none,mild,0.0,0,1,0.0,1.0
-84H_2fT4uo,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
