channel,category,n_videos,span_days,span_years,videos_per_week,videos_per_month,median_interval_days,mean_duration_min,total_content_hours,monthly_content_hours,weekly_production_hours_est,freq_first_half_per_week,freq_second_half_per_week,freq_change_pct,n_sponsored,sponsor_rate,n_child_brands,degree,family_partners,adult_partners,mean_exploit_v4,std_exploit_v4,total_views,log_total_views,log_n_child_brands,ci_pca,ci_equal,lii_pca,lii_equal
3blue1brown,adult,234,4060,11.11567419575633,0.403448275862069,1.729064039408867,5.912592592592593,14.981766381766382,58.42888888888889,0.4317405582922824,0.3022183908045976,0.3724137931034483,0.4344827586206896,16.666666666666654,18.0,0.0769230769230769,3.0,0.0,0.0,0.0,0.0024265277,0.067303844,742108498,8.870467404791151,1.3862943611198906,0.08447738246470651,0.19294473302600368,0.17676548355331395,0.21691692826812162
acefamily,family,713,3437,9.409993155373032,1.4521384928716905,6.223450683735816,2.6563078703703704,17.140823970037452,203.40444444444444,1.7754243041412083,1.2445425143214564,2.3998835855646097,0.5052386495925495,-78.94736842105263,24.0,0.0337552742616033,19.0,3.0,0.0,3.0,0.10042236,0.0990896,4597609446,9.66253207640454,2.995732273553991,0.19205870962102548,0.26192637516215,0.2692877587386353,0.3707417779097797
aliabdaal,adult,1375,3683,10.08350444900753,2.6133586749932123,11.200108607113766,1.1313194444444443,9.963791848617175,228.1708333333333,1.8585731740429,1.3019480931705174,1.368821292775665,3.8593155893536126,181.94444444444449,110.0,0.08,9.0,4.0,1.0,3.0,-0.018047377,0.07381991,539294020,8.73182560460969,2.302585092994046,0.2086431025941593,0.27285805623862924,0.2570106113449384,0.25142794109212363
andrewdavila,family,3,278,0.7611225188227242,0.0755395683453237,0.3237410071942446,139.00648726851853,1.1111111111111112,0.0555555555555555,0.0059952038369304,0.0041966426858513,0.1007194244604316,0.0503597122302158,-50.0,0.0,0.0,0.0,1.0,1.0,0.0,0.19846207,0.15994117,254,2.404833716619938,0.0,0.0,0.03973654064580166,0.0,0.2588184570596687
andymation,adult,187,7363,20.15879534565366,0.1777807958712481,0.7619176965910635,14.127662037037036,9.578673835125448,29.69388888888889,0.1209855584227443,0.0851452128899851,0.0418364574843792,0.3137734311328443,650.0,26.0,0.1397849462365591,16.0,0.0,0.0,0.0,0.0064717894,0.06997228,1031127606,9.013312414218905,2.833213344056216,0.12535662704505643,0.2418941244350962,0.10400554093057562,0.1661946723773876
besteverfoods,adult,898,3786,10.365503080082137,1.6603275224511358,7.115689381933439,3.989363425925926,18.745118782479587,280.5519444444444,2.223074044726184,1.5561518313083291,1.4939249867934494,1.826730058108822,22.277227722772285,81.0,0.1035805626598465,114.0,3.0,1.0,2.0,-0.030510237,0.07432163,3158255822,9.499447305400944,4.74493212836325,0.2924627909390054,0.34093366047216944,0.31027177714852855,0.2845473421898653
bonniehoellein,family,2723,4263,11.671457905544148,4.471264367816092,19.16256157635468,1.0000694444444445,10.84170033051781,492.0325,3.4625791695988744,2.4238054187192115,4.6381980290943225,4.306428906616612,-7.152974504249314,381.0,0.1403831982313927,264.0,2.0,2.0,0.0,0.027402466,0.09417515,901690159,8.955057329833268,5.579729825986222,0.35061063946304555,0.37570174267534984,0.38188519366598783,0.3798877666837107
bratayley,family,2614,3255,8.91170431211499,5.621505376344086,24.092165898617512,1.0,15.617629799719351,680.1477777777778,6.268643113159243,4.389729494243697,5.218807621389059,6.027658266748617,15.49876339653751,12.0,0.0045906656465187,153.0,2.0,2.0,0.0,-0.011111078,0.046617698,4104304655,9.61323959018239,5.0369526024136295,0.3688504316313269,0.3487973379459863,0.5399563527566313,0.46204970422544067
brentrivera,family,884,5105,13.976728268309378,1.212144955925563,5.194906953966699,6.174953703703704,5.379402872260015,79.07722222222222,0.4647045380346066,0.3260308028750732,0.8036833855799373,1.6210815047021945,101.70648464163824,28.0,0.0503597122302158,77.0,8.0,5.0,3.0,0.088715486,0.087851316,12885477793,10.11010052680747,4.356708826689592,0.5731990756820394,0.49021404186524375,0.11199524501517831,0.2415943746472979
caseyneistat,adult,1127,5905,16.16700889801506,1.335986452159187,5.7256562235393735,1.04921875,8.208873114463177,154.19,0.7833530906011854,0.5483471634208298,2.0772357723577235,0.595189701897019,-71.34703196347031,20.0,0.0179856115107913,12.0,0.0,0.0,0.0,0.06677231,0.07778164,3247497058,9.511548766305514,2.5649493574615367,0.14759424518430805,0.22059697466659553,0.1541802966628077,0.253642693071344
