feature,mean_abs_shap
log_duration,0.53339314
brightness,0.41331708
caps_ratio,0.2850419
colorfulness,0.27813688
title_length,0.2569048
num_faces,0.21622056
special_char_ratio,0.2070067
emoji_count,0.19461295
sentiment_compound,0.18477327
exclamation_count,0.14620629
child_protagonist,0.14168659
max_face_ratio,0.13352123
privacy_score,0.12934887
clickbait_score,0.11018259
word_count,0.11005001
has_open_mouth,0.1056805
saturation,0.09080048
caps_word_count,0.06146193
has_text_overlay,0.051653367
emotional_score,0.049312416
question_count,0.036016233
commercial_binary,0.016967397
