channel_id,channel_title,subscribers,is_known_problematic,if_anomaly_score,ocsvm_anomaly_score,pu_score,ensemble_score,emotional_score_mean,commercial_rate,privacy_score_mean,clickbait_score_mean,child_protagonist_rate,cross_platform,upload_frequency,log_subscribers,views_per_sub
UCpE_yAyidJKIsv8mnX1VYzA,JesssFam,2460000,1,0.05894420917054077,0.4445015815537617,0.9999683708858081,0.9555326022740342,1.6938775510204085,0.0204081632653061,2.2448979591836733,1.9387755102040816,0.4081632653061224,3,7.03013698630137,14.715672314412528,0.02906715261083061
UC-_KiH_Z2yerhAD_cAjAMOA,Not Enough Nelsons,5410000,1,0.05332722145323843,0.3314840681617079,0.9999683708858081,0.9147538869538303,1.2653061224489797,0.1224489795918367,2.0,1.489795918367347,0.6530612244897959,3,6.142465753424657,15.50375983566553,0.3205951159637833
UCYfbq37VGb-07tDS0FGtsPw,Piper Rockelle,12200000,1,0.001022710337439281,0.19882946654427303,0.9999683708858081,0.812544354296737,1.36,0.04,1.64,1.82,0.12,0,2.2356164383561645,16.316946591670696,0.049118966465658484
UCCavka0AbNklF4cqfaiwqEA,Forever Family Vlogs,868000,1,0.0001341093021192119,0.11791411159325149,0.9999683708858081,0.7870733022548433,1.28,0.0,1.7,1.94,0.4,1,6.1945205479452055,13.673948145715556,0.04671066047158932
UCKaCalz5N5ienIbfPzEbYuA,Jordan Matter,35500000,1,0.0024709175008217343,0.10764697461225547,0.9999683708858081,0.7867535728765809,0.9,0.02,1.38,1.8,0.5,1,1.5671232876712329,17.385043282614657,0.6858734984260986
UChGJGhZ9SOOHvBB0Y4DOO_w,Ryan's World,40300000,1,0.00015209192856135978,0.10656213346376486,0.9999683708858081,0.7836694455344266,0.54,0.14,0.64,1.24,0.78,1,10.093150684931507,17.511862051730805,0.005391846516331352
UCyCyTe_1bT2aIPwG_gxbyeg,Daily Bumps,5060000,1,-0.042227873749526745,0.00239359885021162,0.9999683708858081,0.7018540842868919,0.98,0.1,1.24,1.54,0.38,1,8.43013698630137,15.436877238892087,0.006841026316002704
UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,132000000,0,0.06273950773422043,-1.782561152141593e-05,0.6407514513891283,0.6463036176466682,0.06,0.02,0.4,0.3,1.0,4,2.9205479452054797,18.6983124881264,0.07395408686398418
UCxJrnvfqSSvly5hiq2Fe68g,SACCONEJOLYs,1610000,0,-0.04770333697878287,-0.008317352807673983,0.707122577924613,0.5456834488237194,0.92,0.02,1.26,1.42,0.48,0,7.813698630136987,14.291745358078465,0.12088608640615751
UCniCPy-kRxYshisooylV--g,Earls Family Vlogs,541000,0,-0.021669698782318836,-0.00010586419403091352,0.5199889213287109,0.4855410574768627,1.16,0.06,1.56,1.28,0.36,3,2.4027397260273973,13.201176406255746,0.0657898599078375
UCWwWOFsW68TqXE-HZLC3WIA,The ACE Family,18000000,0,-0.05125904228139533,-0.00031565172065872726,0.5880394580600614,0.484326399845476,1.0,0.04,1.22,1.58,0.12,2,1.9534246575342467,16.705882371415992,0.05499649805575011
UCRXRC8hRRMYEnumSWPpT17A,TwinsFromRussia,8170000,0,0.06655533400082914,-0.00046749373726318044,0.1438231599758463,0.40222970264291774,0.1290322580645161,0.0,0.0,1.3870967741935485,0.3548387096774194,3,25.065753424657533,15.9159795892352,0.0016154852525761328
UCr3wdq5aVFBXwo84Vnd8NLg,Beast Family Vlogs ,1380000,0,0.02309432078993756,-0.0001637129415904548,0.2341584229789305,0.3958211382610747,1.58,0.04,1.04,2.06,0.52,0,0.5178082191780822,14.137594781770806,0.19899062391983774
UCfaZw8XH_zmAVkBst_MPD6w,CKN ,19400000,0,0.09634707406007381,7.477745470318986e-05,0.020025461618782558,0.37591053101697863,0.5,1.0,0.0,0.0,0.5,0,1.347945205479452,16.780783675579947,0.10608999453144358
UCaj3LX7pAAXqVIuOTLOPc2g,The Family Vlogs,6010,0,0.008346918932462533,0.0004542785603594002,0.10759182953151449,0.3151887551183821,0.5789473684210527,0.0526315789473684,1.0,1.6842105263157894,0.0526315789473684,0,0.052054794520547946,8.701346403039162,1.4278296806731516
UCrl8Xu6EqLSqUyWcEMXjPPg,Thakor Family Challenge,29700,0,0.052527660938247234,0.0003869517118504362,1.1184308523326226e-05,0.31390127338474155,0.0212765957446808,0.0638297872340425,0.5319148936170213,1.0425531914893618,0.0,0,0.12876712328767123,10.298935994257638,3.6623002162689557
UCLWvIB80ANqrEJhzYzfkgGA,Family Games Media,19600000,0,-0.02470167928012662,0.00026388354059925234,0.17909121180128407,0.311591817775679,0.4166666666666667,0.0,0.4166666666666667,1.2083333333333333,0.2708333333333333,0,16.03013698630137,16.791040175221152,0.0004058938993591548
UC1CVU1pV2rqs8zSIy_OPPHA,Caleb Kids Show,2120000,0,-0.0012069837190729071,0.000386481607903999,0.08176811686883408,0.29089747650736936,0.38,0.08,0.24,1.06,0.96,0,1.747945205479452,14.566927118346197,0.850657079878736
UC_8BKDmjs7jWcjtxOUq9xmg,Hustle at Home Mom,244000,0,-0.010044652158140877,-0.0002878464130818825,0.1001089555517391,0.28935792444902075,0.725,0.075,0.0,2.125,0.0,2,1.1123287671232878,12.404927602627597,0.4227716279851312
UCspL7qWLI7jfbPrZWm8KLEg,S Family vlogs,7150,0,-0.04883439963245084,-0.04470810167803563,0.1906712857968467,0.2751218607992013,0.86,0.02,1.16,1.14,0.12,2,2.441095890410959,8.875007486048396,0.11205705495734863
UC4B6dDVB0Umrh5l4UgxUtyg,MY FAMILY,19800000,0,-0.03430053786874093,-0.00035106753228209,0.12645588567126775,0.2736756184072514,0.0,0.0,0.0,2.0,0.0,0,1.2273972602739727,16.801192546169812,0.050662039288352986
UCbprhISv-0ReKPPyhf7-Dtw,Science Max - Scholastic,534000,0,-0.01977769481793268,-3.265695539944602e-05,0.08165502707276745,0.2686361750912692,0.0,0.0,0.0,0.0,1.0,0,1.8821917808219177,13.188152990599754,0.04391003013102972
UCMLqsgXvM6Vs0aiegOdrtLQ,Big Big Family in the USA,164000,0,-0.023034155687780333,-0.01658947456220683,0.09052222250375752,0.26420273824434465,1.0555555555555556,0.1666666666666666,1.0,1.2777777777777777,0.1666666666666666,1,8.04931506849315,12.00762780434872,0.14280095853074068
UCTk9yzZAXir64WOpXt5DosA,Family Traveler அமெரிக்க VLOGS,120000,0,-0.0020697273991328036,-0.0002851757171618008,1.1184308523326226e-05,0.2487889047023963,0.0,0.1,1.0,0.65,0.0,4,2.5123287671232877,11.695255355062795,0.12269189423421471
UCT-eeAawywE0UG_qvoA_HBQ,Actor Ashwanth,36500,0,-0.00833106008905049,0.00017577830007342587,1.1594983419937748e-05,0.2414842407732634,0.08,0.28,0.22,0.2,0.52,3,0.736986301369863,10.505094936455558,0.7051927344456317
