channel_id,channel_title,subscribers,n_videos,total_videos_on_channel,cross_platform,emotional_score_mean,commercial_rate,privacy_score_mean,clickbait_score_mean,child_protagonist_rate,avg_views,median_views,risk_score
UC-_KiH_Z2yerhAD_cAjAMOA,Not Enough Nelsons,5410000,49,2242,3,1.2653061224489797,0.12244897959183673,2.0,1.489795918367347,0.6530612244897959,1734419.8979591837,1644366.0,0.5044161423426274
UCpE_yAyidJKIsv8mnX1VYzA,JesssFam,2460000,49,2566,3,1.6938775510204083,0.02040816326530612,2.2448979591836733,1.9387755102040816,0.40816326530612246,71505.22448979592,63795.0,0.4858698266821049
UCfaZw8XH_zmAVkBst_MPD6w,CKN ,19400000,2,492,0,0.5,1.0,0.0,0.0,0.5,2058146.0,2058146.0,0.48396603340231914
UCr3wdq5aVFBXwo84Vnd8NLg,Beast Family Vlogs ,1380000,50,189,0,1.58,0.04,1.04,2.06,0.52,274607.26,165952.0,0.4340405619126182
UCCavka0AbNklF4cqfaiwqEA,Forever Family Vlogs,868000,50,2261,1,1.28,0.0,1.7,1.94,0.4,40544.9,34316.0,0.4325664475297487
UCKaCalz5N5ienIbfPzEbYuA,Jordan Matter,35500000,50,572,1,0.9,0.02,1.38,1.8,0.5,24348509.88,20444513.0,0.41880381092286617
UChGJGhZ9SOOHvBB0Y4DOO_w,Ryan's World,40300000,50,3684,1,0.54,0.14,0.64,1.24,0.78,217291.42,131061.0,0.4001484976810922
UCyCyTe_1bT2aIPwG_gxbyeg,Daily Bumps,5060000,50,3077,1,0.98,0.1,1.24,1.54,0.38,34615.6,28503.5,0.38545196286949573
UCYfbq37VGb-07tDS0FGtsPw,Piper Rockelle,12200000,50,816,0,1.36,0.04,1.64,1.82,0.12,599251.44,420831.5,0.3733367679459884
UCuAHfJyWROB4XRReS43EWUw,The Bucket List Family,1500000,50,506,2,0.54,0.16,0.92,1.34,0.44,235085.54,186980.5,0.3720755627282055
UCxJrnvfqSSvly5hiq2Fe68g,SACCONEJOLYs,1610000,50,2852,0,0.92,0.02,1.26,1.42,0.48,194626.72,175360.0,0.3633531978545563
UCniCPy-kRxYshisooylV--g,Earls Family Vlogs,541000,50,877,3,1.16,0.06,1.56,1.28,0.36,35592.38,21901.0,0.36310339501235545
