channel_id,channel_title,views,caps_ratio,exclamation_count,has_open_mouth,has_text_overlay,num_faces,sentiment_compound,colorfulness,has_challenge,has_emotional_word,has_clickbait_phrase,emoji_count,subscribers,clickbait_intensity
UC-0XZzV9y16bKIuWb4qWkCg,Filipino Czech family,49775.5,0.36381168171533107,0.26,0.12,0.0,1.68,0.07573,40.12365696759307,0.0,0.02,0.0,0.1,208000.0,0.11271325658846498
UC-M2xqLWTXptiOSAom8GjFw,Rolwes  family Vlog ,165.0,0.6195815679327362,0.04,0.24,0.1,1.48,0.067278,42.515393217698346,0.0,0.06,0.0,0.58,8880.0,0.19437030131660865
UC-_KiH_Z2yerhAD_cAjAMOA,Not Enough Nelsons,1643679.0,0.7856398602427279,1.32,0.78,0.12,5.72,0.172852,89.09806145039835,0.04,0.1,0.02,1.0,5410000.0,0.4221095671405702
UC-z5VCIFLG6tximfWzzlSSQ,Family Channel,2093.5,0.37167095796145155,0.34,0.56,0.02,1.64,0.047968000000000004,79.5557851369282,0.0,0.24,0.0,0.02,138000.0,0.2111930872978118
UC0JuFXTfkyDOR-rKBfSsEmA,Our Twin Life Family,1050.5,0.29096605937428693,1.32,0.52,0.04,1.7,0.130246,60.946041432211096,0.0,0.02,0.02,0.12,22700.0,0.25517480696688194
UC0RIR-ic21_RJMJVMPP_0MQ,Canadian Family Life,140.0,0.45294284674449986,0.5510204081632653,0.8571428571428571,0.02040816326530612,1.5714285714285714,0.11522857142857143,63.0134236261291,0.0,0.02040816326530612,0.02040816326530612,0.0,11600.0,0.3039853390997451
UC1Az_80tfW-1uEQBlUGXnww,Epic Family Road Trip,32933.5,0.22675527410357904,0.18,0.22,0.48,1.36,0.096032,43.7934972379351,0.0,0.1,0.0,0.08,285000.0,0.19639399960599188
UC1CVU1pV2rqs8zSIy_OPPHA,Caleb Kids Show,987829.5,0.37896700136176525,1.38,0.58,0.3,1.72,0.344666,84.69137635471323,0.14,0.04,0.0,0.28,2120000.0,0.3364559769594696
UC1vyr5sGa-vcl7nDVMj1s_A,The Mummy Vlogger,14185.5,0.6829855940506103,0.36,0.16,0.14,1.1,0.318388,36.7218897281931,0.0,0.0,0.0,0.04,45000.0,0.21868300838067423
UC3KknIJZXRygH2pZ6MDtGbg,Kids Channel - Cartoon Videos for Kids,15858.5,0.17617206728682025,0.02,0.0,0.0,0.5,0.37892000000000003,120.25114267288629,0.0,0.0,0.0,0.0,6900000.0,0.03646140732239472
UC44eGZ76AJLHAxPaJ_MW2RA,TheEngineeringFamily,28751.0,0.158451380441582,0.66,0.6,0.1,1.86,0.298374,85.11258453734418,0.06,0.0,0.0,0.08,6250000.0,0.2121810736343287
UC4B6dDVB0Umrh5l4UgxUtyg,MY FAMILY,398335.0,0.19264346588377204,0.0,0.08,0.26,2.28,0.872808,86.34471176698294,0.0,0.0,0.46,0.42,19800000.0,0.19852869317675442
UC5mMf2NE17_MiTL94ihRN2w,Star Light Kids,126541.0,0.185154392756726,0.14,0.26,0.12,2.02,0.206044,65.66599114200504,0.08,0.0,0.0,0.0,2410000.0,0.12161983560655992
UC6QWhGQqf0YDYdRb0n6ojWw,Brooklyn and Bailey,297777.0,0.26997276659002883,0.12,0.66,0.02,2.86,-0.08223599999999999,47.62705646052687,0.24,0.02,0.0,0.0,7410000.0,0.19735651650818983
UC7zOxS8nYX214NlGa1ywNIw,Isaac Family Lifestyle ,164.5,0.07940454680665661,0.18,0.3,0.0,1.28,0.351188,40.40109617513291,0.0,0.14,0.0,0.1,2810.0,0.08692385414660739
UC9zvuudYHEptDdXdkD6GAEA,My Family Vlog,193876.0,0.00707896454326945,0.0,0.36,0.7,4.14,0.057632,55.50169103796588,0.0,0.0,0.0,0.12,361000.0,0.21341579290865387
UCA4plE8LqhERSNUiYDuVUFg,Nursery Rhymes TV,189385.5,0.36105327725511943,0.18,0.04,0.0,0.72,0.171676,117.34308041731292,0.0,0.0,0.0,0.02,258000.0,0.09125360023629997
UCBuUuRAVanvOFTd7krncsyg,JillianTubeHD,481982.5,0.5904969192765773,3.26,0.58,0.0,2.26,0.134616,62.87042054245945,0.06,0.02,0.02,0.0,1740000.0,0.4380993838553155
UCC-RHF_77zQdKcA75hr5oTQ,FGTeeV,2283829.0,0.24496464783437147,0.4444444444444444,0.3333333333333333,0.022222222222222223,2.5555555555555554,0.01352666666666667,94.62831166522884,0.022222222222222223,0.044444444444444446,0.022222222222222223,0.08888888888888889,25300000.0,0.15181501545644485
UCCavka0AbNklF4cqfaiwqEA,Forever Family Vlogs,34316.0,0.4488183398721698,0.24,0.4,0.04,2.92,-0.041934,40.00127139770305,0.04,0.08,0.06,0.62,868000.0,0.2044875943548021
UCCbcZxe-8w5obQHhtX8mA6A,"Our Life In ""Holland"" - The Bingham Family",20227.5,1.0,0.16,0.6,0.2,3.66,0.16557,74.78779338069212,0.0,0.0,0.06,0.0,150000.0,0.38181595092024545
UCEdhDTg-o0-6FqWsmeB1MAw,The Gujju family in Canada,2468.5,0.18314410535095732,0.22,0.68,0.12,4.52,0.34284,49.43496967903514,0.0,0.14,0.0,0.88,7780.0,0.2101257535855289
UCF2PQrk3QVky8eFexifcjDA,ItsYeBoi,130289.0,0.3134092504959581,1.46,0.7,0.16,1.2,0.19138,79.92477901134254,0.04,0.0,0.0,0.0,2670000.0,0.3242524022464309
UCFCKt1z8dli47-J5rI5yd3g,BIG FAMILY,1129.5,0.06585187830388967,0.48,0.64,0.04,2.72,0.046304,58.76636998118759,0.04,0.02,0.0,0.48,57500.0,0.17861822842151415
UCGXMW0suZvGU0zYVaQfnmyw,Hayes Family Vlog,62327.0,0.2748449891354044,1.56,0.3,0.06,2.72,0.37348,56.685675668405395,0.02,0.06,0.0,0.0,124000.0,0.22267451929947354
UCGZA0_5LShndtki1B1WCQ3g,Beyond Our Doorstep,6204.5,0.7679264811210639,1.52,0.48,0.2,3.74,0.115086,41.620285393825434,0.02,0.06,0.02,0.0,161000.0,0.3868368299665441
UCHP0T4C5D2PEzGag5fGslcw,Indonesian Mommy,15121.0,0.9623051409618575,0.0,0.42,0.0,1.32,0.020882,37.17107077513066,0.02,0.02,0.0,0.0,108000.0,0.2764610281923715
UCI5lrYVm4ctqxEHG4HgvdRA,Our Family Nest,8338.0,0.36594868145431825,0.6,0.58,0.16,2.26,0.03937199999999999,47.41415016833716,0.02,0.02,0.02,0.0,1100000.0,0.2619995522417839
UCI86O2Dr9tU60b6CMhOZYNg,Canada Couple Vlogs,14648.0,0.3102702066762804,0.0,0.78,0.06,2.88,0.073212,75.05168200866598,0.0,0.06,0.0,0.1,887000.0,0.23005404133525612
UCIVDPLH_7OhX0HAb8BYDsbA,Rhea & Roy Family Vlog,2383.0,0.15434931325045465,0.28,0.64,0.1,1.68,0.089346,39.96387138805484,0.0,0.1,0.0,0.02,10000.0,0.19604777676052038
UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,5660960.5,0.09831845178721138,0.0,0.54,0.04,2.48,0.40513600000000005,128.5196071824638,0.08,0.02,0.0,0.0,132000000.0,0.1356636903574423
UCK2ACorzpH-igxuHZ2ObCEA,itsJudysLife,41831.0,0.16744029054145465,0.32,0.34,0.02,3.22,-0.008823999999999999,34.09733068826905,0.0,0.02,0.0,0.22,1830000.0,0.12511995994878172
UCKGhcY5F8Xo3O-R_eo58ISg,Simple Indian family vlog,78.5,0.0345806446594434,0.0,0.22,0.0,1.5,0.146836,52.311655155852314,0.0,0.12,0.04,0.04,10900.0,0.05891612893188868
UCKaCalz5N5ienIbfPzEbYuA,Jordan Matter,20444513.0,0.4330960310320979,0.08,0.54,0.1,3.42,-0.009155999999999997,69.87415797239666,0.24,0.04,0.02,0.02,35500000.0,0.22352718166654229
UCKdOI5MTLkGHtqtyKovs2lQ,Baby Playful,15660.5,0.14884350899595034,0.14,0.72,0.02,2.2,0.5268039999999999,68.44230485331502,0.06,0.18,0.0,0.0,387000.0,0.1863576588544048
UCKmK7BiD-WGWAmCxEG9__ew,Abi Firoz -Mommy Vlogger,1187.0,0.06069022957896625,0.0,0.04,0.04,1.44,0.28709,77.30491411604406,0.0,0.02,0.0,0.68,541000.0,0.02813804591579325
UCLWvIB80ANqrEJhzYzfkgGA,Family Games Media,7571.5,0.09879669537395282,1.02,0.38,0.04,4.9,0.473576,106.01731474072379,0.94,0.06,0.0,0.06,19600000.0,0.166336026191355
UCMLqsgXvM6Vs0aiegOdrtLQ,Big Big Family in the USA,21907.5,0.2945236097202719,0.26,0.2,0.1,1.86,-0.027565999999999997,66.17478415654189,0.0,0.08,0.0,0.0,164000.0,0.13485564218945317
UCN2FNjALOC1OoryKcssOi5Q,The Sangwan Family,44162.0,0.5740619133367061,0.0,0.66,0.02,2.8,0.22062400000000001,76.24518359668969,0.02,0.08,0.06,0.78,824000.0,0.26281238266734125
UCOeJBQGvDaEXQZSwTr_V2ow,Fina's Vlog,3233.0,0.18402825085453717,0.16,0.62,0.06,2.82,0.134704,52.262612509043635,0.0,0.0,0.0,0.12,8690.0,0.18262160109115283
UCPu78bdv1WY6b9Kk7xixhQw,The Ingham Family,23595.0,0.22961497462718441,0.66,0.36,0.04,2.0,0.10137799999999998,41.015739260106514,0.02,0.02,0.06,0.04,1380000.0,0.17841379247144917
UCQB2RScHgu5V7-AuZMsx84A,KidsFunTV,656.0,0.20543070925026224,0.0,0.0,0.0,0.04,0.32141400000000003,61.06901545632779,0.0,0.0,0.0,0.0,38700.0,0.04108614185005245
UCRXRC8hRRMYEnumSWPpT17A,TwinsFromRussia,3314.0,0.15844120735699685,0.0,0.09090909090909091,0.0,0.8484848484848485,0.4318757575757576,23.692255352291895,0.0,0.0,0.030303030303030304,0.0,8170000.0,0.055930665713823616
UCT-eeAawywE0UG_qvoA_HBQ,Actor Ashwanth,2740.5,0.19266774310878929,0.04,0.32,0.02,1.08,0.17727199999999999,44.79540524593645,0.0,0.18,0.0,0.14,36500.0,0.10898753635181921
UCTd7KgjB_wmLd-absFsvOGQ,My family diary telugu,17702.5,0.01298795386633974,0.0,0.18,0.18,2.42,0.117584,60.279494444856226,0.0,0.04,0.0,0.1,63500.0,0.07459759077326794
UCTk9yzZAXir64WOpXt5DosA,Family Traveler அமெரிக்க VLOGS,12608.0,0.1835757191353385,0.24,0.46,0.22,2.74,0.24145200000000003,56.65249397589868,0.02,0.0,0.0,0.28,120000.0,0.1874390702074358
UCTpW4mj-LRVV0m8jWvKIZGQ,Happy kids Vlog,353833.5,0.060771899666725845,0.02,0.52,0.06,1.86,0.162774,65.90239752425772,0.0,0.06,0.04,0.78,202000.0,0.13738137379837587
UCUA-OKbvCVNChlyaG5CsqhA,Canadian Family Vlog,122.5,0.1790477351528541,0.0,0.28,0.08,0.92,0.0045119999999999995,38.957812904512444,0.0,0.0,0.0,0.0,4610.0,0.10780954703057083
UCUg7EafRUm0RPzrrxoQJhjw,JOE BREEZY LIFESTYLE & FAMILY,11304.0,0.9992857142857143,0.0,0.4,0.0,1.6,0.37178999999999995,58.006922632088695,0.0,0.05,0.0,1.05,44200.0,0.2798571428571429
UCUkdk5nI1If0-0it-JPrBAw,Mom of 6 Japan,101451.0,0.07782528487237975,0.0,0.0,0.034482758620689655,0.7931034482758621,0.055299999999999995,31.06637543373733,0.0,0.0,0.0,2.0,82200.0,0.022461608698613883
UCWIXaSAwhR0KvMqZMdkolaA,Family Lifestyle ,24.0,0.24208341557484395,0.2857142857142857,0.0,0.0,0.42857142857142855,0.27717142857142857,65.84977128355156,0.14285714285714285,0.14285714285714285,0.0,0.42857142857142855,82000.0,0.06594516690112129
UCWdE00ZmF4BATCgGgo92Mew,@The Millitary Family ,5901.5,0.00048216007714561176,0.029411764705882353,0.47058823529411764,0.029411764705882353,0.9411764705882353,0.08921470588235295,44.827384820891716,0.0,0.0,0.0,0.8823529411764706,466000.0,0.10190083475812128
UCWwWOFsW68TqXE-HZLC3WIA,The ACE Family,860181.5,0.9632692307692308,1.6,0.34,0.06,2.46,0.066672,54.85447321766409,0.02,0.04,0.04,0.0,18000000.0,0.3788133553563002
UCWw_fOUvuGFonxrA9j29V-Q,Family Vlogs,2576.0,0.3280328801254655,0.04,0.2,0.3,3.98,0.456938,51.644870451715796,0.0,0.08,0.02,1.24,273000.0,0.17206056375515447
UCYOrk_8bdqxClLb8pannmLA,Adventure Family,2315.0,0.2900149146115799,0.35,0.1,0.2,0.825,0.1057425,38.975936986024095,0.0,0.0,0.0,0.475,3060.0,0.1394753755603528
UCYY3nXWjUXhMU24XQu4oucg,BIG FAMILY,41143.5,0.3958601861379693,0.0,0.34,0.36,2.54,0.29617,67.66901721621032,0.0,0.1,0.0,0.82,75600.0,0.21917203722759387
UCYfbq37VGb-07tDS0FGtsPw,Piper Rockelle,420831.5,0.49376188238308855,0.08,0.46,0.08,1.84,-0.09487400000000001,76.02794449004203,0.0,0.08,0.04,0.32,12200000.0,0.21966035193674044
UCYoiQfqe0J6J6BID0J6JTPg,Fil British family vlogs,1916.5,0.9971428571428571,0.1,0.22,0.04,1.64,-0.350126,31.367074638542753,0.0,0.04,0.0,0.98,52300.0,0.2575635407537248
UC_8BKDmjs7jWcjtxOUq9xmg,Hustle at Home Mom,92590.5,0.3339692864416455,1.26,0.46,0.06,1.3,-0.069616,64.99405169285399,0.0,0.08,0.0,0.0,244000.0,0.24809447078526164
