video_id,emotional_manipulation,commercial_signals,child_role,privacy_concern,clickbait_level
171e_Au5eSc,none,none,protagonist,low,none
AHVY_H6mSls,none,none,cameo,low,mild
DggMtnQHUt4,none,brand_mention,unclear,low,mild
72KibGdDhgY,none,none,unclear,none,moderate
kWfXdWg29tY,none,none,protagonist,low,none
lhn6mfHUGNI,none,none,protagonist,low,mild
0bUexTmp2Dg,none,none,unclear,low,none
bkVjo4pqbEE,none,none,co_star,low,none
bPQcZxYDV8c,none,none,protagonist,none,mild
JFpJ9u-LNI4,none,none,protagonist,low,mild
A50E623yW9Q,none,none,co_star,none,mild
72s3Ns0a-Uk,none,none,unclear,none,none
8Bq8m6VD2ns,none,none,unclear,low,mild
Vdzv_kjobuI,none,none,unclear,none,moderate
t8ZPyS00ozE,none,none,unclear,none,none
hyTSdxlMpso,none,none,unclear,none,none
z752vyuPVIM,none,none,unclear,none,none
C6JkJZmix3E,none,none,unclear,none,none
tYJ7Qjwn1ys,none,none,unclear,none,mild
qzJW8J5Xhv8,none,none,unclear,low,mild
P6U9PYFVh80,none,none,protagonist,none,mild
qbB3TrMjzuU,none,none,unclear,none,mild
5EiNb-bZmKs,none,none,unclear,none,moderate
S1QKQJxkUeo,none,none,co_star,low,mild
d3pLIi2ah6o,none,none,unclear,none,none
qhV8hD_TWns,none,none,unclear,low,mild
3BQXmUmSWfc,none,none,unclear,none,none
bErOcB1Y2-A,none,brand_mention,protagonist,low,none
F8XDoVUJDbg,none,none,unclear,none,none
2jPgXkQeAbg,none,none,protagonist,none,mild
R6QLAK1y5_w,none,none,co_star,low,none
SaWRKSpMurY,none,none,unclear,low,moderate
tL6Dm23obtc,none,none,unclear,none,none
yd81jbmw0GM,none,none,co_star,low,none
GNSf5aavv_0,none,none,protagonist,none,none
PYQL_tTjakQ,mild,none,unclear,none,mild
9BwI-42BsBw,mild,none,unclear,none,mild
flV93vBoMn4,mild,none,protagonist,low,mild
iJURvFOAzpc,mild,none,co_star,low,mild
SBCn57D5dbI,mild,none,unclear,low,none
UVD8H3Rpzgo,mild,none,protagonist,low,mild
Sr4YP1dzxn0,mild,none,unclear,low,moderate
pRVQsT58uag,mild,none,unclear,low,mild
fIbPp7eWqf0,mild,brand_mention,unclear,low,mild
8CrNqS7_FNM,mild,none,protagonist,low,moderate
6IfL2KiaTLM,mild,none,protagonist,low,moderate
7t_r0IGzeXM,mild,none,protagonist,low,moderate
QTmAlECu5eU,mild,none,protagonist,moderate,mild
UVHmLv-BFhU,mild,none,protagonist,low,mild
SNsAgIIZZTA,mild,none,unclear,low,moderate
-EhqsXHnwHg,mild,none,protagonist,low,moderate
OzQShzhWihg,mild,none,unclear,low,mild
am9Q8KwQJ9Q,mild,none,unclear,low,mild
LOrEn59rDDk,mild,none,unclear,low,moderate
brZwNdKGKUc,mild,none,protagonist,low,moderate
YK27I_pR5zY,mild,none,co_star,low,moderate
S8CArTAhkQI,mild,none,unclear,low,none
n-KJDgwf130,mild,none,unclear,none,moderate
locvWmtZ6pg,mild,none,unclear,low,moderate
Qzpi5Kk6oc0,mild,brand_mention,unclear,low,mild
9cn1NnY7Rsg,mild,none,protagonist,low,mild
4lTfGCJXWts,mild,none,protagonist,low,mild
6eYQcioSrDk,mild,none,unclear,low,mild
TTVpc0Je8Fg,mild,none,co_star,low,moderate
XtEnNn0_O9U,mild,none,unclear,low,mild
jhqUTpZedWs,moderate,none,unclear,low,moderate
En9qYI3ZY3M,moderate,none,unclear,low,severe
h9lA54IOXHA,moderate,none,unclear,moderate,moderate
b7URfBXdvoI,moderate,none,protagonist,moderate,severe
3lH8ig69i8s,moderate,none,cameo,low,moderate
BJzIsuWjmlo,moderate,none,protagonist,moderate,moderate
3sebQvMiLuM,moderate,none,unclear,moderate,severe
RlzVxp0hRuY,moderate,none,co_star,moderate,moderate
aEmr_emx9no,moderate,none,protagonist,high,mild
KAdWlCt1iPE,moderate,none,unclear,low,mild
IozTGRqX2R4,moderate,none,protagonist,high,moderate
hL5SUzkGKRw,moderate,none,protagonist,high,moderate
yxl7CyaBqRg,moderate,none,unclear,low,moderate
AG5MRX4yIzM,moderate,none,protagonist,high,severe
dYCXc0NQKrg,moderate,none,protagonist,low,moderate
h2C47Vp_JxM,moderate,none,unclear,moderate,moderate
FCTUg59oVh8,moderate,none,unclear,low,moderate
y8-5j6t3JLw,moderate,none,unclear,moderate,moderate
qPdbg2Gtu60,moderate,none,unclear,low,mild
BzeY0XzVdP8,moderate,none,unclear,none,moderate
UfzsA5Sq_nk,moderate,none,unclear,none,moderate
STwggaRf-Yo,moderate,none,unclear,low,moderate
zur0A_RNQ_0,moderate,none,unclear,low,severe
nIFCwowxyVA,moderate,none,protagonist,high,severe
36dx1RpJ6eQ,moderate,none,protagonist,moderate,severe
iBn5M3mJPLg,severe,none,protagonist,high,severe
3EYUiwzu4Z0,severe,none,unclear,high,severe
3uBhPL7QAGA,severe,none,unclear,moderate,moderate
hh3TcPltPLE,severe,none,co_star,moderate,severe
1hPcUybOH1s,severe,none,co_star,moderate,severe
ojFXAHpbU-E,severe,none,protagonist,high,mild
Y2JzBV3Epl4,severe,none,protagonist,high,severe
x-gfrFRbVs8,severe,none,unclear,moderate,mild
V7uhZVdlvD8,severe,none,unclear,moderate,moderate
aOdBcPGOQrY,severe,none,unclear,high,severe
