video_id,title,channel,youtube_url,snorkel_score,human_performative,human_emotional_bait,human_narrative_conflict,human_challenge_format,human_commercial_content,human_privacy_violation,human_overall_exploitative,human_notes,snorkel_performative,snorkel_emotional_bait,snorkel_narrative_conflict,snorkel_challenge_format,snorkel_commercial_content
13pVAGGfYdE,Fun Squad Studios Vacation To Universal Studios Florida!,funsquadfamily,https://www.youtube.com/watch?v=13pVAGGfYdE,0.0460156381416066,,,,,,,,,0,0,0,0,0
mNoo5RMv8do,NAZ 14th BIRTHDAY (wishes come true) w/Norris Nuts,norrisnuts,https://www.youtube.com/watch?v=mNoo5RMv8do,0.0638867847488047,,,,,,,,,0,0,0,0,0
Mdk3cFSeuyg,Alaska Cruise Vlog 2023!,thatyoutub3family,https://www.youtube.com/watch?v=Mdk3cFSeuyg,0.1274203700962206,,,,,,,,,0,0,0,0,0
sTrXSTi51q4,Everleigh and Ava Then and Now Halloween Special!,everleighrose,https://www.youtube.com/watch?v=sTrXSTi51q4,0.1274203700962206,,,,,,,,,0,0,0,0,0
ic_vEj8SLMM,We Waited SEVEN Years for this...,shotofyeagers,https://www.youtube.com/watch?v=ic_vEj8SLMM,0.1712320975326267,,,,,,,,,0,0,0,0,0
3v-zUefUGvs,Spin Art Is So Satisfying,mccluretwins,https://www.youtube.com/watch?v=3v-zUefUGvs,0.1712320975326267,,,,,,,,,0,0,0,0,0
KyZEVrNf0UY,Like a Wet Dog 2 (WK 146) | Bratayley,bratayley,https://www.youtube.com/watch?v=KyZEVrNf0UY,0.1712320975326267,,,,,,,,,0,0,0,0,0
GhdR_mcMFQs,Watch the full video ⬆️⬆️,brentrivera,https://www.youtube.com/watch?v=GhdR_mcMFQs,0.1778735830169888,,,,,,,,,-1,0,0,0,0
xqUbmjSSQ-s,WHAT'S IN MY BACKPACK 2018 (TEEN MIDDLE SCHOOL EDITION),theweisslife,https://www.youtube.com/watch?v=xqUbmjSSQ-s,0.2025833406813617,,,,,,,,,0,0,0,0,0
QsPd-34-YiA,CEREAL PIZZA?,tannerites,https://www.youtube.com/watch?v=QsPd-34-YiA,0.2264941972239141,,,,,,,,,0,0,0,0,0
GM7M4a2Zsbk,We Went Back to Our PUBLIC SCHOOL!,ohanaadventure,https://www.youtube.com/watch?v=GM7M4a2Zsbk,0.2718947219564114,,,,,,,,,0,0,0,0,0
HWsj1S-PISs,We TAKE Two of OUR KiDS on a SURPRiSE TRiP!,shotofyeagers,https://www.youtube.com/watch?v=HWsj1S-PISs,0.2718947219564114,,,,,,,,,0,0,0,0,0
5J86oUxO8os,Surprising my fiancé on our 7th anniversary! *emotional* | Family Fizz,familyfizz,https://www.youtube.com/watch?v=5J86oUxO8os,0.2756973177008882,,,,,,,,,0,1,0,0,0
afqWhKDXSWI,HOW TO CATCH WABBITS (6.14.13 - Day 140),dailybumps,https://www.youtube.com/watch?v=afqWhKDXSWI,0.3243391284084853,,,,,,,,,-1,0,0,0,0
unAYb8hEVsU,Sink or Float with Vlad and Niki - Cool Science Experiment for Kids,vladandniki,https://www.youtube.com/watch?v=unAYb8hEVsU,0.3483299749738752,,,,,,,,,1,0,0,0,0
mS-mH2lYHqA,The Ultimate Family Game ✨ (An Official Identity Milestone Reveal),mccluretwins,https://www.youtube.com/watch?v=mS-mH2lYHqA,0.3483299749738752,,,,,,,,,1,0,0,0,0
SkJvBXKdf8o,Tie Dye Twist-Bratayley Style (WK 111.4) | Bratayley,bratayley,https://www.youtube.com/watch?v=SkJvBXKdf8o,0.3483299749738752,,,,,,,,,1,0,0,0,0
BgwAUUymkFs,Reunited with Papa + Disneyland Tokyo!!! - @itsJudysLife,itsjudyslife,https://www.youtube.com/watch?v=BgwAUUymkFs,0.4192483554121919,,,,,,,,,0,0,0,0,0
