video_id,title,channel,youtube_url,view_count,annotator_performative_labor,annotator_emotional_bait,annotator_narrative_conflict,annotator_challenge_format,annotator_commercial_content,annotator_privacy_violation,annotator_overall_exploitative,annotator_notes
1BcbDYtORH0,We Found A Giant Ninja Battle Robot!,ninjakidztv,https://www.youtube.com/watch?v=1BcbDYtORH0,2685133,,,,,,,,
mEcLEyDi3bw,THIRD WHEELING MY 12 YEAR OLD BROTHER’S RELATIONSHIP!,brentrivera,https://www.youtube.com/watch?v=mEcLEyDi3bw,6323561,,,,,,,,
-qKBVTFhKHw,Pranking our Siblings!,ohanaboys,https://www.youtube.com/watch?v=-qKBVTFhKHw,90207,,,,,,,,
ijeCnHEx8W4,"FALL EVERYTHING! PUMPKIN SPICE STARBUCKS, TARGET SHOPPING & MORE!",ourfamilynest,https://www.youtube.com/watch?v=ijeCnHEx8W4,18353,,,,,,,,
0SmLtajf--U,The MAGIC Dollhouse Movie,shotofyeagers,https://www.youtube.com/watch?v=0SmLtajf--U,167277,,,,,,,,
xpmU8dCteIw,4 year olds Everleigh & Ava bake with their Baby Alive dolls I Foreverandforava,everleighrose,https://www.youtube.com/watch?v=xpmU8dCteIw,1143133,,,,,,,,
QhuaVZJpW6o,RICH Parents Vs. BROKE Parents,piperrockelle,https://www.youtube.com/watch?v=QhuaVZJpW6o,5937016,,,,,,,,
AdFxzIdSZek,Father's Day Was Great Until I Broke My Tooth 🥳😬,thedashleys,https://www.youtube.com/watch?v=AdFxzIdSZek,31912,,,,,,,,
aN--3LU_cb4,You won't believe what we found HIDING in the trunk! *Scary*,tydustalbott,https://www.youtube.com/watch?v=aN--3LU_cb4,2345702,,,,,,,,
o4yYkq0k12Y,Mr.beast hated my chips 😱😭￼,brentrivera,https://www.youtube.com/watch?v=o4yYkq0k12Y,896790,,,,,,,,
RElUn9WRxbY,BUYING ANYTHING In Your COLOR FOR 30 MINUTES CHALLENGE!,lifewithbrothers,https://www.youtube.com/watch?v=RElUn9WRxbY,68794,,,,,,,,
8AnIUAdvITA,I am So Sad | Goodbyes Are Never Easy,theleray,https://www.youtube.com/watch?v=8AnIUAdvITA,223547,,,,,,,,
Jv8bR-R7OIY,SOMEONE LEFT THIS PACKAGE AT OUR HOUSE! 😳,johnsonsfam,https://www.youtube.com/watch?v=Jv8bR-R7OIY,324218,,,,,,,,
Af8OIPU_0f8,Brock's Q&A 2-Year LDS Mission | What Is Next?,brockandboston,https://www.youtube.com/watch?v=Af8OIPU_0f8,63627,,,,,,,,
TEa1UHCYRBs,Surprising Isabelle with a LUXURY Villa For Her BIRTHDAY! ,inghamfamily,https://www.youtube.com/watch?v=TEa1UHCYRBs,28428,,,,,,,,
XwuxFjVl3qQ,"Most Embarrassing Moment of the Trip  ✨ One Suitcase: Spain - Ep. 9 ✨ Tarragona, Spain",ballingerfamily,https://www.youtube.com/watch?v=XwuxFjVl3qQ,45316,,,,,,,,
uDKMJKCvUCg,A for Adley THE MOViE!!  Daddy Daughter Date!  Dinosaur Park visit!  Cops vs Robbers prison escape!,aforadley,https://www.youtube.com/watch?v=uDKMJKCvUCg,43112347,,,,,,,,
5NCSLIRxO7o,NIGHT ROUTINE BEFORE TRAVELING ON AN INTERNATIONAL FLIGHT!!,annierose,https://www.youtube.com/watch?v=5NCSLIRxO7o,185015,,,,,,,,
_3HmV2xtgiU,Kidsongs: Country Sing Along,kidssongs,https://www.youtube.com/watch?v=_3HmV2xtgiU,590881,,,,,,,,
-emarHZ0GBY,"COPS COME TO FAMILY HOUSE, Instantly REGRET It | FamousTubeFamily",famoustubefamily,https://www.youtube.com/watch?v=-emarHZ0GBY,1941603,,,,,,,,
oUBEYfw62qI,Animal Rescue Adventure: Bear 🐻 Hippo 🦛 Peacock 🦚 Giraffe 🦒 | BabyBus Gameplay,babybus,https://www.youtube.com/watch?v=oUBEYfw62qI,13198,,,,,,,,
XhZpzNlN2uA,I MOVED OUT But My Parents DIDN'T WANT ME TO! | Txunamy,txunamy,https://www.youtube.com/watch?v=XhZpzNlN2uA,78533,,,,,,,,
xlQgJSC6H6s,unexpected DOCTORS visit...,brockandboston,https://www.youtube.com/watch?v=xlQgJSC6H6s,91509,,,,,,,,
KszjX8cshuk,🎄 Can Blippi Help Santa Deliver Presents at the Zoo?,blippi,https://www.youtube.com/watch?v=KszjX8cshuk,645753,,,,,,,,
KuSBysw7394,They cheated! Who knows her best!,meetthemillers,https://www.youtube.com/watch?v=KuSBysw7394,7048,,,,,,,,
xHdO5fkAYaE,Homeschooling Tips & Tricks (from a mom of 6!),ballingerfamily,https://www.youtube.com/watch?v=xHdO5fkAYaE,10342,,,,,,,,
mukGoZK7Eo8,Amanda the Adventurer IN OUR HOUSE After Midnight (ON A SCHOOL NIGHT!) (FGTeeV Gameplay),fgteev,https://www.youtube.com/watch?v=mukGoZK7Eo8,34891797,,,,,,,,
onjhTdnrgZE,Tinfoil Makeup Challenge! Girls Do Boys Makeup!,theadventurers,https://www.youtube.com/watch?v=onjhTdnrgZE,29555,,,,,,,,
TgEX-XG-G5c,Pregnancy Problems...LONGEST VLOG EVER!,smellybellytv,https://www.youtube.com/watch?v=TgEX-XG-G5c,967833,,,,,,,,
F34TdfRibLE,New Middle School Locker and School supplies!! Are they ready?!,meetthemillers,https://www.youtube.com/watch?v=F34TdfRibLE,13566,,,,,,,,
sS89FnQWwvA,Candle Blowing Challenge! Family Game Night!,thatyoutub3family,https://www.youtube.com/watch?v=sS89FnQWwvA,61677,,,,,,,,
