video_id,title,channel,youtube_url,view_count,model_exploitation_score,model_performative,model_emotional_bait,model_narrative_conflict,model_challenge_format,model_commercial_content,model_privacy_violation,annotator_performative_labor,annotator_emotional_bait,annotator_narrative_conflict,annotator_challenge_format,annotator_commercial_content,annotator_privacy_violation,annotator_overall_exploitative,annotator_notes
1BcbDYtORH0,We Found A Giant Ninja Battle Robot!,ninjakidztv,https://www.youtube.com/watch?v=1BcbDYtORH0,2685133,0.352,0,0,0,0,0,0,,,,,,,,
mEcLEyDi3bw,THIRD WHEELING MY 12 YEAR OLD BROTHER’S RELATIONSHIP!,brentrivera,https://www.youtube.com/watch?v=mEcLEyDi3bw,6323561,0.551,0,0,1,0,0,0,,,,,,,,
-qKBVTFhKHw,Pranking our Siblings!,ohanaboys,https://www.youtube.com/watch?v=-qKBVTFhKHw,90207,1.0,1,0,1,0,0,0,,,,,,,,
ijeCnHEx8W4,"FALL EVERYTHING! PUMPKIN SPICE STARBUCKS, TARGET SHOPPING & MORE!",ourfamilynest,https://www.youtube.com/watch?v=ijeCnHEx8W4,18353,0.273,0,0,0,0,1,0,,,,,,,,
0SmLtajf--U,The MAGIC Dollhouse Movie,shotofyeagers,https://www.youtube.com/watch?v=0SmLtajf--U,167277,0.352,0,0,0,0,0,0,,,,,,,,
xpmU8dCteIw,4 year olds Everleigh & Ava bake with their Baby Alive dolls I Foreverandforava,everleighrose,https://www.youtube.com/watch?v=xpmU8dCteIw,1143133,0.352,0,0,0,0,0,0,,,,,,,,
QhuaVZJpW6o,RICH Parents Vs. BROKE Parents,piperrockelle,https://www.youtube.com/watch?v=QhuaVZJpW6o,5937016,1.0,0,0,1,0,0,0,,,,,,,,
AdFxzIdSZek,Father's Day Was Great Until I Broke My Tooth 🥳😬,thedashleys,https://www.youtube.com/watch?v=AdFxzIdSZek,31912,0.255,0,0,0,0,0,0,,,,,,,,
aN--3LU_cb4,You won't believe what we found HIDING in the trunk! *Scary*,tydustalbott,https://www.youtube.com/watch?v=aN--3LU_cb4,2345702,0.284,0,1,0,0,0,0,,,,,,,,
o4yYkq0k12Y,Mr.beast hated my chips 😱😭￼,brentrivera,https://www.youtube.com/watch?v=o4yYkq0k12Y,896790,0.445,0,1,1,0,0,0,,,,,,,,
RElUn9WRxbY,BUYING ANYTHING In Your COLOR FOR 30 MINUTES CHALLENGE!,lifewithbrothers,https://www.youtube.com/watch?v=RElUn9WRxbY,68794,1.0,1,0,0,1,0,0,,,,,,,,
8AnIUAdvITA,I am So Sad | Goodbyes Are Never Easy,theleray,https://www.youtube.com/watch?v=8AnIUAdvITA,223547,0.239,0,1,0,0,0,0,,,,,,,,
Jv8bR-R7OIY,SOMEONE LEFT THIS PACKAGE AT OUR HOUSE! 😳,johnsonsfam,https://www.youtube.com/watch?v=Jv8bR-R7OIY,324218,0.218,0,1,0,0,0,0,,,,,,,,
Af8OIPU_0f8,Brock's Q&A 2-Year LDS Mission | What Is Next?,brockandboston,https://www.youtube.com/watch?v=Af8OIPU_0f8,63627,0.352,0,0,0,0,0,0,,,,,,,,
TEa1UHCYRBs,Surprising Isabelle with a LUXURY Villa For Her BIRTHDAY! ,inghamfamily,https://www.youtube.com/watch?v=TEa1UHCYRBs,28428,0.219,0,0,0,0,0,0,,,,,,,,
XwuxFjVl3qQ,"Most Embarrassing Moment of the Trip  ✨ One Suitcase: Spain - Ep. 9 ✨ Tarragona, Spain",ballingerfamily,https://www.youtube.com/watch?v=XwuxFjVl3qQ,45316,0.203,0,0,0,0,0,1,,,,,,,,
