video_id,content_type,emotional_manipulation,commercial_signals,child_role,privacy_concern,clickbait_level
vXn4F-HGBrk,challenge,none,none,unclear,none,mild
GehZsPEX4GY,challenge,none,none,protagonist,none,mild
d-WSRBWE8HI,challenge,moderate,none,co_star,none,severe
jlrvT0M_sA0,challenge,moderate,none,co_star,none,severe
_FYuDzGAbSA,storytime,severe,none,protagonist,moderate,severe
oiDtiCI6c7g,daily_vlog,severe,none,protagonist,high,severe
_UDMYK4NTeY,daily_vlog,moderate,none,co_star,high,severe
on7UNfpc4L8,daily_vlog,severe,none,unclear,high,severe
6DRLPMNC7LM,daily_vlog,severe,none,protagonist,high,severe
-n0pdaa6GM4,daily_vlog,none,none,unclear,low,mild
Iko7P3P4FsY,daily_vlog,moderate,none,unclear,low,severe
jhXhrPa6bBA,storytime,mild,none,unclear,moderate,moderate
KediKGAZhfk,storytime,moderate,none,unclear,moderate,severe
UodCkZU37qM,storytime,mild,none,unclear,moderate,severe
FoYybFOjWso,storytime,moderate,none,unclear,high,severe
ZUCpN33jaMM,storytime,moderate,none,unclear,high,severe
HmBLk0_DXAg,travel,moderate,none,unclear,low,severe
seMWpKudb3A,daily_vlog,mild,none,unclear,low,severe
mRnLDYBFXsk,routine,none,none,unclear,low,mild
HpMU02nB7T4,daily_vlog,moderate,none,unclear,low,severe
jhqUTpZedWs,storytime,moderate,none,unclear,low,moderate
yaIJyCzBhpo,storytime,mild,none,protagonist,low,moderate
ZIx2dHjZP_Q,daily_vlog,none,none,co_star,low,mild
JXhfqXFum2Q,daily_vlog,mild,none,protagonist,low,mild
1hPcUybOH1s,storytime,severe,none,co_star,moderate,severe
GzEpWldvMYY,daily_vlog,mild,none,protagonist,low,mild
ybNx2QTmoS8,travel,none,none,unclear,low,mild
UDFN27pyyHM,travel,none,none,co_star,low,mild
M0OAsMBx_0Y,travel,none,none,unclear,low,mild
d7mnMXEvcF8,travel,none,none,unclear,low,mild
d_lZ82C2X6k,daily_vlog,mild,none,protagonist,moderate,mild
tVdnQaHmTVo,daily_vlog,mild,none,protagonist,low,mild
ftGDrseUhvU,daily_vlog,moderate,none,co_star,high,moderate
LyoB-nsdxrg,daily_vlog,mild,none,unclear,moderate,moderate
OzrXHmGuHBw,daily_vlog,none,none,protagonist,moderate,moderate
4CDE8eQPMNg,daily_vlog,none,none,unclear,moderate,moderate
ibwWB6Wg4lk,daily_vlog,moderate,none,unclear,high,moderate
i1KacFJSdiQ,daily_vlog,none,none,unclear,low,mild
0bGo8bVUMTQ,daily_vlog,moderate,none,protagonist,high,moderate
HyIXKP6nmYY,storytime,mild,none,unclear,low,moderate
2aIRjm1OMzs,daily_vlog,moderate,none,protagonist,moderate,moderate
XiUHrf3V-aA,storytime,moderate,none,protagonist,moderate,moderate
A81oF2xVUUo,travel,mild,none,protagonist,low,mild
h9lA54IOXHA,storytime,moderate,none,unclear,moderate,moderate
xISWzpYK8Wc,storytime,moderate,none,protagonist,moderate,moderate
G6mtxtJTPFU,storytime,moderate,none,unclear,moderate,moderate
6G9LipCSWmE,storytime,mild,none,protagonist,moderate,mild
SaufHYjOXng,daily_vlog,none,none,unclear,low,none
IUMUP7I2Wv8,routine,none,none,unclear,low,mild
umc94eFhQj8,daily_vlog,mild,none,protagonist,low,mild
wRILjMtIGpk,daily_vlog,mild,none,protagonist,low,moderate
lqjpuiFnN0I,daily_vlog,mild,none,protagonist,low,moderate
36dx1RpJ6eQ,storytime,moderate,none,protagonist,moderate,severe
AG5MRX4yIzM,storytime,moderate,none,protagonist,high,severe
nGP5sRHbafc,daily_vlog,mild,none,protagonist,low,moderate
IeRsWo7MPkI,daily_vlog,none,none,unclear,low,mild
Iu_ZKsCeK94,daily_vlog,none,none,unclear,low,mild
mb314m-cMeY,travel,none,none,co_star,low,none
xXMqaKw9OFg,daily_vlog,none,none,co_star,low,none
CVsD5FW8UMY,daily_vlog,none,none,co_star,low,none
Ub1xr7dBGmc,daily_vlog,none,none,protagonist,low,none
eR7asAV-SV4,storytime,mild,none,co_star,low,mild
pWNmHgnImew,storytime,mild,none,co_star,low,mild
gtqkR5oYs0g,daily_vlog,none,none,unclear,low,none
a-I_-Y89tw0,storytime,mild,none,co_star,low,mild
dPL-dBey3jU,daily_vlog,none,none,protagonist,low,none
OJ5GQspndtE,daily_vlog,none,none,protagonist,low,none
LsgIsEhnS7A,daily_vlog,none,none,unclear,low,mild
jtt2QW4oe44,daily_vlog,mild,none,unclear,low,mild
H-QE2gQ1hcY,daily_vlog,none,none,unclear,low,none
PNZl-2Cby8U,daily_vlog,none,none,unclear,low,none
3UbZGvqVwCQ,storytime,none,none,protagonist,low,none
j0WixEBs-oA,storytime,mild,none,unclear,low,mild
f8Q9qSwHEg8,daily_vlog,none,none,protagonist,low,none
yyaCzCGn5J4,storytime,mild,none,unclear,low,moderate
dBP02d4Raks,daily_vlog,none,none,unclear,low,none
z3C17y_-_aM,storytime,mild,none,unclear,low,mild
mBJsBTYqHJM,educational,none,none,unclear,none,none
q2MVr1Yauuw,daily_vlog,none,none,unclear,low,none
NUiBRsRmaXc,daily_vlog,none,none,unclear,low,none
Na2YV47MK08,other,mild,none,unclear,low,mild
m7jsf1DdcKI,daily_vlog,none,none,unclear,low,none
49JXjCkAdkc,daily_vlog,mild,none,co_star,moderate,mild
62TZqdYo8os,daily_vlog,none,none,unclear,moderate,none
CfPHgzC6WzI,daily_vlog,none,none,unclear,moderate,none
W4lVHH03n0Y,other,none,none,unclear,low,none
JMFDNb5G5mc,daily_vlog,none,none,unclear,low,none
uq-nqUAg-HM,daily_vlog,none,none,unclear,moderate,none
V_IlMOYN4Qg,daily_vlog,none,none,co_star,moderate,none
ZP-T_ueZh-g,daily_vlog,mild,none,unclear,moderate,mild
bR7KWG_fw78,storytime,none,none,unclear,none,none
uiqwl_3venA,daily_vlog,none,none,unclear,none,none
7R_oU_eGLPk,storytime,none,none,unclear,none,none
LnD-gbCK9tA,storytime,none,none,unclear,none,none
k4essySEql8,daily_vlog,mild,none,protagonist,low,none
QHtWMUptCh8,storytime,mild,none,unclear,none,none
FhkkCdS5USU,daily_vlog,mild,none,unclear,low,none
sTSD0zdXDVU,daily_vlog,none,none,unclear,low,none
Cp69T119lFo,daily_vlog,none,none,unclear,none,none
eeq0sPQkxMU,unboxing,none,none,protagonist,low,none
eZnYyCb7pkQ,cooking,none,none,unclear,none,mild
XZJ0-xJ6kSA,storytime,mild,none,protagonist,low,mild
mKqaXgGm1AU,daily_vlog,none,none,co_star,none,mild
XAzB4zbUkIU,cooking,none,none,cameo,none,mild
Hn2ZlU6Ch7Q,daily_vlog,mild,none,protagonist,low,moderate
g5XwZpq9PEY,travel,none,none,unclear,none,moderate
5jIudXyEObQ,daily_vlog,none,none,unclear,none,moderate
_wbwoX3Ygs8,travel,none,none,unclear,none,mild
sXHzQlH7YuI,storytime,mild,none,unclear,none,mild
yqoKROrpcZc,travel,mild,none,unclear,none,moderate
odRnHsSq4xc,travel,none,none,unclear,none,mild
IG2tTpjHbcc,travel,none,none,unclear,none,mild
vIkZfVnafh4,storytime,mild,none,unclear,none,moderate
IyMVa5Gbs24,storytime,none,none,unclear,none,mild
0vqm8cnHhHM,travel,none,none,unclear,none,mild
cgN1bYuUy_U,travel,none,none,co_star,none,mild
2jPgXkQeAbg,daily_vlog,none,none,protagonist,none,mild
-84H_2fT4uo,challenge,none,none,unclear,none,mild
c24MaJcCIac,travel,none,none,unclear,none,moderate
tfUHN2z4gns,daily_vlog,none,none,unclear,none,mild
AlWqGH6VHAI,daily_vlog,mild,none,unclear,none,mild
ltv1F3Z2T_g,storytime,severe,none,protagonist,high,severe
sciXF3KQuEU,daily_vlog,none,none,co_star,none,mild
iwIGcYGqCB0,daily_vlog,none,none,unclear,none,mild
CXr11ZDyGLU,daily_vlog,mild,none,protagonist,none,moderate
SJmQrR1mD70,challenge,mild,none,co_star,none,moderate
ZFpfIaXmc6g,travel,none,none,unclear,none,mild
RRkRVKZg-r4,travel,none,none,unclear,none,mild
MeuslINUJmQ,travel,mild,none,unclear,none,moderate
IJEW-nOkb7c,travel,mild,none,unclear,none,moderate
kb_C6TfqdKE,unboxing,none,brand_mention,unclear,none,moderate
s_fNgDFI_Zo,daily_vlog,none,none,unclear,none,none
qEW-_dUfRXY,daily_vlog,none,none,unclear,none,none
-OPNanFd948,storytime,mild,none,protagonist,none,none
-za3tuFVA7g,daily_vlog,none,none,unclear,none,mild
d8pN3cXndkw,daily_vlog,none,none,unclear,none,none
z752vyuPVIM,daily_vlog,none,none,unclear,none,none
nPEXWiKvv-c,daily_vlog,none,none,co_star,none,none
Isl5XqjKK9U,storytime,moderate,none,unclear,none,mild
9SF0H1dDJps,travel,none,none,co_star,none,none
xB9HaWbZ-9o,daily_vlog,none,none,protagonist,low,mild
z2Fr0QZT1uM,daily_vlog,mild,none,protagonist,low,moderate
KOzkhVoDzx8,daily_vlog,mild,none,unclear,low,moderate
aOdBcPGOQrY,storytime,severe,none,unclear,high,severe
ikxpGDyN2j4,travel,none,none,protagonist,low,mild
UKzz53bMzK0,travel,none,none,unclear,low,mild
mqnwDDf1MgY,daily_vlog,none,none,protagonist,low,mild
Dq8r5Y12E4Q,daily_vlog,none,none,unclear,low,mild
wJ6AinYdkTE,travel,none,none,protagonist,low,mild
ZJ0JOBJPXTc,daily_vlog,none,none,unclear,low,moderate
9SfbEOAELTw,travel,none,none,unclear,none,none
F_bGA2yEtqA,travel,none,none,unclear,none,none
qpDRELt8o_k,storytime,moderate,none,unclear,high,moderate
tmkZrXTsdRQ,storytime,mild,none,protagonist,moderate,severe
_HMy-M1UaKE,other,none,none,co_star,none,mild
Bq8jV4libsM,daily_vlog,none,none,protagonist,none,none
OOPPD31t7lk,travel,none,none,unclear,none,none
Xtmu0iRdIJw,travel,none,none,unclear,none,none
WyIUPj4ZBKE,travel,none,none,unclear,none,none
PI7PRxmsapc,travel,none,none,unclear,none,none
ArnxbEmly7I,travel,none,none,protagonist,none,none
5kEQxYEO5fo,travel,none,none,protagonist,none,none
jwrOYZHFtL4,travel,none,none,unclear,none,none
tf1edF_KCgk,daily_vlog,none,none,protagonist,none,none
qz_VxbsdMa0,cooking,none,none,unclear,none,mild
6oFSjq8sdgc,daily_vlog,none,none,unclear,none,none
u-d37pk3dgY,daily_vlog,none,none,protagonist,none,none
r3zt7o8tQto,daily_vlog,none,none,unclear,none,none
gy4FaR9tvIk,daily_vlog,none,none,protagonist,none,none
7zMhMph6KRY,daily_vlog,none,none,unclear,none,none
kzS8zowqcOU,daily_vlog,none,none,unclear,none,none
oZJ5eAQr7EQ,daily_vlog,mild,none,protagonist,none,mild
9H2JOQ_btM4,daily_vlog,none,none,unclear,none,none
qbB3TrMjzuU,daily_vlog,none,none,unclear,none,mild
-qOigARs8qw,daily_vlog,none,none,unclear,none,none
uJva3QRvgww,daily_vlog,none,none,unclear,none,mild
VVFB8UkDOSM,daily_vlog,none,none,protagonist,none,mild
1IbGgFI0vKU,daily_vlog,none,none,unclear,none,mild
Fjo7GSoDK_E,daily_vlog,mild,none,unclear,none,mild
ChMUljqjGLg,daily_vlog,none,none,unclear,none,mild
AzL0hfM_q_I,daily_vlog,none,none,unclear,none,none
HQQieL8GYQY,travel,none,none,unclear,none,mild
3kemVIrUJcs,travel,none,none,unclear,none,mild
iOwd8Fz8UQM,travel,none,none,unclear,none,none
W2-GRvaPiiM,travel,none,none,unclear,none,none
vQUA4QHWgQA,travel,none,none,unclear,none,mild
gr2UsZj8KN8,travel,none,none,unclear,none,none
w3XS78iO2yw,travel,none,none,co_star,none,none
_seb6KT9AAk,daily_vlog,none,none,unclear,none,none
u2YaJ7zdFDw,daily_vlog,none,none,unclear,none,none
jRbhReB3DJg,daily_vlog,moderate,none,unclear,moderate,moderate
gAfghCLC2j8,daily_vlog,moderate,none,unclear,moderate,moderate
9OuK3FxGge8,daily_vlog,moderate,none,protagonist,moderate,moderate
pYkQxCf_2XQ,unboxing,none,none,unclear,none,moderate
hntpZCz81WI,daily_vlog,none,none,unclear,none,mild
2po8-wQN3Co,daily_vlog,none,none,protagonist,none,mild
_P9qUr0VemA,travel,none,brand_mention,none,none,none
qXVmhAXWDNc,travel,none,brand_mention,co_star,none,mild
