channel_short_name,channel_category,n_videos,total_views,mean_views,median_views,max_views,total_likes,total_comments
cocomelon,family,1983,220284115025,111086290.98587997,17901536.0,8814329346,612709908,0
vladandniki,family,1014,120679537857,119013350.94378698,56485200.0,1202806888,442334960,0
mrbeast,adult,970,119409838903,123102926.7041237,17387505.0,1749624445,2886277349,37349553
ryansworld,family,3685,63339132568,17188367.046947084,4312244.0,2531682303,130202461,0
pewdiepie,adult,4617,29426565295,6373525.080138618,5048726.0,327594020,1261015518,86507637
markiplier,adult,5719,23461940641,4102455.086728449,2555371.0,378197928,634363229,51492639
dude_perfect,adult,510,20473407788,40143936.83921569,23466164.0,605927931,315838069,10019048
jacksepticeye,adult,5309,17584352989,3312177.997551328,2461271.0,114076512,456535423,47967790
familyfunpack,family,3447,15943850728,4625428.119524224,652411.0,630068749,27569990,322197
jordanmatter,family,571,14053265859,24611674.008756567,16491036.0,547382260,193689607,7478247
brentrivera,family,884,12885477793,14576332.345022624,7696084.5,327318570,388561950,13329865
unspeakable,adult,1115,12218823871,10958586.431390135,5978818.0,102358838,183037776,9390254
rebeccazamolo,family,1171,10248513077,8751932.60204953,6821455.0,242391968,135355181,15810402
linustechtips,adult,7168,9474649073,1321798.1407645089,676403.0,41468344,276572465,18788752
mrwhosetheboss,adult,1900,8531256575,4490135.0394736845,624997.0,244340471,326808767,7047522
thesuperherobuddy,family,4121,8526307939,2068990.0361562727,526000.0,136042305,19171738,3710
prestonplayz,adult,1179,8223793566,6975227.791348601,4593963.0,66306390,158990229,8239684
jakepaul,adult,1605,7993314240,4980258.093457944,2224799.0,305898527,182275277,23316865
daviddobrik,adult,564,7534296874,13358682.40070922,12334472.0,40991181,223003264,4792679
tannerites,family,1409,7380570138,5238161.914833215,639710.0,295982572,19912787,7723
mkbhd,adult,1813,5323482627,2936283.8538334253,2064313.0,43234080,161407168,10633585
jamescharles,adult,698,4749417340,6804322.836676218,3506858.0,58535645,184837935,12876410
acefamily,family,713,4597609446,6448260.09256662,5237782.0,41294217,198091462,23309636
veritasium,adult,499,4224457504,8465846.701402806,4889104.0,110427903,103349528,5138665
