id,title,publishedAt,channelId,channelTitle,viewCount,likeCount,commentCount,channel_short_name,channel_category
cjjnQIWtbic,Power Rangers Ninja Kidz Movie! All 9 Episodes,7 months ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
gzviXkJHurQ,Ultimate Health Bar Battle!,8 months ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
7QDztLes4Ls,GUESS THE SISTER!,1 year ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
bP5W3Fsk9Mg,I Saw a Ghost Kid in the Cemetery!,1 year ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
-sqB4QKHpRI,Hutch Smash! Part 2 *Find the Blooper Easter Egg*,1 year ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
zw2UgLT-QRs,Battle for the NINJA FIGURES!,1 year ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
9eMhkP8-B_M,Redick Smash!! Part 1! *Wait till the End*,1 year ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
1xM6lLXm-GU,We tried 100 YEARS of Gymnastics!!!,1 year ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
YkmqTVgZ9jM,Who’s The Best New Ninja Kid?,1 year ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
n9oxs8T3sK8,Boys VS Girls Super Ninja Challenge! *LOSER GETS PIED*,2 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
qUcy0f9w_lA,We got Trapped in a Video Game! Time Masters,2 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
9gGZlwlc8FY,GIRLS vs BOYS Ninja Kidz Action Park Challenge!,2 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
VLYRh7sahBQ,BOYS vs. GIRLS Stunt Challenge - Super Mario Bros. Wonder!,2 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
9GArSHeQ55Q,BUYING Everything in ONE COLOR BOYS vs GIRLS | Ninja Kidz!,2 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
yucryh6S9l8,"$1 vs $13,000,000 Video Game Screens!",2 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
mimcYAgQom8,Who's the Best? Extreme Gym Challenge! *wait til the end*,2 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
l7m40hBSwn8,GUESS THE BROTHER! *Emotional*,2 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
U7jX5Wh6fLA,FIVE NIGHTS AT FREDDY'S in real life! *Wait Till the End*,2 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
7Mp-uZ5upLM,Trapped Inside the SCARIEST HAUNTED HOUSE!,2 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
o3IMn-BExyY,Birthday Surprise in alphabetical order!,2 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
5QwhD_O-lDY,Ninja Kidz TALENT SEARCH FULL SERIES!,2 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
bW2zEJVdUR4,EXTREME HIDE and SEEK in World's BIGGEST Bounce House!,2 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
PoGawqSwjfs,SOMETHING FOLLOWED ME HOME!,2 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
_Dwbf5WjjJA,IMPOSTERS are PRANKING US! FULL MOVIE!,2 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
zasZRwLpMHg,Training LIKE The Teenage Mutant Ninja Turtles!,2 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
AxHqE_uB0xY,Living Like Legends! Ninja Kidz Music Video (LYRICS),2 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
-StVPOQ5Lgk,Ninja Kidz Unleash their NEW Powers - You wont believe what they can do now!,2 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
UnsubmLdVRY,Zombies vs Ninja Kidz *EPIC WATER BALLOON BATTLE*,2 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
OtHRxTPk3sQ,BOYS VS GIRLS Gymnastics! Princess vs SuperHeroes NinjaKidzTV,2 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
2RTKWcydX68,Ninja Kidz VS Dr Disaster! Battle For the Super Gummies!,3 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
zzBrQw4imEc,24 Hour Trampoline Park Challenge VS YouTubers!,3 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
uI9j8MQp-YM,WE HIRED NINJAS TO ATTACK US!,3 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
kSF6lV84Gqw,HIDE AND SEEK IN ONE COLOR! (CAMOUFLAGE),3 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
MpQCBqzTHvE,"Shazam vs Black Adam, Epic Superhero Battle!",3 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
ARAGz6kfEAw,NOT GIVING UP! Ninja Kidz Music Video!,3 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
_1jYpsw_b48,BOYS vs GIRLS Extreme Hide and Seek in Boxes CHALLENGE!,3 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
W1OE0P5xeco,Sisters VS Brothers! Who's Stronger?,3 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
