id,title,publishedAt,channelId,viewCount,channel_short_name,channel_category
ZVCfDkzqTxA,I built my dream coffee cafe at home (part 2),2 days ago,UCHVSseA5eTTguk_o5InXu9w,5414,annierose,family
DctVlwZA0hY,"A typical day in my life | coffee shops, work, & cozy night in 💌",8 days ago,UCHVSseA5eTTguk_o5InXu9w,6339,annierose,family
Te_LIG1CddQ,Building an AT HOME COFFEE BAR (part 1) ☕️,9 days ago,UCHVSseA5eTTguk_o5InXu9w,8253,annierose,family
r8vIoBUZu-k,Resetting my entire tiny house in a week,1 month ago,UCHVSseA5eTTguk_o5InXu9w,7264,annierose,family
4xVm7cz245Y,My life feels weird right now,1 month ago,UCHVSseA5eTTguk_o5InXu9w,7801,annierose,family
AMfJ-P471DA,Romanticizing my 20s (because what else am I gonna do?),1 month ago,UCHVSseA5eTTguk_o5InXu9w,8494,annierose,family
2HKOZE6Uv64,I decided to change my entire house (tiny house makeover part 2),2 months ago,UCHVSseA5eTTguk_o5InXu9w,7895,annierose,family
4R8lUx_ZG7c,I decided to change my entire house (tiny house makeover),2 months ago,UCHVSseA5eTTguk_o5InXu9w,14540,annierose,family
B5B4hIdsJo0,Living in a tiny house in my 20s (what’s it’s really like),3 months ago,UCHVSseA5eTTguk_o5InXu9w,13579,annierose,family
p0N_gG2-ZJI,NEW YEAR RESET | Organizing & Re Decorating My Tiny House 🏡,3 months ago,UCHVSseA5eTTguk_o5InXu9w,7657,annierose,family
VeSY_mvDNP8,What I got for Christmas! + Christmas VLOG 🎄,4 months ago,UCHVSseA5eTTguk_o5InXu9w,8275,annierose,family
PEGkwHNs3yk,"Christmas shopping, cozy mornings, road trip with my boyfriend VLOG 🎄",4 months ago,UCHVSseA5eTTguk_o5InXu9w,8944,annierose,family
hqtfL8uSbtA,"Christmas decorating, Black Friday shopping, & date night VLOG ❄️",5 months ago,UCHVSseA5eTTguk_o5InXu9w,9734,annierose,family
uzxE_Y7FJ1A,my day as a 19 yr old girl getting her life together,5 months ago,UCHVSseA5eTTguk_o5InXu9w,7419,annierose,family
DHVo_NdaPTM,I turned a shed into a tiny movie room (in 2 weeks),5 months ago,UCHVSseA5eTTguk_o5InXu9w,5651,annierose,family
a26bcDi5mlI,we got back together,6 months ago,UCHVSseA5eTTguk_o5InXu9w,15512,annierose,family
U-783jC0ch8,I grew out of everything. So I redid my entire closet...,6 months ago,UCHVSseA5eTTguk_o5InXu9w,7758,annierose,family
C0XLVP3p22U,What errands look like for a 19 year old not in college,7 months ago,UCHVSseA5eTTguk_o5InXu9w,6047,annierose,family
XsrbgDtxiHA,My ex boyfriend moved in with me... & my family,7 months ago,UCHVSseA5eTTguk_o5InXu9w,13684,annierose,family
