video_id	title	channel	youtube_url	view_count	annotator_performative_labor	annotator_emotional_bait	annotator_narrative_conflict	annotator_challenge_format	annotator_commercial_content	annotator_privacy_violation	annotator_overall_exploitative	annotator_notes
1BcbDYtORH0	We Found A Giant Ninja Battle Robot!	ninjakidztv	https://www.youtube.com/watch?v=1BcbDYtORH0	2685133	1	1					1	
mEcLEyDi3bw	THIRD WHEELING MY 12 YEAR OLD BROTHER'S RELATIONSHIP!	brentrivera	https://www.youtube.com/watch?v=mEcLEyDi3bw	6323561	1	1	1			1	1	
-qKBVTFhKHw	Pranking our Siblings!	ohanaboys	https://www.youtube.com/watch?v=-qKBVTFhKHw	90207	1	1				1	1	
ijeCnHEx8W4	FALL EVERYTHING! PUMPKIN SPICE STARBUCKS, TARGET SHOPPING & MORE!	ourfamilynest	https://www.youtube.com/watch?v=ijeCnHEx8W4	18353							0	
0SmLtajf--U	The MAGIC Dollhouse Movie	shotofyeagers	https://www.youtube.com/watch?v=0SmLtajf--U	167277	1	1					1	
xpmU8dCteIw	4 year olds Everleigh & Ava bake with their Baby Alive dolls I Foreverandforava	everleighrose	https://www.youtube.com/watch?v=xpmU8dCteIw	1143133	0						0	
QhuaVZJpW6o	RICH Parents Vs. BROKE Parents	piperrockelle	https://www.youtube.com/watch?v=QhuaVZJpW6o	5937016	1	1		1		1	1	
AdFxzIdSZek	Father's Day Was Great Until I Broke My Tooth 🥳😬	thedashleys	https://www.youtube.com/watch?v=AdFxzIdSZek	31912							0	
aN--3LU_cb4	You won't believe what we found HIDING in the trunk! *Scary*	tydustalbott	https://www.youtube.com/watch?v=aN--3LU_cb4	2345702	1	1			1		1	
o4yYkq0k12Y	Mr.beast hated my chips 😱😭￼	brentrivera	https://www.youtube.com/watch?v=o4yYkq0k12Y	896790	1						0	
RElUn9WRxbY	BUYING ANYTHING In Your COLOR FOR 30 MINUTES CHALLENGE!	lifewithbrothers	https://www.youtube.com/watch?v=RElUn9WRxbY	68794	1						0	
8AnIUAdvITA	I am So Sad | Goodbyes Are Never Easy	theleray	https://www.youtube.com/watch?v=8AnIUAdvITA	223547			1				0	
Jv8bR-R7OIY	SOMEONE LEFT THIS PACKAGE AT OUR HOUSE! 😳	johnsonsfam	https://www.youtube.com/watch?v=Jv8bR-R7OIY	324218	1	1			1		1	
Af8OIPU_0f8	Brock's Q&A 2-Year LDS Mission | What Is Next?	brockandboston	https://www.youtube.com/watch?v=Af8OIPU_0f8	63627							0	
TEa1UHCYRBs	Surprising Isabelle with a LUXURY Villa For Her BIRTHDAY!	inghamfamily	https://www.youtube.com/watch?v=TEa1UHCYRBs	28428							0	
XwuxFjVl3qQ	Most Embarrassing Moment of the Trip  ✨ One Suitcase: Spain - Ep. 9 ✨ Tarragona, Spain	ballingerfamily	https://www.youtube.com/watch?v=XwuxFjVl3qQ	45316							0	
uDKMJKCvUCg	A for Adley THE MOViE!!  Daddy Daughter Date!  Dinosaur Park visit!  Cops vs Robbers prison escape!	aforadley	https://www.youtube.com/watch?v=uDKMJKCvUCg	43112347	0	1					0	
5NCSLIRxO7o	NIGHT ROUTINE BEFORE TRAVELING ON AN INTERNATIONAL FLIGHT!!	annierose	https://www.youtube.com/watch?v=5NCSLIRxO7o	185015		1					0	
_3HmV2xtgiU	Kidsongs: Country Sing Along	kidssongs	https://www.youtube.com/watch?v=_3HmV2xtgiU	590881	1						0	
-emarHZ0GBY	COPS COME TO FAMILY HOUSE, Instantly REGRET It | FamousTubeFamily	famoustubefamily	https://www.youtube.com/watch?v=-emarHZ0GBY	1941603	1	1	1				1	
oUBEYfw62qI	Animal Rescue Adventure: Bear 🐻 Hippo 🦛 Peacock 🦚 Giraffe 🦒 | BabyBus Gameplay	babybus	https://www.youtube.com/watch?v=oUBEYfw62qI	13198							0	
XhZpzNlN2uA	I MOVED OUT But My Parents DIDN'T WANT ME TO! | Txunamy	txunamy	https://www.youtube.com/watch?v=XhZpzNlN2uA	78533		1					0	
xlQgJSC6H6s	unexpected DOCTORS visit...	brockandboston	https://www.youtube.com/watch?v=xlQgJSC6H6s	91509		1	1				0	
KszjX8cshuk	🎄 Can Blippi Help Santa Deliver Presents at the Zoo?	blippi	https://www.youtube.com/watch?v=KszjX8cshuk	645753	1						0	
KuSBysw7394	They cheated! Who knows her best!	meetthemillers	https://www.youtube.com/watch?v=KuSBysw7394	7048		1					0	
xHdO5fkAYaE	Homeschooling Tips & Tricks (from a mom of 6!)	ballingerfamily	https://www.youtube.com/watch?v=xHdO5fkAYaE	10342							0	
mukGoZK7Eo8	Amanda the Adventurer IN OUR HOUSE After Midnight (ON A SCHOOL NIGHT!) (FGTeeV Gameplay)	fgteev	https://www.youtube.com/watch?v=mukGoZK7Eo8	34891797	1	1					1	
onjhTdnrgZE	Tinfoil Makeup Challenge! Girls Do Boys Makeup!	theadventurers	https://www.youtube.com/watch?v=onjhTdnrgZE	29555	1	1					1	
TgEX-XG-G5c	Pregnancy Problems...LONGEST VLOG EVER!	smellybellytv	https://www.youtube.com/watch?v=TgEX-XG-G5c	967833							0	
F34TdfRibLE	New Middle School Locker and School supplies!! Are they ready?!	meetthemillers	https://www.youtube.com/watch?v=F34TdfRibLE	13566							0	
sS89FnQWwvA	Candle Blowing Challenge! Family Game Night!	thatyoutub3family	https://www.youtube.com/watch?v=sS89FnQWwvA	61677	1	0					0	
JnJAxE7Fjoo	The Truth About Our Break Up...| Gavin Magnus	gavinmagnus	https://www.youtube.com/watch?v=JnJAxE7Fjoo	3146299	1	1				1	1	
UauBCAPV-Hs	24 HOUR CHALLENGE IN A MALL ft/Dance Moms Lilly, Maesi & Abby Lee	jordanmatter	https://www.youtube.com/watch?v=UauBCAPV-Hs	25690862	1			1			1	
Ko-HTsEWROs	Toy Doctor Comes to the Super Duper Cool Carnival	tictactoy	https://www.youtube.com/watch?v=Ko-HTsEWROs	9158444	1						1	
SsXbFbGZo4o	Gummy Pizza and Giant Gummy Bear | Candy Review	karinakurzawa	https://www.youtube.com/watch?v=SsXbFbGZo4o	294933	1				1		1	
IOfJN7BsWXY	TIKTOK in a Mexican Household	crazygorilla	https://www.youtube.com/watch?v=IOfJN7BsWXY	5644085	1	1	1				1	
CzQXdL1OH_I	in depth makeup tutorial !!	hayleyleblanc	https://www.youtube.com/watch?v=CzQXdL1OH_I	45204							1	
CrrVeRKPeJo	Getting Killed on Fortnite (WK 404.3) | Bratayley	bratayley	https://www.youtube.com/watch?v=CrrVeRKPeJo	334134		1	1				1	
FPJp4SphhGs	OUR KITCHEN CAUGHT ON FIRE (caught on camera)	jesssfam	https://www.youtube.com/watch?v=FPJp4SphhGs	105164		1	1				0	
akaggJjabBk	Venturing Into the Snow... The Unexpected Results Will Shock You!	meetthemillers	https://www.youtube.com/watch?v=akaggJjabBk	7730							0	
tDNlDr2YEZo	Twinkle Twinkle Little Star	kidssongs	https://www.youtube.com/watch?v=tDNlDr2YEZo	8193							0	
D-lxMr5YAz4	FIXING THIS SLYME WITH ONLY 3 INGREDIENTS | We Are The Davises	wearethedavises	https://www.youtube.com/watch?v=D-lxMr5YAz4	3167052	1						1	
gO6zCoFk_o8	BEST FRIEND TELEPATHY CHALLENGE #shorts	jordanmatter	https://www.youtube.com/watch?v=gO6zCoFk_o8	145725675	1	1					1	
aOyjz1rW2a4	TRAPPED in a CLAW MACHINE!	shotofyeagers	https://www.youtube.com/watch?v=aOyjz1rW2a4	950052	1	1					1	
DDozykpZqck	ROBLOX's SPIDER PIGGY the GOOD GUY?  Draw a Stickman EPIC 3 Part 1 (FGTeeV Gaming)	fgteev	https://www.youtube.com/watch?v=DDozykpZqck	6934493	1	1					0	
bShgFoIwUrE	My Daughters Got KICKED Out Of School Today!	yawivlogs	https://www.youtube.com/watch?v=bShgFoIwUrE	52460	1	1	1				0	
tJJ-r6UdScU	Sardines, Hide And Seek, Infection Tag! @Shot of The Yeagers	theadventurers	https://www.youtube.com/watch?v=tJJ-r6UdScU	53036							0	
LIjtCREBAUk	Among Us IRL In Our Box Fort Movie!	thatyoutub3family	https://www.youtube.com/watch?v=LIjtCREBAUk	855275	1	1					1	
nDUlindEqDA	We Rescued a Family of Puppies & Kitties from Abandoned Storm Drain!!! Game Master Caught on Camera!	trinityandbeyond	https://www.youtube.com/watch?v=nDUlindEqDA	10071540	1						0	
