id,title,channel_short_name,viewCount,performative_labor,emotional_bait,narrative_conflict,challenge_format,commercial_content,privacy_violation
SwazWU-GnOA,OUR UNBORN SON...,acefamily,10459875,0,1,0,0,0,0
Tx5VfR60TLA,LETTING THE PERSON IN FRONT OF US DECIDE WHAT WE EAT FOR 24 HOURS!!!,acefamily,22504791,1,0,0,1,0,0
lpSUrHPxSsQ,IT'S BEEN OVER A YEAR... *EMOTIONAL*,acefamily,2969033,0,1,0,0,0,0
lIe_NQlhmuY,WEARING A BUTT IMPLANT TO SEE HOW MY HUSBAND REACTS!!! **HILARIOUS**,acefamily,7524949,0,0,1,0,0,0
5CTaJ2DlDe0,EXTREME 24 HOUR OVERNIGHT CHALLENGE!!! (SKY HIGH TRAMPOLINE PARK),acefamily,3624674,1,0,0,1,0,0
XI9Sx528pk4,HUSBAND TRIES TO BE PREGNANT FOR THE DAY!!! **HILARIOUS**,acefamily,7047180,0,0,0,0,0,0
4KLqQ2IEb2Y,EXTREME FAMILY YOGA CHALLENGE!!! **HILARIOUS**,acefamily,783790,1,0,0,1,0,0
wRYyFXLFkGc,MY WIFE CAN’T BELIEVE I DID THIS…**HILARIOUS**,acefamily,837710,0,0,1,0,0,0
ZvAgUj_p31U,THIS IS WHAT REALLY HAPPENED!!! **OFFICIAL VIDEO**,acefamily,6814769,0,0,0,0,0,0
EmRMojxX2f4,ELLE BABYSITS HER NEWBORN SISTER ALONE...YOU WON'T BELIEVE WHAT SHE DID!!! **HIDDEN CAMERA**,acefamily,15225456,0,1,0,0,0,1
kmgZGm18Xn0,HAIRCUT PRANK ON GIRLFRIEND!!! (GONE WRONG),acefamily,8175418,0,0,1,0,0,0
Zt0SM_evnes,THE ACE FAMILY IS MOVING!!!,acefamily,1305954,0,0,0,0,0,0
paWPTGavBZw,THEY'RE OBSESSED WITH HIM...,acefamily,4638523,0,1,0,0,0,0
9tRgUqdMqk4,BABY STUCK IN BALL PIT!!!,acefamily,3201512,0,1,0,0,0,0
CRjSMbx3XAw,COMING HOME TO A SURPRISE!!!,acefamily,5854424,0,1,0,0,0,0
mI6ysZt8xOg,BABY VS LEMON,acefamily,9999265,0,0,0,0,0,0
wg2WRKEkI7w,SURPRISING OUR KIDS WITH REALLY BAD CHRISTMAS GIFTS!!! **UNEXPECTED REACTIONS**,acefamily,3427462,0,1,0,0,0,0
nRbuVaOlUhE,ELLE IS NOW MODELING!!!,acefamily,3813596,0,0,0,0,0,0
oSQfrreuXRg,ELLE'S 4TH BIRTHDAY PARTY SPECIAL!,acefamily,9464160,0,0,0,0,0,0
YhboA2oo8pw,TRANSFORMING MY SON INTO ME FOR THE DAY!!! **HILARIOUS FAMILY REACTION**,acefamily,3802273,0,0,0,0,0,0
ey_yThwa9zs,THE ACE FAMILY CHRISTMAS SPECIAL 2022!!! **GOING TO DUBAI**,acefamily,995334,0,0,0,0,0,0
kLCfnBuNS3w,THE ACE FAMILY BABY MOMMA DANCE! (TRYING TO GO INTO LABOR),acefamily,6764522,0,1,0,0,0,0
uhZOUY3Magw,WHAT REALLY HAPPENED IN DUBAI...,acefamily,787279,0,0,0,0,0,0
JQZLV4qJ0yo,HE'S FINALLY HERE...EVERYONE MEET OUR BABY BOY!!!,acefamily,11390776,0,1,0,0,0,0
8W_Nn_qP5uQ,FAINTING IN FRONT OF MY KIDS TO SEE WHAT THEY DO...,acefamily,730165,0,1,0,0,0,0
v3xtQ0nbY2w,SHHH DON'T TELL AUSTIN I DID THIS...I CUT MY HAIR!!!,acefamily,8819742,0,1,1,0,0,0
6YY0JpSzYAk,BUYING GIRLFRIEND HER DREAM WEDDING RING!!!,acefamily,3981080,0,0,0,0,0,0
G9gjDYJg-nQ,WE WILL NEVER FORGET THIS DAY!!! **CAUGHT ON CAMERA**,acefamily,9026010,0,1,1,0,0,1
zlmULk44Dts,THIS IS WHY WE DON'T POST EVERYDAY...,acefamily,5586089,0,0,0,0,0,0
dveXcjyVU2Q,INTRODUCING POTTY TRAINING!!!,acefamily,6583079,0,0,0,0,0,0
Z42Gp7B_jRg,AUSTIN AND ELLE RATE MY HALLOWEEN COSTUMES!!!,acefamily,8197824,0,0,0,0,0,0
W-QON2P6Rcs,NURSING IN THE POOL!!!,acefamily,13435518,0,0,0,0,0,1
kcjWmj5sriM,"THAT'S IT, IM LEAVING...",acefamily,1581169,0,1,1,0,0,0
GBnDOueMKJ0,TELLING MY DAD I'M PREGNANT WITH BABY #4!!!,acefamily,4404146,0,1,0,0,0,0
lKs1gc1zvow,YOU WON'T BELIEVE WHAT HAPPENED TO AUSTIN...,acefamily,4649297,0,1,0,0,0,0
GoTK7rrL5lk,ELLE MEETS THE GIRAFFE...AND SHE FREAKS OUT!!! (SORRY ELLE),acefamily,5043771,0,1,0,0,0,0
fzVUrWC3cyY,THIS IS WHAT REALLY HAPPENED!!! **OFFICIAL VIDEO**,acefamily,12878498,0,0,0,0,0,0
TtSVsRHHWj0,Recreating VIRAL TikTok challenge...,acefamily,3836502,1,0,0,1,0,0
qQUQuDGZs90,ELLE GETS STUCK IN 1 MILLION MARSHMALLOWS!!! (INSANE MARSHMALLOW POOL),acefamily,6984826,1,0,0,0,0,0
KRkBFhPMC14,GOING BACK TO THE OLD ACE FAMILY HOUSE!!!,acefamily,8118931,0,0,0,0,0,0
