id,title,publishedAt,channelId,channelTitle,viewCount,likeCount,commentCount,channel_short_name,channel_category
axHot1FvcYc,AMARI IS MEAN,5 years ago,UCZvM__zKed0z2rJ7X9R3S8g,,0,0,0,labrantfam,family
75VHfV3Y8Bk,STOP AMARIAMGST!,5 years ago,UCZvM__zKed0z2rJ7X9R3S8g,,0,0,0,labrantfam,family
8LWobFWuGbc,| Noah gets an ear ring ~ Gacha life |,5 years ago,UCZvM__zKed0z2rJ7X9R3S8g,,0,0,0,labrantfam,family
NDQRiZVASv8,my Son is MISSING...,1 day ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
fl4X_jY164o,Somebody STOLE MY Phone in Front of me..,2 weeks ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
lwB3XQtTtV0,The Scariest Night of my Life *Home Alone*,1 month ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
f9HzJdzuuT8,TRAPPED with my EX in a tiny Bedroom...,1 month ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
7E8gVS3kL_c,WHO STOLE MY DOG??,1 month ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
7SEz6UkSTqE,My New Girlfriend...,2 months ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
Bh1IUj9BkJE,Mom Secretly Hides in Son’s Bedroom…,2 months ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
GwyEXJarA6U,I Found my Long Lost DAD...,3 months ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
8QCPq8d4LPA,I SECRETLY Lived in my Parents Bedroom...,4 months ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
z-jxnxDOgZo,Opening his Dream Christmas Present,4 months ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
lqBWrhf09_w,I Filled My Mom’s Room With SNOW,4 months ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
Yomw6MG2prk,I Found Puppies at our Door..,5 months ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
alpANjWXl0E,I Crashed My Moms CAR..,5 months ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
oewHc8dr89w,Worst Day Of My Mom's Life...,5 months ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
EQsQfS0ND44,Police at our Home *2am*,6 months ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
P74KxwOd_zM,A SCARY NIGHT I’ll Never Forget! ft. Salish Matter,6 months ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
gJlwNKEdH-U,I Found my Long Lost Twin Brother,6 months ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
_ZT0pvTb7c0,Will my Mom like my NEW GIRLFRIEND?,7 months ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
VmDhkKQekWk,10 Sisters CONTROL My Life for a Day,7 months ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
49OSWOITnNA,We’re Moving to Hawaii *emotional*,8 months ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
MFPdyn_Xisk,Our Son’s First Day of High School *BIG TROUBLE*,8 months ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
hQfESv-zDD0,I Stayed in World’s MOST EXPENSIVE Airbnb,8 months ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
4bMAzJQNMm4,Surprising Our Son with DREAM 15th Birthday,9 months ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
j0eiBcLNrvs,SNEAKING OUT of Summer School *Caught*,9 months ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
vnJMbR7bcCo,I’m Finally MOVING OUT *Mom Cried*,9 months ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
I-QRt_qagNk,I Bought a REAL House off Temu,10 months ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
JLj3AEyCBxk,A Vicious WOLF Destroyed our Backyard,10 months ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
cdDxzfB-jdU,Surprising my Little Brother with DREAM Birthday,11 months ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
vdMdGM4YUtI,I Snuck into an ABANDONED Home,11 months ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
1rwQgaFFg-4,SNEAKING OUT the House at 12AM,11 months ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
Lq4UK822eys,Surprising Our Son with DREAM Room Transformation,1 year ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
G8qmfXvVuZE,The Worst Day of My Life...,1 year ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
9dDtEBWh8e0,Flying First Class to Our Dream Vacation!,1 year ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
tWH27J358U4,I Got my First Piercing *Mom Reacts*,1 year ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
D6RHfIo_Hpw,Babysitting World's MOST SPOILED Girl,1 year ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
cSNk-HwX3DQ,My Mom was HeartBroken After This Loss,1 year ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
NLPkz9TJNP8,There's Something LIVING in our Attic,1 year ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
vFDrwNKbPWo,My Mom Found Out I FAILED School...,1 year ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
DpCrtVKIEmg,Our Daughter’s EMOTIONAL Birthday Surprise,1 year ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
ZRAd7SfSFXw,We Found a Lost Dog in a Dumpster,1 year ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
cPG8tnrR7hs,Escaping the LA WildFires...,1 year ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
i7K1FKOV9ns,Our City is on Fire...,1 year ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
Z8en_A09EDg,A Terrifying Night We’ll NEVER Forget,1 year ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
7_UngmeDw74,Opening his DREAM Christmas Present,1 year ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
jIvVbyHl8eA,I Filled my ENTIRE House with Snow *don’t try this*,1 year ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
jTW3Yi8o1XU,I Tested Amazon MINI Products that Actually Work,1 year ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
azXYPL7aq_k,I Built a SECRET Soccer Field in My Room,1 year ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
Vz9vc2LdAgw,There's Something LIVING in our Wall,1 year ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
7RIvq98nXvc,Our Son's BIG Accident,1 year ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
kMFY7aJ1tvk,Surviving The Most EVIL Parents for a Day,1 year ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
VKvZvFtyNQA,Eating the SPICIEST Foods from Around the World,1 year ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
E_Uu5bKRpzc,The SCARIEST Night of our Lives,1 year ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
hWysfGU40O4,I Ate Only SECRET MENU items for a Day,1 year ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
DQ8-CtiFn7w,Surviving Overnight in a Cyber Truck,1 year ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
dCShuM5XqvQ,We SURVIVED A Hurricane!,1 year ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
QyzfMziK6Ek,Flying First Class to Hawaii,1 year ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
Le4ERLEMxKc,Our Son's First Day at a NEW SCHOOL,1 year ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
XuNqMOGENZk,Our Son's EPIC 14th Birthday Surprise,1 year ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
UfZnRKo5AYc,We Built a Waterpark Inside Our House!,1 year ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
VHvRwPO5W5k,we Found an ALLIGATOR in our Backyard!,1 year ago,UCja7QUMRG9AD8X2F_vXFb9A,,0,0,0,royaltyfamily,family
