channel,n_videos,r_title,p_title,r_combined,p_combined,sig_title,positive_title,sig_combined,positive_combined
acefamily,713,0.08387896962798821,0.025106532862086205,0.04829205171272995,0.19775074104530913,True,True,False,True
bonniehoellein,2723,0.14500421457846127,2.8843549479193555e-14,0.21014382098759665,1.4874280101297132e-28,True,True,True,True
bratayley,2614,-0.025133602424495423,0.19893163508404843,-0.014387198607953915,0.46217828322266485,False,False,False,False
brentrivera,884,0.18583659406529338,2.6057073631803434e-08,0.21003511200621663,2.855417631557388e-10,True,True,True,True
cocomelon,1983,0.09132532587260746,4.646194620261846e-05,0.12505141447815551,2.3091513683688082e-08,True,True,True,True
dailybumps,3081,0.012458631340730206,0.48938681888541435,-0.0629744058111981,0.00046953805461732794,False,True,True,False
ehbee,1150,0.01528771563253142,0.6045293466971531,-0.008608840070560722,0.7705711490944207,False,True,False,False
everleighrose,159,0.08787176430526758,0.270718129833404,0.009644367714280186,0.903965003026972,False,True,False,True
familyfizz,1457,0.042098059463332324,0.10822030357461775,0.04036316668295748,0.12356173376567976,False,True,False,True
familyfunpack,3447,-0.017461996554354608,0.30540078258107034,-0.027433980730829012,0.10731063594581501,False,False,False,False
itsyeboi,587,-0.060371367592682613,0.14404358884467408,-0.08025536013797019,0.05196488398427567,False,False,False,False
jordanmatter,571,0.21788938004713784,1.4523646872121692e-07,0.09071612422266062,0.03020153696928563,True,True,True,True
kkandbabyj,2345,0.17824641923781884,3.415312290158576e-18,0.0688447975278833,0.0008499193447114485,True,True,True,True
piersonwodzynski,656,0.15149555831504657,9.808381071676881e-05,0.13589317716680555,0.00048278866017559843,True,True,True,True
piperrockelle,816,0.19637521400481217,1.54796387632982e-08,0.161901246762344,3.3446195488420082e-06,True,True,True,True
rebeccazamolo,1170,0.2551682094040281,7.58652303292149e-19,0.30282722634673265,3.0763768077336416e-26,True,True,True,True
ryansworld,3685,-0.03249071906803704,0.04858967296346896,-0.03533198434108155,0.03197349509466477,True,False,True,False
tannerites,1409,0.09058387918962174,0.0006635864644113465,0.08863383081701186,0.0008665251381526431,True,True,True,True
theleray,1896,0.007261417455914769,0.7520175795216625,0.0015667956191596194,0.9456438121625709,False,True,False,True
thesacconejolys,2852,0.1516035583027559,3.9594868309775013e-16,0.08267832736077564,9.82459942386539e-06,True,True,True,True
thesuperherobuddy,4121,0.03539387557342174,0.02307848035784855,0.012146259551501263,0.4356725613739609,True,True,False,True
theweisslife,1818,0.008394519364127264,0.7205785087309975,0.017955092319297792,0.44420928912066193,False,True,False,True
vladandniki,1014,0.23953593882772403,1.0666827298372328e-14,0.3332667752250114,1.002027424716029e-27,True,True,True,True
