channel,videos_per_week,mean_duration_min,duration_estimated,screen_hours_week,production_hours_week,total_screen_hours_lifetime,total_production_hours_lifetime,tiktok_videos,tiktok_production_hours_lifetime,cross_platform_production_hours_week,span_years,n_videos_youtube,total_videos_all_platforms,sponsor_rate,n_child_brands,exceeds_CA_20hr,exceeds_EU_12hr,freq_change_pct
bratayley,5.621505376344086,15.617629799719351,False,1.463243164747899,4.389729494243697,680.4080716077731,2041.2242148233192,0.0,0.0,4.389729494243697,8.91170431211499,2614,2614.0,0.0045906656465187,153.0,False,False,15.49876339653751
ryansworld,6.35657959586003,13.267876954109934,True,1.4056385987812787,4.216915796343836,814.8687762649184,2444.6063287947554,0.0,0.0,4.216915796343836,11.110198494182066,3685,3685.0,0.0068046498440601,3970.0,False,False,9.613196814561997
thesuperherobuddy,5.545367166474433,13.267876954109934,True,1.2262541538357339,3.6787624615072017,911.2820154647839,2733.8460463943516,0.0,0.0,3.6787624615072017,14.242299794661191,4121,4121.0,0.003883495145631,7960.0,False,False,-44.37311178247735
kkandbabyj,4.0955588822355296,15.026886993603412,False,1.0257250083167002,3.0771750249501006,587.3008333333333,1761.9025000000001,0.0,0.0,3.0771750249501006,10.97330595482546,2345,2345.0,0.1016066000868432,136.0,False,False,-60.33353186420488
dailybumps,4.477791614777916,13.00649442097281,False,0.9706728609314633,2.91201858279439,668.1002634239701,2004.3007902719103,0.0,0.0,2.91201858279439,13.190965092402465,3082,3082.0,0.0392222594703318,450.0,False,False,-59.26940639269406
bonniehoellein,4.471264367816092,10.84170033051781,False,0.8079351395730705,2.4238054187192115,492.03249999999997,1476.0974999999999,0.0,0.0,2.4238054187192115,11.671457905544148,2723,2723.0,0.1403831982313927,264.0,False,False,-7.152974504249314
theleray,3.536370903277378,13.267876954109934,True,0.7820022334796476,2.346006700438943,419.26491174987393,1257.7947352496217,1.0,0.03333333333333333,2.3460690864275877,10.275154004106776,1896,1897.0,0.5975308641975309,53.0,False,False,16.19156214367161
thesacconejolys,3.434962147281486,13.267876954109934,True,0.7595775852026,2.2787327556078,630.6664178853589,1891.9992536560767,0.0,0.0,2.2787327556078,15.912388774811772,2852,2852.0,0.1316251316251316,59.0,False,False,-73.69353410097432
familyfunpack,4.538939051918735,9.635417271056957,False,0.7289095288855445,2.1867285866566335,553.5547222222223,1660.664166666667,1.0,0.03333333333333333,2.1867726300380075,14.55441478439425,3447,3448.0,0.1534591194968553,1470.0,False,False,23.25129533678757
familyfizz,2.970005824111823,14.263459335624283,False,0.7060426216464378,2.1181278649393134,346.36433753340964,1039.093012600229,431.0,14.366666666666667,2.1475140091532823,9.401779603011637,1457,1888.0,0.9257142857142856,45.0,False,False,-35.18099547511312
theweisslife,2.954724866496401,13.267876954109934,True,0.6533820993653858,1.9601462980961575,402.01667170953095,1206.0500151285928,1848.0,61.6,2.06060619343648,11.79192334017796,1818,3666.0,0.3383167220376523,231.0,False,False,6.5909090909090935
tannerites,2.528974358974359,13.267876954109934,True,0.5592353435828473,1.677706030748542,311.57397713901497,934.721931417045,0.0,0.0,1.677706030748542,10.677618069815194,1409,1409.0,0.038543897216274,669.0,False,False,-57.532861476238615
vladandniki,2.431654676258993,13.267876954109934,True,0.537714917324839,1.613144751974517,224.2271205244579,672.6813615733737,0.0,0.0,1.613144751974517,7.991786447638604,1014,1014.0,0.1442687747035573,188.0,False,False,28.3783783783784
piperrockelle,1.7651421508034608,15.32433537832311,False,0.4508271718221136,1.3524815154663408,208.4109611451943,625.232883435583,3889.0,129.63333333333333,1.6338627018788159,8.85968514715948,816,4705.0,0.0039011703511053,52.0,False,False,15.873015873015875
cocomelon,1.933825578155475,13.267876954109934,False,0.4276293303612891,1.2828879910838673,438.5033333333333,1315.5099999999998,447.0,14.9,1.2974683997042245,19.652292950034223,1983,2430.0,0.0015128593040847,2012.0,False,False,1130.8724832214764
rebeccazamolo,1.8878397052049745,13.267876954109934,True,0.4174604152957128,1.2523812458871384,258.9447318877122,776.8341956631366,3765.0,125.5,1.4554021641098644,11.887748117727584,1171,4936.0,0.0085910652920962,860.0,False,False,-5.481727574750826
acefamily,1.4521384928716905,17.140823970037452,False,0.4148475047738189,1.2445425143214566,203.69012484394506,611.0703745318351,134.0,4.466666666666667,1.253670835084197,9.409993155373032,713,847.0,0.0337552742616033,19.0,False,False,-78.94736842105263
itsyeboi,1.1096408317580342,16.107536973833902,False,0.29789301208697233,0.893679036260917,157.58540339400832,472.756210182025,0.0,0.0,0.893679036260917,10.13826146475017,587,587.0,0.0564102564102564,164.0,False,False,-86.01941747572816
ehbee,1.808176100628931,7.426269219611256,False,0.22380004199562226,0.6714001259868667,142.33682670921573,427.01048012764716,460.0,15.333333333333334,0.6955919326079186,12.188911704312115,1150,1610.0,0.0713557594291539,1074.0,False,False,-46.46194926568757
jordanmatter,0.6755112388034478,15.493228254524226,False,0.17443083018797062,0.5232924905639118,147.4438888888889,442.3316666666667,0.0,0.0,0.5232924905639118,16.199863107460644,571,571.0,0.0486486486486486,77.0,False,False,604.225352112676
piersonwodzynski,1.767513471901463,5.633282520325204,False,0.16594837909503038,0.49784513728509117,61.59055555555556,184.77166666666668,1604.0,53.46666666666667,0.6423993801938376,7.112936344969199,656,2260.0,0.074074074074074,49.0,False,False,275.36231884057975
brentrivera,1.212144955925563,5.379402872260015,False,0.10867693429169106,0.3260308028750732,79.25653565129755,237.76960695389266,1765.0,58.833333333333336,0.40698038096593436,13.976728268309378,884,2649.0,0.0503597122302158,77.0,False,False,101.70648464163824
everleighrose,0.418106686701728,9.516771488469605,False,0.06631709658569165,0.19895128975707496,25.219444444444452,75.65833333333336,0.0,0.0,0.19895128975707496,7.288158795345653,159,159.0,0.1635220125786163,41.0,False,False,-30.85106382978723
