channel,mcn,mcn_type,controversy,degree,weighted_degree,exploit_score
brentrivera,Amp Studios,Professional,LOW,3,217,0.088715486
andrewdavila,Self-managed,Self-managed,LOW,3,143,0.19846207
piersonwodzynski,Amp Studios,Professional,LOW,3,77,0.06880883
jordanmatter,Underscore,Professional,MEDIUM,6,75,0.11646177
rebeccazamolo,Underscore/CAA,Professional,LOW,2,56,0.12400141
bratayley,Maker/Disney,Professional,HIGH,3,26,-0.011111078
piperrockelle,Independent,Self-managed,HIGH,1,14,0.11603965
bonniehoellein,Self-managed,Self-managed,LOW,2,9,0.027402466
dailybumps,Maker/Disney,Professional,MEDIUM,2,6,0.07884773
8passengers,Self-managed,Self-managed,LOW,1,5,0.0
thesuperherobuddy,Self-managed,Self-managed,LOW,1,2,0.043195426
theohana,Self-managed,Self-managed,LOW,1,2,0.0
tannerites,Self-managed,Self-managed,LOW,1,2,0.025291169
norrisnuts,Self-managed,Self-managed,LOW,1,2,0.0
acefamily,MN2S,Professional,HIGH,0,0,0.10042236
camilleandpavs,Self-managed,Self-managed,LOW,0,0,0.0
cocomelon,Moonbug,Professional,LOW,0,0,0.036362484
daddyofive,Self-managed,Self-managed,LOW,0,0,0.0
jojosiwaunofficial,Self-managed,Self-managed,LOW,0,0,0.0
itsyeboi,Self-managed,Self-managed,LOW,0,0,0.07997827
gavinmagnus,Self-managed,Self-managed,LOW,0,0,0.0
familyfunpack,Studio71,Professional,MEDIUM,0,0,0.022700174
familyfizz,Self-managed,Self-managed,LOW,0,0,0.04680512
everleighrose,Self-managed,Self-managed,LOW,0,0,0.0491338
ehbee,Self-managed,Self-managed,LOW,0,0,0.039864797
dianakids,Self-managed,Self-managed,LOW,0,0,0.0
lexirivera,Self-managed,Self-managed,LOW,0,0,0.0
likeNastya,Self-managed,Self-managed,LOW,0,0,0.0
kkandbabyj,Self-managed,Self-managed,LOW,0,0,0.08174845
ryansworld,pocket.watch,Professional,MEDIUM,0,0,0.008769434
shilohjolie,Self-managed,Self-managed,LOW,0,0,0.0
slyfoxhound,Self-managed,Self-managed,LOW,0,0,0.0
labrantfam,CAA/Digital Dept,Professional,HIGH,0,0,0.06241623
kiddianashow,Self-managed,Self-managed,LOW,0,0,0.0
thebeaulife,Self-managed,Self-managed,LOW,0,0,0.0
smellybellytv,Self-managed,Self-managed,LOW,0,0,0.0
thebramfam,Self-managed,Self-managed,LOW,0,0,0.0
thedowneylife,Self-managed,Self-managed,LOW,0,0,0.0
theholdsworths,Self-managed,Self-managed,LOW,0,0,0.0
thejohnstons,Self-managed,Self-managed,LOW,0,0,0.0
thefishfam,Self-managed,Self-managed,LOW,0,0,0.0
thefranke,Self-managed,Self-managed,LOW,0,0,0.0
themerrells,Self-managed,Self-managed,LOW,0,0,0.0
theleray,Self-managed,Self-managed,LOW,0,0,0.013517691
thesquad,Self-managed,Self-managed,LOW,0,0,0.0
thesacconejolys,Self-managed,Self-managed,LOW,0,0,0.07350996
thestaufferfamily,Self-managed,Self-managed,LOW,0,0,0.0
theweisslife,Self-managed,Self-managed,LOW,0,0,0.050955676
toysforkids,Self-managed,Self-managed,LOW,0,0,0.0
vladandniki,Self-managed,Self-managed,LOW,0,0,0.043409448
