channel_short_name,channel_category,n_videos,mean_drift,std_drift,median_drift,total_views,mean_views,n_viral,viral_rate
cocomelon,family,1983,0.21963578,0.1045838,0.25699893,220284115025,111086290.98587997,53,0.026727181038830056
andrewdavila,family,3,0.1891972,0.21350783,0.07838471,254,84.66666666666667,0,0.0
familyfizz,family,1457,0.17088072,0.0986328,0.16807893,1170661117,803473.6561427591,9,0.0061770761839396015
jordanmatter,family,571,0.15799421,0.13292274,0.14848545,14053265859,24611674.008756567,12,0.021015761821366025
vladandniki,family,1014,0.1525942,0.11201606,0.15364516,120679537857,119013350.94378698,52,0.05128205128205128
acefamily,family,713,0.14682464,0.118720196,0.1299031,4597609446,6448260.09256662,29,0.04067321178120617
daviddobrik,adult,564,0.14636877,0.1011277,0.13671878,7534296874,13358682.40070922,18,0.031914893617021274
kkandbabyj,family,2345,0.14635658,0.1311183,0.13840914,618720598,263846.7368869936,8,0.003411513859275053
ryansworld,family,3685,0.14590776,0.10251381,0.1450595,63339132568,17188367.046947084,35,0.009497964721845319
thesuperherobuddy,family,4121,0.1420695,0.08304939,0.14697628,8526307939,2068990.0361562727,111,0.026935209900509585
thesacconejolys,family,2852,0.12473445,0.12845534,0.107873924,747905603,262238.9912342216,78,0.0273492286115007
rebeccazamolo,family,1171,0.124652706,0.11163689,0.105238214,10248513077,8751932.60204953,27,0.02305721605465414
dailybumps,family,3082,0.119389065,0.109086215,0.10911088,4181250299,1356667.8452303698,80,0.025957170668397145
piperrockelle,family,816,0.119302526,0.10486698,0.10438359,3600922243,4412894.905637255,19,0.023284313725490197
ehbee,family,1150,0.11618396,0.11556508,0.09978677,3342241526,2906296.979130435,30,0.02608695652173913
tannerites,family,1409,0.11456941,0.10188149,0.10714317,7380570138,5238161.914833215,48,0.034066713981547196
theweisslife,family,1818,0.11355619,0.10397443,0.110804535,754804768,415184.1408140814,41,0.022552255225522552
everleighrose,family,159,0.10419175,0.08941658,0.08727616,466388130,2933258.679245283,5,0.031446540880503145
theleray,family,1896,0.09845972,0.0920829,0.09273378,562240718,296540.46308016876,40,0.02109704641350211
familyfunpack,family,3447,0.09799287,0.106288604,0.09200021,15943850728,4625428.119524224,62,0.01798665506237308
brentrivera,family,884,0.092887215,0.106858395,0.07156637,12885477793,14576332.345022624,32,0.03619909502262444
prestonplayz,adult,1179,0.09024329,0.08689108,0.08412068,8223793566,6975227.791348601,60,0.05089058524173028
bonniehoellein,family,2723,0.077879675,0.10871862,0.066572405,901690159,331138.5086301873,30,0.011017260374586852
jakepaul,adult,1605,0.0758765,0.098868966,0.057904817,7993314240,4980258.093457944,28,0.017445482866043614
pewdiepie,adult,4617,0.07079853,0.079306744,0.06797419,29426565295,6373525.080138618,76,0.01646090534979424
unspeakable,adult,1115,0.068910696,0.08304239,0.06585705,12218823871,10958586.431390135,50,0.04484304932735426
markiplier,adult,5719,0.06538355,0.07661995,0.06210828,23461940641,4102455.086728449,126,0.022031823745410038
labrantfam,family,3,0.0604904,0.08586654,0.080418944,189,63.0,0,0.0
piersonwodzynski,family,656,0.05628495,0.08838288,0.050279476,2623855517,3999779.75152439,18,0.027439024390243903
jacksepticeye,adult,5309,0.054332297,0.08355223,0.04933102,17584352989,3312177.997551328,168,0.03164437747221699
itsyeboi,family,587,0.05428885,0.081040375,0.045553297,396433023,675354.3833049404,22,0.03747870528109029
bratayley,family,2614,0.05040871,0.08206485,0.043539673,4104304655,1570124.1985462892,71,0.027161438408569244
caseyneistat,adult,1127,0.04288722,0.08673313,0.039125152,3247497058,2881541.3114463175,24,0.02129547471162378
mrbeast,adult,970,0.03992495,0.07884854,0.03251905,119409838903,123102926.7041237,53,0.05463917525773196
roomieofficial,adult,869,0.038033605,0.08059005,0.03628015,1597347103,1838143.9620253164,18,0.020713463751438434
jeffreestar,adult,436,0.035230644,0.07771402,0.03399216,2616257806,6000591.298165138,18,0.04128440366972477
jamescharles,adult,698,0.03455541,0.079122074,0.02638733,4749417340,6804322.836676218,29,0.04154727793696275
gregdoucette,adult,4348,0.034113437,0.08367969,0.03248199,1230450345,282992.2596596136,64,0.014719411223551058
kurzgesagt,adult,357,0.028474113,0.07071899,0.02759928,3675791154,10296333.764705881,13,0.036414565826330535
dude_perfect,adult,510,0.02658268,0.079410516,0.02423323,20473407788,40143936.83921569,18,0.03529411764705882
simoneGiertz,adult,196,0.026323324,0.07946729,0.015318389,227173798,1159049.9897959183,6,0.030612244897959183
andymation,adult,187,0.024591621,0.09291785,0.013728371,1031127606,5514051.368983957,5,0.026737967914438502
veritasium,adult,499,0.021365492,0.06553885,0.017649535,4224457504,8465846.701402806,25,0.050100200400801605
peterMcKinnon,adult,818,0.02117098,0.07479837,0.019822564,648518668,792810.1075794621,27,0.03300733496332518
emmachamberlain,adult,308,0.019224035,0.092288464,0.01118868,1712802534,5561047.188311689,10,0.032467532467532464
tomscott,adult,737,0.019137189,0.07342051,0.015972763,1906898820,2587379.6743554953,13,0.017639077340569877
colinfurze,adult,412,0.018721601,0.071950674,0.010867289,1847144181,4483359.662621359,15,0.03640776699029126
nikkietutorials,adult,944,0.008579488,0.06843709,0.0066700885,2432019293,2576291.623940678,32,0.03389830508474576
smartereveryday,adult,395,0.007545258,0.077036,-0.00048747845,1270748522,3217084.8658227846,14,0.035443037974683546
halfasinteresting,adult,561,0.0073059546,0.07241828,0.006508909,789766060,1407782.6381461676,21,0.0374331550802139
grahamstephan,adult,1510,0.0066520576,0.07530407,0.0074374652,1386170514,917993.7178807947,34,0.022516556291390728
twosetviolin,adult,1692,0.003617513,0.09219061,-0.0045210253,1528859866,903581.4810874704,73,0.04314420803782506
mattdavella,adult,467,-0.0009252822,0.076948814,-0.0065806583,329954142,706539.9186295504,14,0.029978586723768737
mrwhosetheboss,adult,1900,-0.0014661668,0.071754456,-0.0060285144,8531256575,4490135.0394736845,53,0.027894736842105264
drewbinsky,adult,1255,-0.007860147,0.07859517,-0.011871787,1469308190,1170763.498007968,55,0.043824701195219126
sonnysidevlog,adult,898,-0.011061891,0.07127253,-0.010349731,3158255781,3516988.6202672604,49,0.05456570155902005
besteverfoods,adult,898,-0.011061891,0.07127253,-0.0103497235,3158255822,3516988.665924276,49,0.05456570155902005
mkbhd,adult,1813,-0.019754479,0.06406653,-0.022472495,5323482627,2936283.8538334253,63,0.03474903474903475
linustechtips,adult,7168,-0.022727823,0.07261396,-0.024481997,9474649073,1321798.1407645089,277,0.03864397321428571
wendover,adult,277,-0.026915895,0.07125469,-0.024255898,814189660,2939312.85198556,14,0.05054151624548736
aliabdaal,adult,1375,-0.02886022,0.08289948,-0.03012649,539294020,392213.8327272727,43,0.03127272727272727
3blue1brown,adult,234,-0.03473569,0.055617154,-0.03609302,742108498,3171403.8376068375,8,0.03418803418803419
jeffnippard,adult,617,-0.042986527,0.073566005,-0.046654053,1985398460,3217825.7050243113,23,0.03727714748784441
kara_and_nate,adult,1046,-0.049396493,0.07777793,-0.053070582,1010972058,966512.4837476099,40,0.03824091778202677
natacha_oceane,adult,230,-0.068723746,0.07759207,-0.073277615,162803782,707842.5304347826,7,0.030434782608695653
markwiens,adult,1597,-0.08663681,0.062314443,-0.092068546,3197741112,2002342.5873512838,32,0.020037570444583593
