channel,category,is_family,viral_video_idx,viral_views,pre_drift_mean,post_drift_mean,drift_change
3blue1brown,adult,0,46,17926613,-0.016782278,-0.06542172,-0.048639446
3blue1brown,adult,0,51,22987950,-0.023721777,-0.06280376,-0.039081983
3blue1brown,adult,0,55,16384263,-0.07179627,-0.042117752,0.029678516
3blue1brown,adult,0,74,14264238,-0.053434324,-0.03138036,0.022053964
3blue1brown,adult,0,80,18751387,-0.037874818,-0.0053148502,0.03255997
3blue1brown,adult,0,134,63371266,-0.020187927,-0.023384567,-0.00319664
3blue1brown,adult,0,135,17270418,-0.0071901693,-0.03220319,-0.02501302
3blue1brown,adult,0,148,13785026,-0.033146042,-0.020824421,0.012321621
acefamily,family,1,13,27299741,0.14991105,0.15895355,0.009042501
acefamily,family,1,18,28492127,0.16884902,0.15455315,-0.014295876
acefamily,family,1,52,18796573,0.10334257,0.16819045,0.06484788
acefamily,family,1,69,25380303,0.13739601,0.14606427,0.008668259
acefamily,family,1,84,17756345,0.16198918,0.26701203,0.10502285
acefamily,family,1,115,18570283,0.15150023,0.23289159,0.081391364
acefamily,family,1,141,41294217,0.13957863,0.16647923,0.026900604
acefamily,family,1,159,31960715,0.15954784,0.1905522,0.03100437
acefamily,family,1,236,19633151,0.13907279,0.16574904,0.026676252
acefamily,family,1,246,24083370,0.142333,0.12678131,-0.015551686
acefamily,family,1,277,20160969,0.16917351,0.16668002,-0.0024934858
acefamily,family,1,285,16701331,0.16229586,0.13350059,-0.028795272
acefamily,family,1,298,17330470,0.15888211,0.21086295,0.05198084
acefamily,family,1,304,23594256,0.17654361,0.14877155,-0.027772054
acefamily,family,1,330,17594701,0.16040093,0.1160772,-0.044323727
acefamily,family,1,340,24737450,0.13533813,0.13176134,-0.0035767853
acefamily,family,1,341,21424905,0.1160772,0.13752231,0.02144511
acefamily,family,1,342,20801270,0.10636498,0.1306247,0.024259716
acefamily,family,1,350,33816998,0.13610622,0.1278601,-0.008246124
acefamily,family,1,351,25803544,0.13176134,0.13627818,0.00451684
acefamily,family,1,357,16917545,0.1368699,0.09294559,-0.043924317
acefamily,family,1,378,18327682,0.17065457,0.17393069,0.0032761246
acefamily,family,1,398,20955293,0.091007635,0.049824476,-0.04118316
acefamily,family,1,430,22504791,0.09483521,0.08099381,-0.013841398
acefamily,family,1,435,20165619,0.10211517,0.081933856,-0.020181313
acefamily,family,1,441,17489692,0.08099381,0.108624436,0.027630627
acefamily,family,1,455,23527604,0.11888464,0.12533209,0.0064474493
acefamily,family,1,458,17122837,0.14388548,0.14055261,-0.0033328682
acefamily,family,1,481,20437829,0.0945868,0.11523877,0.020651974
aliabdaal,adult,0,87,5440328,-0.01634346,-0.09925815,-0.08291469
aliabdaal,adult,0,89,2253520,-0.03880628,-0.07509254,-0.03628626
aliabdaal,adult,0,107,6178918,-0.043093078,-0.044496246,-0.0014031678
aliabdaal,adult,0,166,9033046,-0.06565825,-0.047153447,0.018504802
aliabdaal,adult,0,197,2417837,-0.04071178,-0.040685046,2.6732683e-05
aliabdaal,adult,0,225,2203423,-0.08534199,-0.050710022,0.034631968
aliabdaal,adult,0,240,2500023,-0.07993939,-0.11758967,-0.03765028
aliabdaal,adult,0,247,2961418,-0.10186174,-0.06634148,0.035520256
aliabdaal,adult,0,252,3243180,-0.11204702,-0.029836178,0.08221084
aliabdaal,adult,0,285,10991983,-0.048176385,-0.027562995,0.020613391
aliabdaal,adult,0,299,3197226,-0.018484488,-0.0717229,-0.053238414
aliabdaal,adult,0,300,9424001,-0.023174541,-0.06382221,-0.04064767
aliabdaal,adult,0,337,2939420,-0.045094617,-0.0008855028,0.044209115
aliabdaal,adult,0,339,4063351,-0.04212429,-0.018637136,0.023487154
aliabdaal,adult,0,344,2373584,0.012919891,-0.016279366,-0.029199257
aliabdaal,adult,0,359,2501478,-0.023084322,-0.0939026,-0.07081828
aliabdaal,adult,0,360,13919944,-0.034838676,-0.09905211,-0.06421343
aliabdaal,adult,0,361,5591260,-0.045954894,-0.10469484,-0.05873995
aliabdaal,adult,0,381,2416456,-0.068933025,-0.050157122,0.018775903
aliabdaal,adult,0,412,2203629,-0.056693412,0.006451258,0.06314467
aliabdaal,adult,0,415,2422303,-0.06335542,0.013890396,0.07724582
aliabdaal,adult,0,419,3866100,-0.015537718,-0.025544813,-0.010007095
aliabdaal,adult,0,421,2588010,-0.0054218257,-0.045099795,-0.03967797
aliabdaal,adult,0,431,2293774,-0.027508538,-0.06943469,-0.04192615
aliabdaal,adult,0,450,3032172,-0.058361866,-0.020110255,0.03825161
aliabdaal,adult,0,452,8744683,-0.039789766,-0.025984174,0.013805592
aliabdaal,adult,0,455,2826786,-0.031701196,-0.017909238,0.013791958
aliabdaal,adult,0,501,4368619,-0.02155811,-0.019066973,0.002491137
aliabdaal,adult,0,504,2184747,-0.010276199,-0.041427772,-0.031151574
aliabdaal,adult,0,513,2506757,-0.03797413,-0.0039008304,0.0340733
aliabdaal,adult,0,516,6412543,-0.04081293,-0.018867157,0.02194577
aliabdaal,adult,0,537,3202004,-0.03351734,-0.016745282,0.016772056
aliabdaal,adult,0,563,4562596,-0.02437415,0.021943279,0.04631743
aliabdaal,adult,0,570,2974912,0.030833388,-0.040744543,-0.07157793
aliabdaal,adult,0,575,3501263,0.014551282,-0.031040445,-0.045591727
aliabdaal,adult,0,596,3716613,-0.04167182,-0.0016779974,0.039993823
aliabdaal,adult,0,618,4215950,0.030848999,-0.029295975,-0.060144976
aliabdaal,adult,0,674,2208958,-0.03266561,-0.0345639,-0.0018982887
aliabdaal,adult,0,693,3240915,-0.04515024,-0.012950815,0.032199424
aliabdaal,adult,0,703,2255384,-0.012223453,-0.017316315,-0.005092862
aliabdaal,adult,0,706,3101946,-0.011012088,-0.012381349,-0.0013692612
aliabdaal,adult,0,880,2689281,-0.03255704,-0.0528004,-0.020243358
aliabdaal,adult,0,1050,3429367,-0.019181322,-0.025186941,-0.0060056187
andymation,adult,0,47,59415569,-0.03521452,0.021204906,0.056419425
andymation,adult,0,53,107214777,-0.012656517,0.021882577,0.034539096
andymation,adult,0,57,146408891,0.03881522,0.012472077,-0.02634314
andymation,adult,0,68,60943098,0.012472077,0.052477557,0.04000548
andymation,adult,0,113,57411402,-0.06301971,0.030974949,0.093994655
besteverfoods,adult,0,132,18045770,-0.060621362,-0.043151423,0.017469939
besteverfoods,adult,0,162,13910778,-0.06966862,-0.08355907,-0.013890453
besteverfoods,adult,0,163,13271955,-0.0767864,-0.07852698,-0.0017405823
besteverfoods,adult,0,184,14809341,-0.07183417,-0.04001922,0.031814948
besteverfoods,adult,0,201,18962640,-0.068246156,-0.0732602,-0.005014047
besteverfoods,adult,0,208,13435892,-0.040609986,-0.07155995,-0.030949965
besteverfoods,adult,0,226,12854207,-0.041064307,-0.033933826,0.0071304813
besteverfoods,adult,0,228,29661661,-0.061539292,-0.040106688,0.021432605
besteverfoods,adult,0,235,22589626,-0.03726039,-0.03637581,0.00088458136
besteverfoods,adult,0,239,15798028,-0.040106688,-0.046685968,-0.00657928
