quarter,channel_category,mean_drift,n_videos,quarter_str
2006Q1,adult,0.09686295,3,2006Q1
2006Q2,adult,-0.059858777,1,2006Q2
2006Q3,adult,-0.07700412,2,2006Q3
2006Q3,family,0.10427261,2,2006Q3
2006Q4,adult,0.035624146,1,2006Q4
2007Q1,adult,0.063030526,8,2007Q1
2007Q2,adult,0.12346432,5,2007Q2
2007Q2,family,0.059900034,3,2007Q2
2007Q3,adult,0.10479191,9,2007Q3
2007Q4,adult,0.062442254,7,2007Q4
2008Q1,adult,0.023969658,9,2008Q1
2008Q2,adult,-0.0018196864,15,2008Q2
2008Q3,adult,-0.0060979286,14,2008Q3
2008Q4,adult,-0.013634645,12,2008Q4
2009Q1,adult,-0.03135378,189,2009Q1
2009Q2,adult,-0.0050258543,101,2009Q2
2009Q3,adult,-0.01670318,103,2009Q3
2009Q4,adult,0.0150071075,145,2009Q4
2010Q1,adult,-0.009563183,150,2010Q1
2010Q1,family,0.030024163,36,2010Q1
2010Q2,adult,-0.012403251,208,2010Q2
2010Q2,family,0.041148603,26,2010Q2
2010Q3,adult,-0.039517745,180,2010Q3
2010Q3,family,0.029043363,93,2010Q3
2010Q4,adult,-0.013847502,225,2010Q4
2010Q4,family,0.035813853,81,2010Q4
2011Q1,adult,-0.021051133,267,2011Q1
2011Q1,family,0.060266405,96,2011Q1
2011Q2,adult,-0.0005758451,192,2011Q2
2011Q2,family,0.052813068,101,2011Q2
2011Q3,adult,0.00908132,262,2011Q3
2011Q3,family,0.03923945,104,2011Q3
2011Q4,adult,0.02857128,341,2011Q4
2011Q4,family,0.05151213,104,2011Q4
2012Q1,adult,0.031346526,348,2012Q1
2012Q1,family,0.078434564,131,2012Q1
2012Q2,adult,0.03393289,637,2012Q2
2012Q2,family,0.09842677,114,2012Q2
2012Q3,adult,0.038440984,666,2012Q3
2012Q3,family,0.078537926,192,2012Q3
2012Q4,adult,0.03265105,679,2012Q4
2012Q4,family,0.076715045,212,2012Q4
2013Q1,adult,0.022809923,728,2013Q1
2013Q1,family,0.08723309,251,2013Q1
2013Q2,adult,0.019408496,836,2013Q2
2013Q2,family,0.065154076,316,2013Q2
2013Q3,adult,0.040588796,780,2013Q3
2013Q3,family,0.08578233,336,2013Q3
2013Q4,adult,0.029291086,714,2013Q4
2013Q4,family,0.08911237,376,2013Q4
2014Q1,adult,0.026979556,819,2014Q1
2014Q1,family,0.110560894,461,2014Q1
2014Q2,adult,0.024998924,875,2014Q2
2014Q2,family,0.11146273,472,2014Q2
2014Q3,adult,0.018880047,864,2014Q3
2014Q3,family,0.11053564,548,2014Q3
2014Q4,adult,0.0290252,772,2014Q4
2014Q4,family,0.1160451,615,2014Q4
2015Q1,adult,0.023407465,857,2015Q1
2015Q1,family,0.11497723,605,2015Q1
2015Q2,adult,0.026235914,991,2015Q2
2015Q2,family,0.116941474,644,2015Q2
2015Q3,adult,0.02446034,1076,2015Q3
2015Q3,family,0.118179314,767,2015Q3
2015Q4,adult,0.034104574,970,2015Q4
2015Q4,family,0.13286595,841,2015Q4
2016Q1,adult,0.023439227,1128,2016Q1
2016Q1,family,0.120202884,907,2016Q1
2016Q2,adult,0.025105491,1061,2016Q2
2016Q2,family,0.127465,985,2016Q2
2016Q3,adult,0.020136207,1053,2016Q3
2016Q3,family,0.12026456,1018,2016Q3
2016Q4,adult,0.029806202,1073,2016Q4
2016Q4,family,0.12968063,1104,2016Q4
2017Q1,adult,0.022933941,1154,2017Q1
2017Q1,family,0.12763685,1095,2017Q1
2017Q2,adult,0.03302977,1206,2017Q2
2017Q2,family,0.13401155,1055,2017Q2
2017Q3,adult,0.022174628,1309,2017Q3
2017Q3,family,0.13424204,1102,2017Q3
2017Q4,adult,0.025872804,1349,2017Q4
2017Q4,family,0.13447416,1168,2017Q4
2018Q1,adult,0.011561359,1215,2018Q1
2018Q1,family,0.12910438,1078,2018Q1
2018Q2,adult,0.016513778,1212,2018Q2
2018Q2,family,0.13636877,1032,2018Q2
2018Q3,adult,0.014999016,1134,2018Q3
2018Q3,family,0.13548592,1011,2018Q3
2018Q4,adult,0.016471554,1144,2018Q4
2018Q4,family,0.13119917,1019,2018Q4
2019Q1,adult,0.025989512,1175,2019Q1
2019Q1,family,0.13465154,797,2019Q1
2019Q2,adult,0.02401555,1150,2019Q2
2019Q2,family,0.13624036,821,2019Q2
2019Q3,adult,0.024232546,1117,2019Q3
2019Q3,family,0.14002207,813,2019Q3
2019Q4,adult,0.019343069,1165,2019Q4
2019Q4,family,0.13684916,880,2019Q4
2020Q1,adult,0.021865034,1092,2020Q1
2020Q1,family,0.12973632,694,2020Q1
2020Q2,adult,0.024027128,1177,2020Q2
2020Q2,family,0.1432033,697,2020Q2
2020Q3,adult,0.02047931,1020,2020Q3
2020Q3,family,0.13437232,658,2020Q3
2020Q4,adult,0.021977277,1103,2020Q4
2020Q4,family,0.13552442,699,2020Q4
2021Q1,adult,0.025865244,924,2021Q1
2021Q1,family,0.119467,572,2021Q1
2021Q2,adult,0.018929545,953,2021Q2
2021Q2,family,0.14038719,550,2021Q2
2021Q3,adult,0.018316224,965,2021Q3
2021Q3,family,0.1490777,606,2021Q3
2021Q4,adult,0.020306898,1045,2021Q4
2021Q4,family,0.13956754,677,2021Q4
2022Q1,adult,0.019755827,888,2022Q1
2022Q1,family,0.12880263,570,2022Q1
2022Q2,adult,0.017151019,839,2022Q2
2022Q2,family,0.12714674,559,2022Q2
2022Q3,adult,0.017291255,861,2022Q3
2022Q3,family,0.1310272,653,2022Q3
2022Q4,adult,0.02226919,977,2022Q4
2022Q4,family,0.13143444,792,2022Q4
