channel,category,is_family,viral_idx,viral_views,viral_exploit_score,pre_mean,post_mean,drift_change
3blue1brown,adult,0,46,17926613,0.03191898,0.007666411,-0.002250517,-0.009916928
3blue1brown,adult,0,51,22987950,-0.057391513,0.016526427,-0.017029429,-0.033555858
3blue1brown,adult,0,55,16384263,0.02510937,0.0035962781,-0.01442005,-0.018016329
3blue1brown,adult,0,74,14264238,-0.04490943,-0.013373351,-0.030687686,-0.017314335
3blue1brown,adult,0,80,18751387,-0.061557725,-0.03208541,-0.002774953,0.029310457
3blue1brown,adult,0,134,63371266,0.14100647,0.01643745,0.007784854,-0.008652596
3blue1brown,adult,0,135,17270418,0.13628517,0.018492734,-0.0018281841,-0.020320918
3blue1brown,adult,0,148,13785026,-0.02152311,0.008117761,0.00844113,0.00032336824
acefamily,family,1,18,28492127,0.3307452,0.12159561,0.12827976,0.006684147
acefamily,family,1,52,18796573,0.028385982,0.065127544,0.07686467,0.011737123
acefamily,family,1,69,25380303,0.3125909,0.0858455,0.14954194,0.063696444
acefamily,family,1,84,17756345,0.29427886,0.15076275,0.23028605,0.079523295
acefamily,family,1,115,18570283,0.31529933,0.1342148,0.13558435,0.0013695508
acefamily,family,1,141,41294217,0.018492494,0.12404267,0.11947073,-0.004571937
acefamily,family,1,159,31960715,-0.07698525,0.11301474,0.108428486,-0.004586257
acefamily,family,1,236,19633151,0.13156739,0.08457549,0.099114805,0.014539316
acefamily,family,1,246,24083370,0.18296786,0.1257065,0.048672177,-0.07703432
acefamily,family,1,277,20160969,0.04555595,0.09839304,0.13076346,0.03237042
acefamily,family,1,285,16701331,0.15222533,0.13574675,0.113146655,-0.022600092
acefamily,family,1,298,17330470,0.038302198,0.1282391,0.13156177,0.0033226758
acefamily,family,1,304,23594256,0.0110816285,0.13127342,0.09549041,-0.035783008
acefamily,family,1,330,17594701,0.23971793,0.08685458,0.08633215,-0.00052242726
acefamily,family,1,340,24737450,-0.011023518,0.11213246,0.056128178,-0.056004282
acefamily,family,1,341,21424905,-0.030628867,0.105685785,0.06533183,-0.040353954
acefamily,family,1,342,20801270,0.25736183,0.087989226,0.059327874,-0.028661352
acefamily,family,1,350,33816998,-0.10143985,0.07188833,0.010479923,-0.061408404
acefamily,family,1,351,25803544,0.023369752,0.055462886,0.015557789,-0.039905097
acefamily,family,1,357,16917545,0.1673024,0.06533183,0.006055891,-0.05927594
acefamily,family,1,378,18327682,0.27223906,0.038653992,0.030243464,-0.008410528
acefamily,family,1,398,20955293,0.056773447,0.03482883,-0.017800318,-0.05262915
acefamily,family,1,430,22504791,0.18592213,0.06907026,0.05559658,-0.013473678
acefamily,family,1,435,20165619,0.2638495,0.07355293,0.008450295,-0.06510264
acefamily,family,1,441,17489692,0.07122061,0.07046534,0.026675921,-0.04378942
acefamily,family,1,455,23527604,-0.1824131,0.037227206,0.09116121,0.053934
acefamily,family,1,458,17122837,0.04291667,0.01079248,0.09557382,0.08478134
acefamily,family,1,481,20437829,0.124045655,0.065640815,0.08827114,0.022630326
aliabdaal,adult,0,87,5440328,-0.10492773,0.0028842145,-0.06778992,-0.07067414
aliabdaal,adult,0,89,2253520,-0.14256558,-0.019569425,-0.053701665,-0.034132242
aliabdaal,adult,0,107,6178918,-0.06447823,-0.04671165,-0.044317804,0.0023938455
aliabdaal,adult,0,166,9033046,-0.08328793,-0.023268782,-0.025387624,-0.0021188427
aliabdaal,adult,0,197,2417837,-0.06663043,-0.0036472315,-0.036862206,-0.033214975
aliabdaal,adult,0,225,2203423,-0.051174823,-0.03613315,-0.021747474,0.014385678
aliabdaal,adult,0,240,2500023,0.037232578,-0.0276413,-0.0060498537,0.021591447
aliabdaal,adult,0,247,2961418,-0.049593154,-0.007446742,0.0043982044,0.011844946
aliabdaal,adult,0,252,3243180,-0.034072258,-0.036153097,0.02162465,0.057777748
aliabdaal,adult,0,285,10991983,0.034347463,-0.0057514342,-0.003486384,0.0022650503
aliabdaal,adult,0,299,3197226,-0.07877624,0.011260613,-0.0105159,-0.021776512
aliabdaal,adult,0,300,9424001,-0.14581002,0.008524115,-0.0015701537,-0.010094269
aliabdaal,adult,0,337,2939420,0.10212989,0.0034143478,0.043639947,0.0402256
aliabdaal,adult,0,339,4063351,0.026417185,0.01349081,0.054707624,0.041216813
aliabdaal,adult,0,344,2373584,0.0016451608,0.046337925,0.018745866,-0.02759206
aliabdaal,adult,0,359,2501478,-0.056990687,0.022654923,-0.020138897,-0.042793818
aliabdaal,adult,0,360,13919944,-0.018988647,0.018745866,-0.022190232,-0.040936098
aliabdaal,adult,0,361,5591260,-0.051084742,0.018851196,-0.015031704,-0.0338829
aliabdaal,adult,0,381,2416456,-0.11645607,-0.015515177,0.04633864,0.06185382
aliabdaal,adult,0,412,2203629,-0.0066526113,0.02324575,0.036847584,0.013601834
aliabdaal,adult,0,415,2422303,0.009207699,0.014708144,0.040361833,0.02565369
aliabdaal,adult,0,419,3866100,0.0071469788,0.01820709,0.029058153,0.010851063
aliabdaal,adult,0,421,2588010,0.046753846,0.020215949,0.015262129,-0.0049538203
aliabdaal,adult,0,431,2293774,-0.095194414,0.040361833,-0.0023029095,-0.042664744
aliabdaal,adult,0,450,3032172,-0.10488805,-0.01500961,0.03558628,0.050595887
aliabdaal,adult,0,452,8744683,0.025639325,-0.016293515,0.033774838,0.050068352
aliabdaal,adult,0,455,2826786,-0.09468174,0.0139405485,0.026623452,0.012682904
aliabdaal,adult,0,501,4368619,0.057449043,0.053360894,0.051973745,-0.0013871491
aliabdaal,adult,0,504,2184747,0.14522336,0.060484372,0.04841412,-0.0120702535
aliabdaal,adult,0,513,2506757,0.042358376,0.051456146,0.07899597,0.027539827
aliabdaal,adult,0,516,6412543,0.16608496,0.044731345,0.06441753,0.019686189
aliabdaal,adult,0,537,3202004,-0.03722889,0.06869601,0.053479925,-0.015216082
aliabdaal,adult,0,563,4562596,0.098256014,0.031289533,0.036642663,0.0053531304
aliabdaal,adult,0,570,2974912,0.090176575,0.053522307,0.013988669,-0.039533637
aliabdaal,adult,0,575,3501263,-0.12898305,0.06615079,0.033456605,-0.032694187
aliabdaal,adult,0,596,3716613,-0.039900776,0.050955094,0.043959863,-0.006995231
aliabdaal,adult,0,618,4215950,-0.1330494,0.05225629,0.008969485,-0.043286804
aliabdaal,adult,0,674,2208958,0.10101281,0.02398487,0.0012877628,-0.022697108
aliabdaal,adult,0,693,3240915,0.03671231,0.026324177,0.02328214,-0.0030420367
aliabdaal,adult,0,703,2255384,0.097682744,0.031289034,-0.012239691,-0.043528724
aliabdaal,adult,0,706,3101946,-0.09285371,0.029656226,-0.012463188,-0.042119414
aliabdaal,adult,0,880,2689281,0.18575813,0.048478313,0.010335236,-0.038143076
aliabdaal,adult,0,1050,3429367,0.049675107,0.012881208,0.028641276,0.015760068
andymation,adult,0,47,59415569,0.042854656,-0.0078534,0.018264512,0.026117912
