channel,category,is_family,n_videos,corr_exploit_views,corr_p,significant
3blue1brown,adult,0,234,0.10867672444957371,0.09722720738171375,False
acefamily,family,1,713,0.08036450106806656,0.03190459708699562,True
aliabdaal,adult,0,1375,-0.06717049892004512,0.012727750359968785,True
andymation,adult,0,187,-0.14541308896204672,0.04706351190207835,True
besteverfoods,adult,0,898,-0.14129161261075035,2.142732979208305e-05,True
bonniehoellein,family,1,2723,0.12246252632588674,1.4400350674441012e-10,True
bratayley,family,1,2614,-0.012407425420823558,0.526029230420146,False
brentrivera,family,1,884,0.21473442181065383,1.1120532193244902e-10,True
caseyneistat,adult,0,1127,-0.008204887660504565,0.7832057770080497,False
cocomelon,family,1,1983,0.1915332534478825,7.729584705056325e-18,True
colinfurze,adult,0,412,-0.0016842199929864724,0.9728116888912903,False
dailybumps,family,1,3082,0.04912899767268588,0.006372449135095451,True
daviddobrik,adult,0,564,0.1897870134543774,5.665459498699063e-06,True
drewbinsky,adult,0,1255,0.13171041465286806,2.8446373757444263e-06,True
dude_perfect,adult,0,510,0.011164753948465006,0.8014083864368466,False
ehbee,family,1,1150,0.08666610712397102,0.0032680598705873546,True
emmachamberlain,adult,0,308,-0.020275585966126993,0.7230206348656002,False
everleighrose,family,1,159,0.04245289683310009,0.5951924935292595,False
familyfizz,family,1,1457,0.07384039264818879,0.0048028377111649445,True
familyfunpack,family,1,3447,0.048295402538538416,0.004566735821473095,True
grahamstephan,adult,0,1510,-0.009664311927982935,0.7074815822891128,False
gregdoucette,adult,0,4348,0.1080011740627828,9.307677875201585e-13,True
halfasinteresting,adult,0,561,0.16136774221626696,0.00012367398166122,True
itsyeboi,family,1,587,0.06478285602437418,0.11691239706669634,False
jacksepticeye,adult,0,5309,0.06379415055623044,3.289385318082374e-06,True
jakepaul,adult,0,1605,0.2497848286536206,2.9700823892886203e-24,True
jamescharles,adult,0,698,0.03757797139527908,0.3215053801720492,False
jeffnippard,adult,0,617,0.08886233041140264,0.027301037192377125,True
jeffreestar,adult,0,436,0.21899772797456782,3.915299281028536e-06,True
jordanmatter,family,1,571,0.42145488440064943,5.413680979686055e-26,True
kara_and_nate,adult,0,1046,0.1055520348792627,0.0006279872823911365,True
kkandbabyj,family,1,2345,0.13971164285237564,1.0808065578066795e-11,True
kurzgesagt,adult,0,357,-0.018016869214913037,0.7344196037336702,False
linustechtips,adult,0,7168,0.17854312886733784,2.0360893079832588e-52,True
markiplier,adult,0,5719,0.08920022315245682,1.4021579427081151e-11,True
markwiens,adult,0,1597,-0.1177664661967256,2.370246226700388e-06,True
mattdavella,adult,0,467,0.14095516573971917,0.002264448366219221,True
mkbhd,adult,0,1813,0.25306941905058433,6.886326281885941e-28,True
mrbeast,adult,0,970,-0.0028643944318652533,0.9290054498429148,False
mrwhosetheboss,adult,0,1900,0.402546956417294,6.218011339384407e-75,True
natacha_oceane,adult,0,230,0.2228918310387316,0.0006620316857805573,True
nikkietutorials,adult,0,944,0.23570622235869423,2.2009932595693034e-13,True
peterMcKinnon,adult,0,818,0.05393965090242449,0.12320124131631868,False
pewdiepie,adult,0,4617,0.10511051685436736,8.067122247722646e-13,True
piersonwodzynski,family,1,656,0.1565899259771826,5.628122334786614e-05,True
piperrockelle,family,1,816,0.2187312966848855,2.6970223716644815e-10,True
prestonplayz,adult,0,1179,0.07215295316498269,0.013208881296944629,True
rebeccazamolo,family,1,1171,0.2690071525107506,7.336977447009591e-21,True
roomieofficial,adult,0,869,0.014989619417641566,0.6590212758001642,False
ryansworld,family,1,3685,0.04193271612133906,0.010904384376452666,True
simoneGiertz,adult,0,196,0.16909434747255284,0.01782345553821788,True
smartereveryday,adult,0,395,0.10417849104277997,0.03849176736954188,True
sonnysidevlog,adult,0,898,-0.14129147187464397,2.1427738773989405e-05,True
tannerites,family,1,1409,0.21087549700763958,1.2579777983720571e-15,True
theleray,family,1,1896,0.005994654217383773,0.7942036169707289,False
thesacconejolys,family,1,2852,0.1555385274708376,6.618930736742095e-17,True
thesuperherobuddy,family,1,4121,0.07610917324179949,1.0009935888112988e-06,True
theweisslife,family,1,1818,0.0009167253180323304,0.9688421781861412,False
tomscott,adult,0,737,0.17148110340476555,2.8388493756714044e-06,True
twosetviolin,adult,0,1692,0.04101750707732929,0.09166603602251966,False
unspeakable,adult,0,1115,0.031146273957287036,0.29875359916061206,False
veritasium,adult,0,499,0.24242589921911648,4.1625108999765705e-08,True
vladandniki,family,1,1014,0.16446342876550268,1.39041582727048e-07,True
wendover,adult,0,277,-0.049152169541379645,0.4151590273674352,False
