channel,category,is_family,n_videos,beta_exploit_lag,beta_views_lag,views_lag_p,views_lag_significant
3blue1brown,adult,0,234,-0.029099658153152238,-0.000179670313964907,0.9543115588810072,False
acefamily,family,1,713,0.06918107493014578,-0.003736299759598624,0.42662107036269326,False
aliabdaal,adult,0,1375,0.1473852130609704,-0.0006074308350156129,0.6694061147964356,False
andymation,adult,0,187,0.111640959605078,-0.003989049849589733,0.1176990244728589,False
besteverfoods,adult,0,898,0.13284416446824582,-0.005437631494342221,0.00037289740313893485,True
bonniehoellein,family,1,2723,0.09756228314962793,0.004821893712467383,0.0013799075827022659,True
bratayley,family,1,2614,0.0834733175127933,-0.002275224311304509,0.07653443268031682,False
brentrivera,family,1,884,0.11581448174142944,0.005524881858155819,0.0059301588959088675,True
caseyneistat,adult,0,1127,0.08362942528491471,0.0035922675186210707,0.3242999560970058,False
cocomelon,family,1,1983,0.18463007008127238,0.005561826116028654,2.809503764125195e-10,True
colinfurze,adult,0,412,0.24704109804094615,-0.0022707881899001825,0.272934004737775,False
dailybumps,family,1,3082,0.053435267352733455,-0.00029756080900270135,0.7850682866557324,False
daviddobrik,adult,0,564,0.1333909929865139,0.02092749558734253,0.002084913594451008,True
drewbinsky,adult,0,1255,0.08298968072908193,0.006503844514890424,6.046520810086864e-06,True
dude_perfect,adult,0,510,-0.05522656252947893,-0.0017527234607883117,0.48478771944775306,False
ehbee,family,1,1150,0.10717433326052002,0.005128316102669225,0.011389834780173988,True
emmachamberlain,adult,0,308,-0.0060514543050177744,0.01172456085619288,0.012997822080055104,True
everleighrose,family,1,159,-0.050893438552998,-0.003327331700448136,0.463701135685542,False
familyfizz,family,1,1457,0.16056773714450315,0.0006248283931544368,0.802403595186618,False
familyfunpack,family,1,3447,0.0982958968835175,-0.002759037594377216,0.007440500766305998,True
grahamstephan,adult,0,1510,0.0014328839678130186,0.0009148989536524688,0.4890533724363863,False
gregdoucette,adult,0,4348,0.07077756430695956,0.0036808428485970387,0.00039349677553835306,True
halfasinteresting,adult,0,561,0.0578629271104935,0.004877906814137358,0.28238651549427457,False
itsyeboi,family,1,587,-0.022724345254924658,-0.00039674488214414786,0.8783427208874947,False
jacksepticeye,adult,0,5309,0.07126892818493119,0.0010510386083294743,0.22101727983185748,False
jakepaul,adult,0,1605,0.08839662172305768,0.0075293848497234635,1.2838186876648867e-09,True
jamescharles,adult,0,698,0.08450704913588235,-0.0028894815918527423,0.2608765978533682,False
jeffnippard,adult,0,617,0.01215101403561033,0.003969259320758437,0.001492559581313749,True
jeffreestar,adult,0,436,0.0245597608863964,0.007620397290728765,0.0425887893181917,True
jordanmatter,family,1,571,0.05968901852555503,0.020913319749527332,4.321933528560541e-14,True
kara_and_nate,adult,0,1046,0.18903783185580447,0.00948272496223267,1.7839519520633463e-07,True
kkandbabyj,family,1,2345,0.13219942269004828,0.010720640482926758,0.00010452127586592674,True
kurzgesagt,adult,0,357,0.07185395152598839,-0.011974200507951338,0.0032351781718345683,True
linustechtips,adult,0,7168,0.0828716200231666,0.006732185202692067,1.7122010619388382e-45,True
markiplier,adult,0,5719,0.016554892407267752,0.0012611555875529494,0.08672102391569789,False
markwiens,adult,0,1597,0.12750372401215448,-0.004185268837131667,0.0001648976733672921,True
mattdavella,adult,0,467,-0.025163908797904894,0.003616811342282927,0.017674355836077273,True
mkbhd,adult,0,1813,0.05516207967577928,0.006142772035556772,2.035812256056255e-23,True
mrbeast,adult,0,970,0.05622501163962047,-0.0001314778135956455,0.8527197462950695,False
mrwhosetheboss,adult,0,1900,0.05321076178753697,0.009967999343357743,7.346103123844882e-48,True
natacha_oceane,adult,0,230,-0.04013614284624534,0.007814730999560938,0.17601616473233636,False
nikkietutorials,adult,0,944,0.10602800274065736,0.005615854193431197,9.1270298518666e-06,True
peterMcKinnon,adult,0,818,0.025957765589460082,0.0005690617662264689,0.8326299963061626,False
pewdiepie,adult,0,4617,0.003310897236166477,0.0035988807269038236,0.00020020858970331185,True
piersonwodzynski,family,1,656,0.051157208486593324,0.003987364037992987,0.10799628425978909,False
piperrockelle,family,1,816,0.06576922576597835,0.010765886810574452,0.00016790894505445923,True
prestonplayz,adult,0,1179,0.10360994676292141,0.003344907057463845,0.11406764788339208,False
rebeccazamolo,family,1,1171,0.07871424740321427,0.016494168298206453,2.763912069845135e-16,True
roomieofficial,adult,0,869,0.08652710937006793,0.004047541341836091,0.09109481236121596,False
ryansworld,family,1,3685,0.0634560383841331,0.0005329160648956353,0.42514833773582633,False
simoneGiertz,adult,0,196,0.04991444632322627,0.005988991990002871,0.3112760793104049,False
smartereveryday,adult,0,395,0.048603435169979774,0.0017919266474319964,0.32916021923172667,False
sonnysidevlog,adult,0,898,0.1328441687914608,-0.005437630820916798,0.0003728980526282758,True
tannerites,family,1,1409,0.06100873667431693,0.007489550015379204,1.3980902439295582e-11,True
theleray,family,1,1896,0.10515812173098495,-0.010156086464784206,6.795462797782913e-06,True
thesacconejolys,family,1,2852,0.12227700630957687,0.010844159295788046,2.151098445326971e-12,True
thesuperherobuddy,family,1,4121,0.1157730624483978,0.006686158617257107,5.105130978617617e-19,True
theweisslife,family,1,1818,0.2080473690576658,-0.0027731092478434295,0.13634021263183696,False
tomscott,adult,0,737,-0.0019316773587829406,0.0010918661388248257,0.65498605058385,False
twosetviolin,adult,0,1692,0.06532584794303195,-0.0019284307782370482,0.33011543480159505,False
unspeakable,adult,0,1115,0.02422817641776008,-5.81892830262041e-05,0.9732648664540625,False
veritasium,adult,0,499,0.04957146679636237,0.00941814936970945,2.490962666796174e-05,True
vladandniki,family,1,1014,0.12487773926067403,0.003183678028218174,0.06638041628156911,False
wendover,adult,0,277,-0.05367046016785058,-0.0011062398304524923,0.832825559700005,False
