channel,category,is_family,n_videos,slope,slope_p,slope_significant,early_mean,late_mean,drift_early_to_late,mean_exploit
3blue1brown,adult,0,234,-0.002709764593080449,0.828624804109049,False,-0.0037205933076923073,0.0004007728685470084,0.004121366176239316,-0.0016599102195726497
acefamily,family,1,713,-0.050545050451183376,0.0017639466509841658,True,0.11042661828033709,0.07453203777511204,-0.03589458050522505,0.09245415651264374
aliabdaal,adult,0,1375,0.06967335109665626,4.359337955977368e-21,True,0.0060772546534765635,0.034856820272774716,0.028779565619298154,0.02047750275971447
andymation,adult,0,187,0.04605017049026766,0.02365634065163279,True,0.03014295486473118,0.05201157215957446,0.021868617294843278,0.04113573575090909
besteverfoods,adult,0,898,0.08135120196789476,8.185677423604275e-25,True,-0.01773630159113586,0.024238292519910914,0.04197459411104677,0.0032509954643875297
bonniehoellein,family,1,2723,-0.03676172547736563,5.693106564235619e-08,True,0.04793061840204262,0.02527445963719897,-0.022656158764843653,0.03659837887295079
bratayley,family,1,2614,-0.00733139029622644,0.17861386909079885,False,0.03651756735743688,0.029926189314224937,-0.006591378043211943,0.03322187833583091
brentrivera,family,1,884,0.07848395887095869,1.4497200152850374e-12,True,0.05333241936113123,0.08995294803932126,0.03662052867819003,0.07164268370022625
caseyneistat,adult,0,1127,0.016047795653736822,0.06989964697139414,False,0.06995227576376555,0.06732910097608157,-0.0026231747876839795,0.06863952458341616
cocomelon,family,1,1983,-0.026947704745427112,8.443025721960318e-08,True,0.10239570337416751,0.0782365137655242,-0.024159189608643314,0.09031001699404942
colinfurze,adult,0,412,0.03706775028930562,0.005125510937682542,True,0.026852184044174752,0.04536525585582524,0.018513071811650485,0.03610871995
dailybumps,family,1,3082,0.010396499582275929,0.09492355889775912,False,0.0654564144025133,0.07087041488371966,0.005414000481206355,0.06816341464311648
daviddobrik,adult,0,564,0.07355006386456743,7.826901910501247e-07,True,0.10875804525177304,0.1532565444335514,0.04449849918177837,0.13100729484266224
drewbinsky,adult,0,1255,0.06959104129589172,1.2984336729074025e-18,True,-0.008437051783923446,0.02154070203560191,0.029977753819525353,0.006563768454054183
dude_perfect,adult,0,510,0.016301953233209203,0.12196319292942408,False,0.04819754270729412,0.053815740108258826,0.005618197400964704,0.051006641407776464
