channel_short_name,channel_category,n_videos,mean_exploit_v4,std_exploit_v4,mean_exploit_title_only,total_views
3blue1brown,adult,234,0.0024265277,0.067303844,-0.014405729,742108498
acefamily,family,713,0.10042236,0.0990896,0.110833555,4597609446
aliabdaal,adult,1375,-0.018047377,0.07381991,0.0095432745,539294020
andrewdavila,family,3,0.19846207,0.15994117,0.1398588,254
andymation,adult,187,0.0064717894,0.06997228,0.015555824,1031127606
besteverfoods,adult,898,-0.030510237,0.07432163,-0.034074467,3158255822
bonniehoellein,family,2723,0.027402466,0.09417515,0.020669825,901690159
bratayley,family,2614,-0.011111078,0.046617698,-0.0015012565,4104304655
brentrivera,family,884,0.088715486,0.087851316,0.06971405,12885477793
caseyneistat,adult,1127,0.06677231,0.07778164,0.063098095,3247497058
cocomelon,family,1983,0.036362484,0.06816832,0.018839175,220284115025
colinfurze,adult,412,0.02181755,0.0796397,0.01205674,1847144181
dailybumps,family,3082,0.07884773,0.088639855,0.050871346,4181250299
daviddobrik,adult,564,0.14413612,0.08701485,0.1334627,7534296874
drewbinsky,adult,1255,0.0018546677,0.07495199,-0.016056584,1469308190
dude_perfect,adult,510,0.051226124,0.07374674,0.02989155,20473407788
ehbee,family,1150,0.039864797,0.09215324,0.07226564,3342241526
emmachamberlain,adult,308,0.054839015,0.08860855,0.03732642,1712802534
everleighrose,family,159,0.0491338,0.06997644,0.034283943,466388130
familyfizz,family,1457,0.04680512,0.083273284,0.06936189,1170661117
familyfunpack,family,3447,0.022700174,0.103137806,0.008791614,15943850728
grahamstephan,adult,1510,0.028773554,0.06969302,0.036959514,1386170514
gregdoucette,adult,4348,-0.02631567,0.07193924,0.053067356,1230450345
halfasinteresting,adult,561,0.026669472,0.085867696,0.019574642,789766060
itsyeboi,family,587,0.07997827,0.082997635,0.057895772,396433023
jacksepticeye,adult,5309,0.08392441,0.08267651,0.058610477,17584352989
jakepaul,adult,1605,0.089301944,0.087390885,0.08873657,7993314240
jamescharles,adult,698,0.08713207,0.08301742,0.075908795,4749417340
jeffnippard,adult,617,-0.023513315,0.07570423,-0.014478986,1985398460
jeffreestar,adult,436,0.07938191,0.07422481,0.054262422,2616257806
jordanmatter,family,571,0.11646177,0.097146004,0.11931371,14053265859
kara_and_nate,adult,1046,-0.0786229,0.072544776,-0.0630308,1010972058
kkandbabyj,family,2345,0.08174845,0.09356071,0.078903414,618720598
kurzgesagt,adult,357,0.027623048,0.08400073,0.024158273,3675791154
labrantfam,family,3,0.06241623,0.081683286,0.06241623,189
linustechtips,adult,7168,0.021618629,0.06749936,0.034875628,9474649073
markiplier,adult,5719,0.10329395,0.07933686,0.06905679,23461940641
markwiens,adult,1597,-0.09400187,0.05547017,-0.10122668,3197741112
mattdavella,adult,467,0.044088483,0.08770472,0.031762946,329954142
mkbhd,adult,1813,0.057590213,0.065321065,0.047404326,5323482627
mrbeast,adult,970,0.08724281,0.09143215,0.05645446,119409838903
mrwhosetheboss,adult,1900,0.053891353,0.07513425,0.046096817,8531256575
natacha_oceane,adult,230,-0.063578725,0.08654174,-0.03998591,162803782
nikkietutorials,adult,944,0.06972487,0.07017946,0.040891286,2432019293
peterMcKinnon,adult,818,0.035312638,0.072656386,0.084917605,648518668
pewdiepie,adult,4617,0.10138449,0.07674301,0.08469844,29426565295
piersonwodzynski,family,656,0.06880883,0.0915517,0.055759583,2623855517
piperrockelle,family,816,0.11603965,0.07893938,0.11429235,3600922243
prestonplayz,adult,1179,0.054081526,0.08974852,0.06951001,8223793566
rebeccazamolo,family,1171,0.12400141,0.08310593,0.09679097,10248513077
roomieofficial,adult,869,0.090723135,0.07949172,0.075183146,1597347103
ryansworld,family,3685,0.008769434,0.07093088,0.008566424,63339132568
simoneGiertz,adult,196,0.026304668,0.09393548,0.02761872,227173798
smartereveryday,adult,395,0.006472549,0.090485275,-0.016141852,1270748522
sonnysidevlog,adult,898,-0.030510237,0.07432163,-0.034074463,3158255781
tannerites,family,1409,0.025291169,0.09198335,0.046477403,7380570138
theleray,family,1896,0.013517691,0.07796102,0.009989028,562240718
thesacconejolys,family,2852,0.07350996,0.09311728,0.06653886,747905603
thesuperherobuddy,family,4121,0.043195426,0.07261508,0.04738922,8526307939
theweisslife,family,1818,0.050955676,0.09016216,0.024640622,754804768
tomscott,adult,737,0.01578655,0.09324461,0.021227889,1906898820
twosetviolin,adult,1692,-0.009620571,0.082426414,0.011861679,1528859866
unspeakable,adult,1115,0.1580086,0.07151026,0.058249217,12218823871
veritasium,adult,499,0.00846663,0.0783744,0.0106257,4224457504
vladandniki,family,1014,0.043409448,0.07888328,0.03833842,120679537857
wendover,adult,277,0.022392131,0.07944324,0.0033566353,814189660
