channel_a,channel_b,category_a,category_b,collaboration_count,both_family
besteverfoods,sonnysidevlog,adult,adult,441,False
brentrivera,piersonwodzynski,family,family,219,True
ryansworld,thesuperherobuddy,family,family,119,True
dailybumps,ryansworld,family,family,43,True
jordanmatter,rebeccazamolo,family,family,36,True
gregdoucette,ryansworld,adult,family,20,False
brentrivera,jordanmatter,family,family,19,True
jordanmatter,piperrockelle,family,family,18,True
grahamstephan,mrbeast,adult,adult,14,False
markwiens,ryansworld,adult,family,12,False
jacksepticeye,ryansworld,adult,family,9,False
jordanmatter,piersonwodzynski,family,family,9,True
piperrockelle,rebeccazamolo,family,family,8,True
jakepaul,ryansworld,adult,family,7,False
everleighrose,rebeccazamolo,family,family,5,True
itsyeboi,ryansworld,family,family,4,True
linustechtips,ryansworld,adult,family,4,False
bratayley,rebeccazamolo,family,family,3,True
grahamstephan,ryansworld,adult,family,3,False
kara_and_nate,ryansworld,adult,family,3,False
markwiens,sonnysidevlog,adult,adult,3,False
brentrivera,rebeccazamolo,family,family,3,True
emmachamberlain,grahamstephan,adult,adult,3,False
jakepaul,loganpaul,adult,adult,3,False
mkbhd,mrwhosetheboss,adult,adult,3,False
mrbeast,prestonplayz,adult,adult,3,False
drewbinsky,ryansworld,adult,family,2,False
dude_perfect,ryansworld,adult,family,2,False
aliabdaal,ryansworld,adult,family,2,False
brentrivera,daviddobrik,family,adult,2,False
brentrivera,jamescharles,family,adult,2,False
drewbinsky,mrbeast,adult,adult,2,False
jamescharles,jordanmatter,adult,family,2,False
jordanmatter,mrbeast,family,adult,2,False
linustechtips,mrwhosetheboss,adult,adult,2,False
mkbhd,veritasium,adult,adult,2,False
besteverfoods,ryansworld,adult,family,1,False
bonniehoellein,ryansworld,family,family,1,True
bonniehoellein,dailybumps,family,family,1,True
bratayley,dailybumps,family,family,1,True
everleighrose,labrantfam,family,family,1,True
familyfunpack,ryansworld,family,family,1,True
acefamily,gregdoucette,family,adult,1,False
acefamily,jamescharles,family,adult,1,False
jordanmatter,ryansworld,family,family,1,True
markiplier,ryansworld,adult,family,1,False
mattdavella,ryansworld,adult,family,1,False
acefamily,mkbhd,family,adult,1,False
mkbhd,ryansworld,adult,family,1,False
mrwhosetheboss,ryansworld,adult,family,1,False
labrantfam,rebeccazamolo,family,family,1,True
roomieofficial,ryansworld,adult,family,1,False
ryansworld,sonnysidevlog,family,adult,1,False
aliabdaal,jeffnippard,adult,adult,1,False
aliabdaal,mattdavella,adult,adult,1,False
aliabdaal,peterMcKinnon,adult,adult,1,False
besteverfoods,markwiens,adult,adult,1,False
andrewdavila,brentrivera,family,family,1,True
brentrivera,gavinmagnus,family,family,1,True
brentrivera,jakepaul,family,adult,1,False
daviddobrik,mrbeast,adult,adult,1,False
everleighrose,piperrockelle,family,family,1,True
daviddobrik,grahamstephan,adult,adult,1,False
grahamstephan,jeffreestar,adult,adult,1,False
emmachamberlain,jordanmatter,adult,family,1,False
drewbinsky,jordanmatter,adult,family,1,False
jojosiwaunofficial,jordanmatter,family,family,1,True
jacksepticeye,markiplier,adult,adult,1,False
colinfurze,mrbeast,adult,adult,1,False
mrwhosetheboss,simoneGiertz,adult,adult,1,False
jeffnippard,mrwhosetheboss,adult,adult,1,False
jacksepticeye,pewdiepie,adult,adult,1,False
daviddobrik,piersonwodzynski,adult,family,1,False
pewdiepie,prestonplayz,adult,adult,1,False
mrbeast,rebeccazamolo,adult,family,1,False
pewdiepie,roomieofficial,adult,adult,1,False
ryansworld,toysforkids,family,family,1,True
smartereveryday,veritasium,adult,adult,1,False
tomscott,wendover,adult,adult,1,False
mrbeast,veritasium,adult,adult,1,False
linustechtips,veritasium,adult,adult,1,False
mrbeast,vladandniki,adult,family,1,False
