channel,category,degree,family_partners,adult_partners
ryansworld,family,24,7,17
jordanmatter,family,10,6,4
mrbeast,adult,9,3,6
brentrivera,family,8,5,3
rebeccazamolo,family,7,6,1
grahamstephan,adult,5,1,4
mrwhosetheboss,adult,5,1,4
mkbhd,adult,4,2,2
aliabdaal,adult,4,1,3
daviddobrik,adult,4,2,2
veritasium,adult,4,0,4
besteverfoods,adult,3,1,2
sonnysidevlog,adult,3,1,2
piersonwodzynski,family,3,2,1
dailybumps,family,3,3,0
piperrockelle,family,3,3,0
markwiens,adult,3,1,2
jacksepticeye,adult,3,1,2
jakepaul,adult,3,2,1
everleighrose,family,3,3,0
linustechtips,adult,3,1,2
drewbinsky,adult,3,2,1
jamescharles,adult,3,3,0
acefamily,family,3,0,3
pewdiepie,adult,3,0,3
gregdoucette,adult,2,2,0
bratayley,family,2,2,0
emmachamberlain,adult,2,1,1
prestonplayz,adult,2,0,2
bonniehoellein,family,2,2,0
labrantfam,family,2,2,0
markiplier,adult,2,1,1
mattdavella,adult,2,1,1
roomieofficial,adult,2,1,1
jeffnippard,adult,2,0,2
thesuperherobuddy,family,1,1,0
itsyeboi,family,1,1,0
kara_and_nate,adult,1,1,0
loganpaul,adult,1,0,1
dude_perfect,adult,1,1,0
familyfunpack,family,1,1,0
peterMcKinnon,adult,1,0,1
andrewdavila,family,1,1,0
gavinmagnus,family,1,1,0
jeffreestar,adult,1,0,1
jojosiwaunofficial,family,1,1,0
colinfurze,adult,1,0,1
simoneGiertz,adult,1,0,1
toysforkids,family,1,1,0
smartereveryday,adult,1,0,1
tomscott,adult,1,0,1
wendover,adult,1,0,1
vladandniki,family,1,0,1
