channel,category,n_videos,n_sponsored,sponsor_rate,n_child_brands
3blue1brown,adult,234,18,0.07692307692307693,3
acefamily,family,711,24,0.03375527426160337,19
aliabdaal,adult,1375,110,0.08,9
andrewdavila,family,3,0,0.0,0
andymation,adult,186,26,0.13978494623655913,16
besteverfoods,adult,782,81,0.10358056265984655,114
bonniehoellein,family,2714,381,0.14038319823139278,264
bratayley,family,2614,12,0.0045906656465187455,153
brentrivera,family,556,28,0.050359712230215826,77
caseyneistat,adult,1112,20,0.017985611510791366,12
cocomelon,family,1983,3,0.0015128593040847202,2012
colinfurze,adult,400,44,0.11,19
dailybumps,family,2983,117,0.03922225947033188,450
daviddobrik,adult,559,34,0.06082289803220036,52
drewbinsky,adult,1118,274,0.24508050089445438,15
dude_perfect,adult,403,107,0.2655086848635236,525
ehbee,family,981,70,0.07135575942915393,1074
emmachamberlain,adult,306,50,0.16339869281045752,17
everleighrose,family,159,26,0.16352201257861634,41
familyfizz,family,1225,1134,0.9257142857142857,45
familyfunpack,family,3180,488,0.15345911949685534,1470
grahamstephan,adult,1482,1097,0.7402159244264508,52
gregdoucette,adult,4192,13,0.003101145038167939,17
halfasinteresting,adult,558,75,0.13440860215053763,0
itsyeboi,family,585,33,0.05641025641025641,164
jacksepticeye,adult,5290,40,0.007561436672967864,301
jakepaul,adult,1250,18,0.0144,343
jamescharles,adult,602,331,0.5498338870431894,35
jeffnippard,adult,608,320,0.5263157894736842,35
jeffreestar,adult,436,46,0.10550458715596331,87
jordanmatter,family,555,27,0.04864864864864865,77
kara_and_nate,adult,995,138,0.13869346733668342,11
kkandbabyj,family,2303,234,0.10160660008684325,136
kurzgesagt,adult,357,37,0.10364145658263306,15
linustechtips,adult,7128,1385,0.19430415263748596,520
markiplier,adult,5716,49,0.008572428271518544,391
markwiens,adult,1595,276,0.17304075235109717,172
mattdavella,adult,466,110,0.23605150214592274,8
mkbhd,adult,1783,45,0.025238362310712283,18
mrbeast,adult,817,45,0.05507955936352509,123
mrwhosetheboss,adult,1853,169,0.09120345385860766,111
natacha_oceane,adult,230,148,0.6434782608695652,16
nikkietutorials,adult,873,295,0.33791523482245134,55
peterMcKinnon,adult,813,31,0.038130381303813035,11
pewdiepie,adult,4594,892,0.19416630387461906,564
piersonwodzynski,family,270,20,0.07407407407407407,49
piperrockelle,family,769,3,0.0039011703511053317,52
prestonplayz,adult,1179,147,0.12468193384223919,1287
rebeccazamolo,family,1164,10,0.00859106529209622,860
roomieofficial,adult,866,63,0.07274826789838337,53
ryansworld,family,3527,24,0.006804649844060108,3970
simoneGiertz,adult,174,56,0.3218390804597701,7
smartereveryday,adult,395,33,0.08354430379746836,10
sonnysidevlog,adult,782,81,0.10358056265984655,114
tannerites,family,1401,54,0.03854389721627409,669
theleray,family,1620,968,0.5975308641975309,53
thesacconejolys,family,2849,375,0.13162513162513162,59
thesuperherobuddy,family,4120,16,0.003883495145631068,7960
theweisslife,family,1806,611,0.3383167220376523,231
tomscott,adult,737,37,0.050203527815468114,11
twosetviolin,adult,1435,2,0.0013937282229965157,10
unspeakable,adult,1106,51,0.0461121157323689,1051
veritasium,adult,497,104,0.20925553319919518,12
vladandniki,family,1012,146,0.1442687747035573,188
wendover,adult,277,18,0.06498194945848375,6
