channel,category,n_videos,span_days,span_years,videos_per_week,videos_per_month,median_interval_days,mean_interval_days,mean_duration_min,median_duration_min,total_content_hours,monthly_content_hours,weekly_production_hours_est,freq_first_half_per_week,freq_second_half_per_week,freq_change_pct
3blue1brown,adult,234,4060,11.11567419575633,0.403448275862069,1.729064039408867,5.912592592592593,17.42666006000636,14.981766381766382,12.524999999999999,58.42888888888889,0.4317405582922824,0.30221839080459767,0.3724137931034483,0.43448275862068964,16.666666666666654
acefamily,family,713,3437,9.409993155373032,1.4521384928716903,6.223450683735816,2.6563078703703704,4.828469361215148,17.140823970037452,16.183333333333334,203.40444444444444,1.7754243041412083,1.2445425143214564,2.3998835855646097,0.5052386495925495,-78.94736842105263
aliabdaal,adult,1375,3683,10.08350444900753,2.6133586749932123,11.200108607113766,1.1313194444444443,2.680935124535015,9.963791848617175,2.2666666666666666,228.17083333333332,1.8585731740428997,1.3019480931705174,1.3688212927756653,3.8593155893536126,181.94444444444449
andrewdavila,family,3,278,0.7611225188227242,0.07553956834532374,0.32374100719424465,139.00648726851853,139.00648726851853,1.1111111111111112,0.9666666666666667,0.05555555555555555,0.005995203836930455,0.004196642685851319,0.10071942446043167,0.05035971223021583,-50.0
andymation,adult,187,7363,20.15879534565366,0.17778079587124812,0.7619176965910635,14.127662037037037,39.587032743428914,9.578673835125448,6.458333333333334,29.69388888888889,0.12098555842274435,0.08514521288998514,0.041836457484379246,0.31377343113284434,650.0
besteverfoods,adult,898,3786,10.365503080082135,1.6603275224511358,7.115689381933439,3.989363425925926,4.2214662558321985,18.745118782479587,15.9,280.5519444444444,2.223074044726184,1.5561518313083293,1.4939249867934494,1.826730058108822,22.277227722772285
bonniehoellein,family,2723,4263,11.671457905544148,4.471264367816092,19.16256157635468,1.0000694444444445,1.5662035931504614,10.84170033051781,11.466666666666667,492.0325,3.4625791695988744,2.4238054187192115,4.6381980290943225,4.3064289066166115,-7.152974504249314
bratayley,family,2614,3255,8.91170431211499,5.621505376344086,24.092165898617512,1.0,1.2457016156751854,15.617629799719353,15.416666666666666,680.1477777777778,6.268643113159243,4.389729494243697,5.218807621389059,6.027658266748617,15.49876339653751
brentrivera,family,884,5105,13.976728268309378,1.212144955925563,5.194906953966699,6.174953703703704,5.7817664422633275,5.379402872260015,4.3583333333333325,79.07722222222222,0.4647045380346066,0.3260308028750732,0.8036833855799373,1.6210815047021945,101.70648464163823
caseyneistat,adult,1127,5905,16.16700889801506,1.335986452159187,5.7256562235393735,1.04921875,5.2450100219557925,8.208873114463177,8.266666666666667,154.19,0.7833530906011854,0.5483471634208298,2.0772357723577235,0.595189701897019,-71.34703196347031
cocomelon,family,1983,7178,19.652292950034223,1.933825578155475,8.287823906380607,1.9594039351851853,3.6217491158855624,13.267876954109934,2.9166666666666665,438.50333333333333,1.8326971301198105,1.2828879910838673,0.2906101978266927,3.5770409584842575,1130.8724832214764
colinfurze,adult,412,7016,19.208761122518823,0.41106043329532493,1.7616875712656783,7.000046296296296,17.07257150018023,7.232605177993528,4.966666666666667,49.66388888888889,0.21235984416571646,0.1486518909160015,0.2953249714937286,0.5267958950969213,78.37837837837837
dailybumps,family,3082,4818,13.190965092402465,4.477791614777916,19.190535491905358,1.0000462962962964,1.5638646625975212,13.00649442097281,12.95,667.0163888888889,4.153277639407777,2.91201858279439,6.363636363636363,2.5919468659194687,-59.26940639269406
daviddobrik,adult,564,4089,11.195071868583161,0.9655172413793103,4.137931034482759,2.9039236111111113,7.264158052924149,4.45735815602837,4.35,41.899166666666666,0.3074040107605771,0.21518280753240404,1.7671232876712328,0.1643835616438356,-90.69767441860466
drewbinsky,adult,1255,5023,13.752224503764545,1.748954807883735,7.495520605216006,1.206417824074074,4.005931842179101,7.274813928761299,3.3833333333333333,152.04361111111112,0.908084478067556,0.6361660398583318,1.3353245718837117,2.1632815611310234,62.00417536534446
dude_perfect,adult,510,6225,17.04312114989733,0.5734939759036145,2.4578313253012047,13.885462962962963,12.23071563705159,8.472450980392157,6.4,72.01583333333333,0.34706425702811244,0.24294497991967876,0.362146529562982,0.785025706940874,116.77018633540372
ehbee,family,1150,4452,12.188911704312115,1.808176100628931,7.749326145552561,2.20787037037037,3.875449948425362,7.426269219611256,7.3,142.21305555555554,0.958308999700509,0.6714001259868668,2.3553459119496853,1.2610062893081762,-46.46194926568757
emmachamberlain,adult,308,3097,8.479123887748118,0.6961575718437197,2.9835324507587986,6.014421296296296,10.090716197671613,15.429533116178067,13.833333333333334,78.94777777777777,0.7647508341405661,0.5370693154420393,1.2073643410852712,0.18540051679586564,-84.6441947565543
everleighrose,family,159,2662,7.2881587953456535,0.418106686701728,1.7918858001502629,7.051440972222222,16.852904506563522,9.516771488469603,10.116666666666667,25.219444444444445,0.2842161282243927,0.1989512897570749,0.49436513899323814,0.3418482344102179,-30.85106382978723
familyfizz,family,1457,3434,9.401779603011637,2.970005824111823,12.72859638905067,1.0000694444444445,2.359174655639499,14.263459335624283,15.05,345.8888888888889,3.021743350805669,2.1181278649393134,3.603960396039604,2.336051252184042,-35.18099547511312
familyfunpack,family,3447,5316,14.55441478439425,4.538939051918735,19.45259593679458,1.0000462962962964,1.5429160453074955,9.635417271056957,6.816666666666666,553.5547222222223,3.123897980938049,2.1867285866566335,4.0662151993980435,5.0116629044394285,23.251295336787578
grahamstephan,adult,1510,3378,9.248459958932239,3.1290704558910596,13.410301953818827,1.999988425925926,2.239218914905628,9.932008830022074,12.091666666666667,249.95555555555555,2.2198539569765146,1.5538977698835599,2.7519242155121373,3.5062166962699823,27.409638554216876
gregdoucette,adult,4348,6713,18.379192334017795,4.533889468196037,19.430954863697302,0.6676620370370371,1.5443951980505926,13.528112542164981,13.5,980.3372222222222,4.381069069963751,3.0667483489746266,0.42759237187127536,8.641537544696066,1920.975609756097
halfasinteresting,adult,561,3155,8.63791923340178,1.244690966719493,5.334389857369255,5.975017361111111,5.635640831679894,6.368894830659536,6.2,59.549166666666665,0.5662361331220285,0.39636529318542,1.2650602409638554,1.2251109701965759,-3.1578947368420938
itsyeboi,family,587,3703,10.13826146475017,1.1096408317580342,4.755603564677289,3.083246527777778,6.320254353115914,16.107536973833902,15.958333333333332,157.31694444444443,1.2745094067872895,0.8936790362609169,1.9475958941112914,0.2722852512155592,-86.01941747572816
jacksepticeye,adult,5309,4900,13.415468856947296,7.5842857142857145,32.50408163265306,0.8749768518518518,0.9232635269265119,31.813325797538308,19.116666666666667,2814.418888888889,17.231136054421768,12.064067618509348,11.957142857142857,3.2114285714285713,-73.14217443249701
jakepaul,adult,1605,4394,12.030116358658454,2.5568957669549386,10.958124715521166,0.9998958333333334,2.7394548062713584,10.887819314641742,9.266666666666667,291.24916666666667,1.988501365498407,1.3919509558488845,2.708238507055075,2.4055530268548018,-11.176470588235299
jamescharles,adult,698,3703,10.13826146475017,1.3194706994328922,5.6548744261409665,4.003391203703703,5.3140548282321065,17.084361549497846,15.9,198.46333333333334,1.6078584931136917,1.1271157241540166,1.3047001620745542,1.334954078876283,2.3188405797101486
jeffnippard,adult,617,4228,11.575633127994525,1.0215231788079469,4.377956480605487,5.001556712962962,6.863943264490141,12.632036736898975,9.516666666666667,129.89944444444444,0.9217084515925575,0.6451959161147902,1.3245033112582782,0.7185430463576159,-45.75
jeffreestar,adult,436,5918,16.202600958247775,0.5157147685028727,2.210206150726597,3.9677430555555557,13.606864011281395,18.17656727828746,17.233333333333334,132.08305555555555,0.669566013292779,0.46869620930494543,0.42581953362622504,0.6056100033795201,42.22222222222223
jordanmatter,family,571,5917,16.199863107460644,0.6755112388034478,2.8950481663004903,6.999780092592593,10.381406737329435,15.493228254524226,12.816666666666666,147.4438888888889,0.7475607008055885,0.5232924905639119,0.16801893171061527,1.183231913455037,604.225352112676
kara_and_nate,adult,1046,3757,10.286105407255304,1.948895395262177,8.352408836837903,2.0226967592592593,3.59572084883927,15.66146232439336,12.308333333333334,272.50944444444445,2.176013663383906,1.5261275903541145,2.855165069222577,1.0436634717784878,-63.44647519582245
kkandbabyj,family,2345,4008,10.973305954825461,4.0955588822355296,17.55239520958084,1.033443287037037,1.710144053770067,15.026886993603412,15.1,587.3008333333333,4.395964321357286,3.0771750249501006,5.864770459081837,2.3263473053892216,-60.33353186420488
kurzgesagt,adult,357,4672,12.791238877481177,0.5348886986301369,2.292380136986301,7.0600000000000005,13.126388433728673,6.9328197945845,7.166666666666667,41.250277777777775,0.26487763984018264,0.1854143478881278,0.3176369863013699,0.752140410958904,136.79245283018864
labrantfam,family,3,55,0.15058179329226556,0.3818181818181818,1.6363636363636362,27.991782407407406,27.991782407407406,0.5444444444444445,0.4666666666666667,0.02722222222222222,0.014848484848484849,0.010393939393939395,0.25925925925925924,0.5185185185185185,100.0
linustechtips,adult,7168,6362,17.418206707734427,7.886828041496385,33.80069160641308,0.9632291666666667,0.8878160608808892,21.887190582542342,9.791666666666668,2613.3305555555557,12.323155716231794,8.631025421798528,8.324740647595096,7.448915435397674,-10.520750726936292
markiplier,adult,5719,5084,13.919233401779604,7.874311565696303,33.74704956726987,0.8229224537037036,0.8892563788976979,25.288235979946368,16.433333333333334,2409.968888888889,14.220902176763705,9.956372452647454,12.053107789142407,3.695515342250197,-69.3397304089559
markwiens,adult,1597,6291,17.22381930184805,1.7769829915752662,7.6156413924654265,3.0001793981481484,3.942061599310777,20.923502400333962,19.616666666666667,556.9138888888889,2.6557648492555503,1.859035394478885,1.731637519872814,1.8228934817170113,5.2699228791773844
mattdavella,adult,467,5362,14.680355920602327,0.6096605744125326,2.6128310331965685,4.9936747685185185,11.507182681608649,21.638412017167383,9.558333333333334,168.05833333333334,0.9402741514360314,0.6596043349880657,0.6344647519582245,0.5848563968668408,-7.8189300411522495
mkbhd,adult,1813,6600,18.069815195071868,1.922878787878788,8.240909090909092,2.9814872685185185,3.642835660923064,7.881576526857985,6.9,238.0236111111111,1.081925505050505,0.7577658159269295,1.909090909090909,1.9366666666666668,1.4444444444444566
mrbeast,adult,970,5180,14.182067077344286,1.3108108108108107,5.617760617760617,3.0,5.346461032756182,15.616477468180253,3.933333333333333,252.2061111111111,1.4606531531531532,1.0235123746037058,1.5891891891891894,1.0324324324324323,-35.03401360544219
mrwhosetheboss,adult,1900,5483,15.011635865845312,2.4256793726062376,10.395768739741019,1.9909027777777777,2.8878178146880424,7.183359662980516,5.333333333333333,227.35333333333332,1.2439540397592557,0.8712263680251766,2.707041225829989,2.1452024808464065,-20.754716981132077
natacha_oceane,adult,230,2863,7.838466803559206,0.5623471882640586,2.410059378274537,7.928472222222222,12.506537481804951,16.22768115942029,15.258333333333333,62.20611111111111,0.6518279194318314,0.4562795436022819,0.8560447239692524,0.2690426275331936,-68.57142857142857
