,"Content
Exploitation","Labor
Intensity","Commercial
Exploitation","Network
Exploitation","Cross-Platform
Burden","Frequency
Escalation",Overall,cluster
ryansworld,0.09486192381859915,1.0,0.5035926687525492,1.0,0.7464017839043179,0.33435706965036954,0.6132022410209726,1
thesuperherobuddy,0.25912911323925913,0.870847435164877,1.0,0.14285714285714285,0.8347861341982566,0.14560656776662706,0.5422043988710271,3
rebeccazamolo,0.64470324223025,0.2885350402036437,0.11618008151454069,0.8571428571428571,1.0,0.28158119687035527,0.5313570696602744,1
dailybumps,0.429247777487219,0.700879476511549,0.09538449755369696,0.42857142857142855,0.6241637948510035,0.09352515755439622,0.395295355421549,3
jordanmatter,0.6087270684124095,0.09552107100573948,0.058096398401648625,0.8571428571428571,0.1151429150618285,1.0,0.45577171833741387,1
familyfizz,0.27635314234054453,0.46082595288153055,0.9277645827923928,0.0,0.38212041354145554,0.17774465261586386,0.3708014573619645,3
andrewdavila,1.0,0.0,0.0,0.14285714285714285,0.0,0.12593346911065856,0.21146510199463356,2
brentrivera,0.47633279813118046,0.18095815065677484,0.059800842781739756,0.7142857142857142,0.5363875937563349,0.6563397120871941,0.43735080194982306,1
piperrockelle,0.6067128790755199,0.26900044818320995,0.01039347067477651,0.42857142857142855,0.953172511656193,0.35624306296404057,0.4373489668541948,1
kkandbabyj,0.44308886365537636,0.6400244698776192,0.11823287044409919,0.0,0.47476180823028585,0.08980469171713842,0.2943187839874198,3
familyfunpack,0.16133389378681282,0.7106147173113141,0.33682443029106285,0.14285714285714285,0.6983579971619704,0.3820394915033646,0.4053379454852779,3
bonniehoellein,0.18377136750362696,0.6998402780773357,0.1728776578321439,0.2857142857142857,0.5513886073383337,0.2757380728466504,0.3615550448853961,3
thesacconejolys,0.40377805461986005,0.5348513246564082,0.13849933044916832,0.0,0.5775390229069532,0.043094568486070794,0.28296038351974345,3
theleray,0.11751872429763763,0.5509965419375688,0.601851866851518,0.0,0.3839448611392662,0.35735678549891975,0.3352781299541518,3
theweisslife,0.2961579505404958,0.45839308228231734,0.3659157903446559,0.0,0.7425501723089398,0.3237903474665186,0.3644678904904879,3
piersonwodzynski,0.3813461255064986,0.2693779845605637,0.07991948603249877,0.2857142857142857,0.45753091425096293,1.0,0.41231479934413495,1
acefamily,0.532193360954811,0.2191673542114111,0.036002393813365265,0.0,0.17109264139468885,0.024725765533997968,0.16386358598471235,2
bratayley,0.0,0.8829693464305466,0.0237196560052047,0.2857142857142857,0.529292519764849,0.35493457670887185,0.3461050641039596,3
itsyeboi,0.4346422662888092,0.16463854057333333,0.0767153478048385,0.14285714285714285,0.11838637745793634,0.0,0.15620661249701004,2
vladandniki,0.2601503413977444,0.37511544228224597,0.16723739952659097,0.0,0.20494628015406446,0.39996513825434404,0.234569100269165,2
everleighrose,0.28746468035112976,0.05453987187722985,0.16802026048151494,0.42857142857142855,0.03162375836205149,0.19288324594473577,0.19385054093134838,2
cocomelon,0.22652502218461693,0.295856418948096,0.2532930162007243,0.0,0.4919927022096088,1.0,0.37794452659050765,1
ehbee,0.2432366717133056,0.27585185330671746,0.20548239267028498,0.0,0.3257652544090817,0.13830343603646236,0.19810660135597535,2
labrantfam,0.35084317195063563,0.048762404336093204,0.0,0.2857142857142857,0.00040543279951348054,0.6503733876442634,0.2226831137407986,2
tannerites,0.17369709501142772,0.3906096410596853,0.12211489076144641,0.0,0.2850192580579769,0.09959658071783514,0.17850624426806191,2
