channel,category,content_exploit,videos_per_week,mean_duration_min,sponsor_rate,n_child_brands,degree,family_partners,composite_index,n_videos,span_years,videos_per_week_freq,mean_duration_min_freq,total_content_hours,monthly_content_hours,weekly_production_hours_est,freq_change_pct,degree_net,family_partners_net,adult_partners,sponsor_rate_detail,n_child_brands_detail,tiktok_followers,tiktok_videos,tiktok_hearts,total_videos_cross_platform,overall_exploit,cluster,cluster_label
ryansworld,family,0.008769434,6.35657959586003,0.0,0.0068046498440601,3970.0,24.0,7.0,0.5043727402333305,3685,11.110198494182066,6.35657959586003,0.0,0.0,0.0,0.0,9.613196814561997,24.0,7.0,17.0,0.0068046498440601,3970.0,30.0,0.0,0.0,3685.0,0.6132022410209726,1,High Exploitation
thesuperherobuddy,family,0.043195426,5.545367166474433,0.0,0.003883495145631,7960.0,1.0,1.0,0.4209898720038799,4121,14.242299794661191,5.545367166474433,0.0,0.0,0.0,0.0,-44.37311178247735,1.0,1.0,0.0,0.003883495145631,7960.0,0.0,0.0,,4121.0,0.5422043988710271,3,Moderate Exploitation
rebeccazamolo,family,0.12400141,1.8878397052049745,0.0,0.0085910652920962,860.0,7.0,6.0,0.3835970340064328,1171,11.887748117727584,1.8878397052049745,0.0,0.0,0.0,0.0,-5.481727574750826,7.0,6.0,1.0,0.0085910652920962,860.0,18500000.0,3765.0,1700000000.0,4936.0,0.5313570696602744,1,High Exploitation
jordanmatter,family,0.11646177,0.6755112388034478,15.493228254524226,0.0486486486486486,77.0,10.0,6.0,0.3384371750138316,571,16.199863107460644,0.6755112388034478,15.493228254524226,147.4438888888889,0.7475607008055885,0.5232924905639119,604.225352112676,10.0,6.0,4.0,0.0486486486486486,77.0,0.0,0.0,,571.0,0.45577171833741387,1,High Exploitation
brentrivera,family,0.088715486,1.212144955925563,5.379402872260015,0.0503597122302158,77.0,8.0,5.0,0.2934645179135615,884,13.976728268309378,1.212144955925563,5.379402872260015,79.07722222222222,0.4647045380346066,0.3260308028750732,101.70648464163824,8.0,5.0,3.0,0.0503597122302158,77.0,50600000.0,1765.0,1800000000.0,2649.0,0.43735080194982306,1,High Exploitation
piperrockelle,family,0.11603965,1.7651421508034608,15.32433537832311,0.0039011703511053,52.0,3.0,3.0,0.292783129798598,816,8.85968514715948,1.7651421508034608,15.32433537832311,208.1555555555556,1.9297486608982284,1.352481515466341,15.873015873015875,3.0,3.0,0.0,0.0039011703511053,52.0,20100000.0,3889.0,1400000000.0,4705.0,0.4373489668541948,1,High Exploitation
piersonwodzynski,family,0.06880883,1.767513471901463,5.633282520325204,0.074074074074074,49.0,3.0,2.0,0.2222769734538867,656,7.112936344969199,1.767513471901463,5.633282520325204,61.590555555555554,0.7112073389787016,0.4978451372850911,275.36231884057975,3.0,2.0,1.0,0.074074074074074,49.0,17300000.0,1604.0,533700000.0,2260.0,0.41231479934413495,1,High Exploitation
familyfunpack,family,0.022700174,4.538939051918735,9.635417271056957,0.1534591194968553,1470.0,1.0,1.0,0.2615425586053962,3447,14.55441478439425,4.538939051918735,9.635417271056957,553.5547222222223,3.123897980938049,2.186728586656633,23.251295336787575,1.0,1.0,0.0,0.1534591194968553,1470.0,510.0,1.0,637.0,3448.0,0.4053379454852779,3,Moderate Exploitation
dailybumps,family,0.07884773,4.477791614777916,13.00649442097281,0.0392222594703318,450.0,3.0,3.0,0.3391427296135763,3082,13.190965092402465,4.477791614777916,13.00649442097281,667.0163888888889,4.153277639407777,2.91201858279439,-59.26940639269406,3.0,3.0,0.0,0.0392222594703318,450.0,559.0,0.0,0.0,3082.0,0.395295355421549,3,Moderate Exploitation
cocomelon,family,0.036362484,1.933825578155475,13.267876954109934,0.0015128593040847,2012.0,0.0,0.0,0.1652885025484137,1983,19.652292950034223,1.933825578155475,13.267876954109934,438.5033333333333,1.8326971301198105,1.2828879910838673,1130.8724832214764,,,,0.0015128593040847,2012.0,8500000.0,447.0,53600000.0,2430.0,0.37794452659050765,1,High Exploitation
