youtube_channel,tiktok_username,category,tiktok_followers,tiktok_videos,tiktok_hearts,tiktok_verified,tiktok_username_v2,own_videos_found,tiktok_avg_plays,tiktok_avg_likes,tiktok_avg_comments,tiktok_avg_shares,tiktok_avg_duration,videos_per_week,n_videos,composite_index
acefamily,theacefamily,family,6600000.0,134.0,134300000.0,True,,,,,,,,1.4521384928716905,713.0,0.2218191239554532
aliabdaal,aliabdaal,adult,385000.0,1307.0,3300000.0,False,,,,,,,,2.6133586749932123,1375.0,
bratayley,bratayley,family,5992.0,0.0,0.0,False,,,,,,,,5.621505376344086,2614.0,0.2171256548794065
brentrivera,brentrivera,family,50600000.0,1765.0,1800000000.0,True,brentrivera,3.0,12170857.666666666,1147220.3333333333,1587.3333333333333,18598.0,0.0,1.212144955925563,884.0,0.2934645179135615
caseyneistat,caseyneistat,adult,861100.0,46.0,11100000.0,True,caseyneistat,4.0,12433775.75,1152892.75,10241.75,86286.5,0.0,1.335986452159187,1127.0,
cocomelon,cocomelon,family,8500000.0,447.0,53600000.0,True,cocomelon,0.0,0.0,0.0,0.0,0.0,0.0,1.933825578155475,1983.0,0.1652885025484137
daviddobrik,daviddobrik,adult,25000000.0,712.0,1400000000.0,True,daviddobrik,1.0,7493709.0,803621.0,1718.0,20990.0,0.0,0.9655172413793104,564.0,
ehbee,ehbeefamily,family,12200000.0,460.0,256500000.0,True,ehbeefamily,9.0,23190640.0,3619128.0,9547.555555555555,17049.11111111111,0.0,1.808176100628931,1150.0,0.1599423414760996
emmachamberlain,emmachamberlain,adult,560000.0,0.0,1500000.0,True,,,,,,,,0.6961575718437197,308.0,
familyfizz,familyfizz,family,805700.0,431.0,33200000.0,False,familyfizz,1.0,7811632.0,509725.0,1584.0,2958.0,0.0,2.970005824111823,1457.0,0.3259191232282182
grahamstephan,grahamstephan,adult,937500.0,1203.0,41900000.0,True,grahamstephan,11.0,5385808.090909091,542200.0,1189.2727272727273,5968.0,0.0,3.12907045589106,1510.0,
jakepaul,jakepaul,family,19500000.0,752.0,407600000.0,True,jakepaul,1.0,8252263.0,158747.0,6055.0,70233.0,0.0,,,
jamescharles,jamescharles,adult,40800000.0,1182.0,1600000000.0,True,jamescharles,6.0,12234752.333333334,1284890.1666666667,9626.333333333334,71209.33333333333,0.0,1.3194706994328922,698.0,
jeffreestar,jeffreestar,adult,8300000.0,707.0,204400000.0,True,jeffreestar,7.0,5568588.714285715,445466.28571428574,7195.428571428572,8432.857142857143,0.0,0.5157147685028727,436.0,
markwiens,markwiens,adult,2100000.0,232.0,24800000.0,False,markwiens,6.0,4972386.166666667,339884.1666666667,2221.5,7884.166666666667,0.0,1.7769829915752662,1597.0,
mkbhd,mkbhd,adult,2300000.0,167.0,32200000.0,True,mkbhd,5.0,2235235.6,132718.4,2107.6,19011.0,0.0,1.922878787878788,1813.0,
mrbeast,mrbeast,adult,126400000.0,458.0,1300000000.0,True,mrbeast,4.0,29842680.25,2148467.75,34218.75,70106.75,0.0,1.3108108108108107,970.0,
nikkietutorials,nikkietutorials,adult,9100000.0,393.0,289700000.0,True,nikkietutorials,11.0,16721958.636363637,773338.2727272727,2940.3636363636365,16649.0,0.0,1.0170848083730952,944.0,
pewdiepie,pewdiepie,adult,1000000.0,295.0,15200000.0,True,pewdiepie,5.0,1721095.6,210224.4,626.4,9499.0,0.0,5.688963210702341,4617.0,
piersonwodzynski,pierson,family,17300000.0,1604.0,533700000.0,True,pierson,3.0,953662.3333333334,75628.33333333333,591.3333333333334,1632.3333333333333,0.0,1.767513471901463,656.0,0.2222769734538867
piperrockelle,piperrockelle,family,20100000.0,3889.0,1400000000.0,True,piperrockelle,3.0,8518877.333333334,681464.6666666666,3517.3333333333335,26714.0,0.0,1.7651421508034608,816.0,0.292783129798598
rebeccazamolo,rebeccazamolo,family,18500000.0,3765.0,1700000000.0,True,rebeccazamolo,4.0,3012335.75,157546.5,15109.5,10102.0,0.0,1.8878397052049745,1171.0,0.3835970340064328
theweisslife,theweisslife,family,1500000.0,1848.0,83200000.0,True,theweisslife,12.0,1206214.8333333333,116987.33333333333,346.8333333333333,216.75,0.0,2.954724866496401,1818.0,0.2396988559130531
