youtube,tiktok,category,followers,own_videos_found,avg_plays,avg_likes,avg_comments
brentrivera,brentrivera,family,50600000,3,12170857.666666666,1147220.3333333333,1587.3333333333333
piperrockelle,piperrockelle,family,20100000,3,8518877.333333334,681464.6666666666,3517.3333333333335
jakepaul,jakepaul,family,19500000,1,8252263.0,158747.0,6055.0
rebeccazamolo,rebeccazamolo,family,18500000,4,3012335.75,157546.5,15109.5
piersonwodzynski,pierson,family,17300000,3,953662.3333333334,75628.33333333333,591.3333333333334
ehbee,ehbeefamily,family,12200000,9,23190640.0,3619128.0,9547.555555555555
cocomelon,cocomelon,family,8500000,0,0.0,0.0,0.0
theacefamily,theacefamily,family,6600000,2,11941381.0,1417640.0,1165.5
vladandniki,vladandniki,family,0,7,1353586.5714285714,17141.571428571428,623.7142857142857
theweisslife,theweisslife,family,1500000,12,1206214.8333333333,116987.33333333333,346.8333333333333
familyfizz,familyfizz,family,805700,1,7811632.0,509725.0,1584.0
jordanmatter,jordanmatter,family,0,1,1056261.0,126735.0,3661.0
mrbeast,mrbeast,adult,126400000,4,29842680.25,2148467.75,34218.75
jamescharles,jamescharles,adult,40800000,6,12234752.333333334,1284890.1666666667,9626.333333333334
daviddobrik,daviddobrik,adult,25000000,1,7493709.0,803621.0,1718.0
nikkietutorials,nikkietutorials,adult,9100000,11,16721958.636363637,773338.2727272727,2940.3636363636365
jeffreestar,jeffreestar,adult,8300000,7,5568588.714285715,445466.28571428574,7195.428571428572
mkbhd,mkbhd,adult,2300000,5,2235235.6,132718.4,2107.6
markwiens,markwiens,adult,2100000,6,4972386.166666667,339884.1666666667,2221.5
pewdiepie,pewdiepie,adult,1000000,5,1721095.6,210224.4,626.4
grahamstephan,grahamstephan,adult,937500,11,5385808.090909091,542200.0,1189.2727272727273
caseyneistat,caseyneistat,adult,861100,4,12433775.75,1152892.75,10241.75
