id,title,view_count,duration,upload_date,like_count,comment_count,playlist_index,n_entries,drift_score,video_order,drift_rolling,is_viral,viral_ratio
BG6x-JQVxmw,Zanzibar Orange Peeler,182867,5.0,,0,0,1553,1553,0.053536672,0,,False,0.14581753491201924
RlRMIi89Y64,Power of Iguazu,71745,36.0,,0,0,1552,1553,-0.015409761,1,,False,0.05720922332767979
bePAxFUWhTE,How To Drink Yerba Mate From A Cow Hoof,152295,205.0,,0,0,1551,1553,0.03933928,2,,False,0.12143952424125715
LkvNYKh8QlA,"How To Eat Pizzeria Bianco, Best in America",43482,36.0,,0,0,1550,1553,-0.10818832,3,,False,0.03467240154344097
hUNwpet4h7g,Welcome1,126786,82.0,,0,0,1549,1553,0.00713241,4,-0.00471794418990612,False,0.10109873285696856
8ulOCAAyp3U,MSI Wind Netbook Option,77887,102.0,,0,0,1548,1553,-0.07739499,5,-0.016830785510440666,False,0.062106833609631276
Z6zNxuGK9Vo,How To Eat Ethiopian Food,153326,69.0,,0,0,1547,1553,-0.11583537,6,-0.03097429738513061,False,0.12226164019708456
42VEY_qzrxg,How To Pack In 10 Minutes For An Indefinite Trip,36746,171.0,,0,0,1546,1553,-0.054823037,7,-0.0339553898666054,False,0.029301137645813945
2V2o__ly2Eg,How To Eat Another Plate Of Food When You Are Full,59750,59.0,,0,0,1545,1553,-0.034741115,8,-0.0340426926397615,False,0.0476444503983395
gR502zxMErc,Pike Place Fish Throw Seattle,16943,16.0,,0,0,1544,1553,0.015051186,9,-0.02913330476731062,False,0.013510291599984372
tLDpCplHrN8,Booty Shaking Dance Lesson in Bangkok Thailand,49715,91.0,,0,0,1543,1553,-0.019778483,10,-0.028282866389913994,False,0.039642574921396626
4XEoZ2KI3FM,Takraw Game in Thailand,12208,54.0,,0,0,1542,1553,-0.074564554,11,-0.03213967367385825,False,0.0097346184177896
XIINDtCa4ek,Football (Soccer) Juggling Skills Genius in Thailand,12052,80.0,,0,0,1541,1553,-0.0935628,12,-0.036864529292170815,False,0.009610224538925316
pCvKDZmjLiQ,Cute Fish Spa Massage,31397,39.0,,0,0,1540,1553,-0.035150558,13,-0.03674210275390318,False,0.025035862914755905
kC_wywFC-ok,Award Winning Pad Thai Cooking Contest,22675,76.0,,0,0,1539,1553,-0.15762949,14,-0.04480126189688841,False,0.018080969251587416
o2sMg26gr5s,Lifehouse Kids Orphanage Bali Indonesia,15728,207.0,,0,0,1538,1553,-0.034239598,15,-0.04414115787949413,False,0.012541454658829852
bHhSS9C6J1I,"Sunrise Views at the Top of Active Mount Merapi, Indonesia",11178,89.0,,0,0,1537,1553,-0.124739885,16,-0.04888225949424155,False,0.008913299858621573
VLW2fY-8o6s,Migration Mark Tackles the Durian Fruit,158687,141.0,,0,0,1536,1553,-0.041203883,17,-0.048455682997074395,False,0.12653648368805523
Q0YQaVJGOHE,The Happiest Ice Cream Scooper in the World,24050,58.0,,0,0,1535,1553,0.09038213,18,-0.04114842973649502,False,0.019177389658243765
ng5G25mAhJI,"How To Eat 1 Day Old Fried Chicken, This Is Not KFC",76582,60.0,,0,0,1534,1553,-0.028382387,19,-0.04051012760028243,False,0.061066230969131975
M-iRIxLE67I,"116 Terraces of Rice: Batad, Banaue, the Philippines",18770,147.0,,0,0,1533,1553,-0.1944856,20,-0.05291124144569039,False,0.014967135296683387
U_Kq5nRm4dU,"The World's Largest Pick-Up Truck Load, Carrying the Impossible",11073,31.0,,0,0,1532,1553,0.11887604,21,-0.04619695139117539,False,0.008829573209385997
5LvFyqN0leA,Bangkok in Christmas,14568,277.0,,0,0,1531,1553,-0.06319254,22,-0.051323542417958376,False,0.011616474533941587
6fjF2JzDiSw,Little Thai Kid Does the Songkran Dance on Top of a Car,7841,13.0,,0,0,1530,1553,0.056105662,23,-0.043108843127265574,False,0.0062523872062490386
9CptkQzuxog,Redshirts Push Police,9219,56.0,,0,0,1529,1553,0.12763803,24,-0.03708356227725744,False,0.007351199802883546
oF3YQfybBGU,"Durian King of Fruit Buffet - All You Can Eat in Kuala Lumpur, Malaysia!",128058,170.0,,0,0,1528,1553,-0.108141415,25,-0.038620883412659165,False,0.10211302140770812
EUI0QWniS68,Phnom Penh - Eating Bugs and Exploring Local Markets - Cambodia 2010 (Migration Mark),225052,549.0,,0,0,1527,1553,-0.024814058,26,-0.03406981788575649,False,0.179455712988236
t-O-rDRpbog,How to Eat Sago palm starch (Ambuyat and Cacah) in Brunei Darussalam,88009,113.0,,0,0,1526,1553,-0.108618885,27,-0.036759610287845135,False,0.07017808259594077
tzwX6Z-m2vk,Boat Noodles at restaurant near Victory Monument in Bangkok (Kuay Teow Reua),66825,144.0,,0,0,1525,1553,-0.12553245,28,-0.04129917696118355,False,0.05328603176349853
s4VSVAzcWdU,Tourism in the Capital of Brunei - Bandar Seri Begawan,53517,111.0,,0,0,1524,1553,-0.1444238,29,-0.04927292615175247,False,0.04267427702038385
x8fHQEW8r6c,Crazy Vegetable Rapper at Kota Kinabalu Wet Market,26240,102.0,,0,0,1523,1553,0.04248949,30,-0.046159527450799945,False,0.02092368834230006
7KoclzARd1k,"Street Food Eating in Bangkok's Little India (Pahurat), Thailand",50185,196.0,,0,0,1522,1553,-0.090934396,31,-0.046978019550442694,False,0.040017351351308246
8JQ3SoIKqxI,Food at Amphawa Floating Market in Thailand,15105,179.0,,0,0,1521,1553,-0.07976138,32,-0.04628794863820076,False,0.012044676540032103
U4LCIi6_UWI,"Dangerous Maeklong Train Track Market (ตลาดแม่กลอง): Samut Songkhram, Thailand",522871,165.0,,0,0,1520,1553,-0.047428444,33,-0.046901842951774596,False,0.41693558869004477
JX6IxTp-tgs,"Eating Trip to Sam Chuk Market in Suphan Buri, Thailand ตลาดสามชุก",24171,254.0,,0,0,1519,1553,-0.11082648,34,-0.04456169232726097,False,0.019273874654029525
UA1vBoYpSSg,"EatingThaiFood.com Launch at Lub D Siam, Bangkok",10885,143.0,,0,0,1518,1553,-0.09059024,35,-0.047379224374890325,False,0.008679662637421346
UHsrir7Ansk,Egyptian Wedding Ceremony,34592,164.0,,0,0,1517,1553,-0.09027919,36,-0.04565618969500065,False,0.027583545241495564
hf8RjIk-BxA,Nairobi - Migration Moments Documentary (Sneak Preview!).mp4,7224,54.0,,0,0,1516,1553,-0.04998824,37,-0.0460954075679183,False,0.005760393467407607
